playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
⭐ 4 étoiles (111 titres),1,3,2198696,Unknown,The Bar-Kays,Unknown Album,378
⭐ 4 étoiles (111 titres),1,3,2280386,Unknown,The Bar-Kays,Unknown Album,378
⭐ 4 étoiles (111 titres),1,3,2328428,Unknown,The Bar-Kays,Unknown Album,378
⭐ 4 étoiles (111 titres),2,2,2266277,Unknown,Justin Timberlake,Unknown Album,275
⭐ 4 étoiles (111 titres),2,2,2278689,Unknown,Justin Timberlake,Unknown Album,275
⭐ 4 étoiles (111 titres),3,2,1953895,(Everything I Do) I Do It for You,Bryan Adams,So Far So Good  (Compilation),393
⭐ 4 étoiles (111 titres),3,2,2256549,(Everything I Do) I Do It for You,Bryan Adams,Anthology CD2,393
⭐ 4 étoiles (111 titres),4,2,1485005,A Prayer for England,Massive Attack,100th Window,348
⭐ 4 étoiles (111 titres),4,2,1485008,A Prayer for England,Massive Attack,100th Window,348
⭐ 4 étoiles (111 titres),5,2,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
⭐ 4 étoiles (111 titres),5,2,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
⭐ 4 étoiles (111 titres),6,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
⭐ 4 étoiles (111 titres),6,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
⭐ 4 étoiles (111 titres),7,12,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
⭐ 4 étoiles (111 titres),7,12,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
⭐ 4 étoiles (111 titres),7,12,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
⭐ 4 étoiles (111 titres),7,12,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
⭐ 4 étoiles (111 titres),7,12,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
⭐ 4 étoiles (111 titres),7,12,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
⭐ 4 étoiles (111 titres),7,12,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
⭐ 4 étoiles (111 titres),7,12,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
⭐ 4 étoiles (111 titres),7,12,2312920,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,232
⭐ 4 étoiles (111 titres),7,12,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
⭐ 4 étoiles (111 titres),7,12,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
⭐ 4 étoiles (111 titres),7,12,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
⭐ 4 étoiles (111 titres),8,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
⭐ 4 étoiles (111 titres),8,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
⭐ 4 étoiles (111 titres),9,2,2120818,Illusions,The Pharcyde,Humboldt Beginnings,226
⭐ 4 étoiles (111 titres),9,2,2310332,Illusions,The Pharcyde,Humboldt Beginnings,226
⭐ 4 étoiles (111 titres),10,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
⭐ 4 étoiles (111 titres),10,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
⭐ 4 étoiles (111 titres),11,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
⭐ 4 étoiles (111 titres),11,3,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
⭐ 4 étoiles (111 titres),11,3,2336351,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
⭐ 4 étoiles (111 titres),12,2,1960575,Miracle Love,Dj Project,In the Club,209
