playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Acoustique (500 titres),1,5,1271600,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Acoustique (500 titres),1,5,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Acoustique (500 titres),1,5,2307220,Nel blu dipinto di blu / Dans le bleu du ciel bleu (Acoustic Version),Claudio Capéo,Penso a te (L'ultimo),237
Acoustique (500 titres),1,5,2112000,Nel blu dipinto di blu / Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Acoustique (500 titres),1,5,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Acoustique (500 titres),2,4,2112660,85% (acoustic),Loote,lost - EP,174
Acoustique (500 titres),2,4,2279427,85% (acoustic),Loote,lost - EP,174
Acoustique (500 titres),2,4,2284492,85% (acoustic),Loote,lost - EP,174
Acoustique (500 titres),2,4,2284496,85% (acoustic),Loote,lost - EP,174
Acoustique (500 titres),3,7,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),3,7,2326632,Are You Gonna be My Girl (Acoustic Version),Jet,Get Born,215
Acoustique (500 titres),3,7,2214891,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),3,7,2279155,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),3,7,2279156,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),3,7,2283998,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),3,7,2326630,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Acoustique (500 titres),4,2,1980341,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Acoustique (500 titres),4,2,2142444,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Acoustique (500 titres),5,6,2207389,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),5,6,2279036,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),5,6,2283682,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),5,6,2283684,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),5,6,2311410,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),5,6,2326608,90s Rap Mashup (Acoustic),Austin Williams,90s Rap Mashup - Single,210
Acoustique (500 titres),6,4,2141908,00 - Human - Acoustic - Rag N Bone M,Human,Acoustic,226
Acoustique (500 titres),6,4,2279044,00 - Human - Acoustic - Rag N Bone M,Human,Acoustic,226
Acoustique (500 titres),6,4,2279046,00 - Human - Acoustic - Rag N Bone M,Human,Acoustic,226
Acoustique (500 titres),6,4,2283700,00 - Human - Acoustic - Rag N Bone M,Human,Acoustic,226
Acoustique (500 titres),7,7,2142469,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2252090,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2252092,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2279302,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2279304,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2284290,01 Run Run Run (Acoustic) (Featuri,1,Run Run Run (Acoustic) (Featuring Kyle Pearce),214
Acoustique (500 titres),7,7,2341043,01 Run Run Run (Acoustic) (Featuri,1,run run run (acoustic) (featuring kyle pearce),214
Acoustique (500 titres),8,9,2142421,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Acoustique (500 titres),8,9,2252058,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Acoustique (500 titres),8,9,2252060,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Acoustique (500 titres),8,9,2279270,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Acoustique (500 titres),8,9,2279272,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
