playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Albums pépites (86 titres),1,2,1349688,Take My Breath Away (Love Theme From “Top Gun”),Various Artists,Top Gun: Original Motion Picture Soundtrack (special expanded edition),255
Albums pépites (86 titres),1,2,2131718,Take My Breath Away (Love Theme From “Top Gun”),Various Artists,Top Gun: Original Motion Picture Soundtrack (special expanded edition),255
Albums pépites (86 titres),2,2,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Albums pépites (86 titres),2,2,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Albums pépites (86 titres),3,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Albums pépites (86 titres),3,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Albums pépites (86 titres),3,4,2198716,Paradise (radio edit),Coldplay,Paradise,263
Albums pépites (86 titres),3,4,2237144,Paradise (radio edit),Coldplay,Paradise,263
Albums pépites (86 titres),4,2,2259646,Play Out,Zola Blood,Infinite Games,273
Albums pépites (86 titres),4,2,1208439,Play Out,Zola Blood,Infinite Games,273
Albums pépites (86 titres),5,3,1348187,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Albums pépites (86 titres),5,3,1287538,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Albums pépites (86 titres),5,3,1493999,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Albums pépites (86 titres),6,2,2018882,Parisien Du Nord (Cheb Mami/K-Mel),Alliance Ethnik,Fat Comeback,211
Albums pépites (86 titres),6,2,2055556,Parisien Du Nord (Cheb Mami⧸K-Mel),Alliance Ethnik,Fat Comeback,211
Albums pépites (86 titres),7,2,1487417,The Sun Always Shines on TV,a‐ha,25 (Deluxe Version),302
Albums pépites (86 titres),7,2,2237086,The Sun Always Shines on TV,a‐ha,25 (Deluxe Version),302
Albums pépites (86 titres),8,3,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Albums pépites (86 titres),8,3,2198665,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Albums pépites (86 titres),8,3,2237088,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Albums pépites (86 titres),9,2,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Albums pépites (86 titres),9,2,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Albums pépites (86 titres),10,4,2198696,Move Your Boogie Body,The Bar-Kays,Injoy,378
Albums pépites (86 titres),10,4,1208262,Move Your Boogie Body,The Bar-Kays,Injoy,378
Albums pépites (86 titres),10,4,2198693,Move Your Boogie Body,The Bar-Kays,Injoy,378
Albums pépites (86 titres),10,4,2237122,Move Your Boogie Body,The Bar-Kays,Injoy,378
Albums pépites (86 titres),11,3,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Albums pépites (86 titres),11,3,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Albums pépites (86 titres),11,3,2198683,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Albums pépites (86 titres),12,2,1488644,Melody Tempo Harmony,Bernard Lavilliers,Champs du possible,229
Albums pépites (86 titres),12,2,2131627,Melody Tempo Harmony,Bernard Lavilliers,Champs du possible,229
Albums pépites (86 titres),13,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Albums pépites (86 titres),13,3,2131667,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Albums pépites (86 titres),13,3,2198688,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Albums pépites (86 titres),14,3,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Albums pépites (86 titres),14,3,2257942,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Albums pépites (86 titres),14,3,2272633,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Albums pépites (86 titres),15,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Albums pépites (86 titres),15,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Albums pépites (86 titres),16,2,2266277,Still On My Brain,Justin_Timberlake,Justified,275
Albums pépites (86 titres),16,2,2131680,Still On My Brain,Justin_Timberlake,Justified,275
Albums pépites (86 titres),17,2,1198476,Unknown,Justin_Timberlake,Justified,275
Albums pépites (86 titres),17,2,1198472,Unknown,Justin_Timberlake,Justified,288
Albums pépites (86 titres),18,3,2183745,Calm Down,Rema,Calm Down,219
Albums pépites (86 titres),18,3,2251180,Calm Down,Rema,Calm Down,219
Albums pépites (86 titres),18,3,2183746,Calm Down,Rema,Calm Down,219
Albums pépites (86 titres),19,4,2031760,Cry Me A River,Justin_Timberlake,Justified,288
Albums pépites (86 titres),19,4,2198710,Cry Me A River,Justin_Timberlake,Justified,288
Albums pépites (86 titres),19,4,2266273,Cry Me a River,Justin_Timberlake,Justified,288
Albums pépites (86 titres),19,4,2131681,Cry Me a River,Justin_Timberlake,Justified,288
Albums pépites (86 titres),20,2,1958008,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
Albums pépites (86 titres),20,2,2131678,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
Albums pépites (86 titres),21,3,2242392,Parle à ma main,Fatal Bazooka,Le Bestov de Fatal Bazooka,252
Albums pépites (86 titres),21,3,2257946,Parle à ma main,Fatal Bazooka,Le Bestov de Fatal Bazooka,252
Albums pépites (86 titres),21,3,2272635,Parle à ma main,Fatal Bazooka,Le Bestov de Fatal Bazooka,252
Albums pépites (86 titres),22,2,1485004,Small Time Shot Away,Massive Attack,100th Window,479
Albums pépites (86 titres),22,2,1485014,Small Time Shot Away,Massive Attack,100th Window,479
Albums pépites (86 titres),23,2,2176350,Caribbean Festival (Edit),Kool and The Gang,Gold,453
Albums pépites (86 titres),23,2,2218378,Caribbean Festival (Edit),Kool and The Gang,Gold,453
Albums pépites (86 titres),24,3,2003207,Mauvaise Foi Nocturne,Fatal Bazooka,Le Bestov de Fatal Bazooka,367
Albums pépites (86 titres),24,3,2242391,Mauvaise Foi nocturne,Fatal Bazooka,Le Bestov de Fatal Bazooka,367
Albums pépites (86 titres),24,3,2257945,Mauvaise Foi nocturne,Fatal Bazooka,Le Bestov de Fatal Bazooka,367
Albums pépites (86 titres),25,2,2158893,Dub contrôle,Dub Inc,Paradise,353
Albums pépites (86 titres),25,2,2198719,Dub contrôle,Dub Inc,Paradise,353
Albums pépites (86 titres),26,3,1179332,Good Life,Inner City,Paradise,244
