playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Anniversaire (331 titres),1,2,1978568,Happy Birthday,Jimi Hendrix,FLASHING,140
Anniversaire (331 titres),1,2,2198287,Happy Birthday,Jimi Hendrix,FLASHING,140
Anniversaire (331 titres),2,2,2071239,Happy Birthday,Curtis Knight and the Squires,"The Authentic PPX Studio Recordings, Volume 2: Flashing",140
Anniversaire (331 titres),2,2,2198400,Happy Birthday,Curtis Knight and the Squires,"The Authentic PPX Studio Recordings, Volume 2: Flashing",140
Anniversaire (331 titres),3,2,1301137,Kung Fu Fighting,Carl Douglas,Kung Fu Fighting: 80th Birthday Celebration EP,197
Anniversaire (331 titres),3,2,2127355,Kung Fu Fighting,Carl Douglas,Kung Fu Fighting: 80th Birthday Celebration EP,197
Anniversaire (331 titres),4,2,2198114,ALH SEILAT BIRTHDAY,Yeesha Ladybarry,ALH SEILAT BIRTHDAY - Single,348
Anniversaire (331 titres),4,2,1946142,Alh Seilat Birthday,Yeesha Ladybarry,ALH SEILAT BIRTHDAY - Single,348
Anniversaire (331 titres),5,5,2327780,Adrian's Birthday,The Rascals,Unknown Album,290
Anniversaire (331 titres),5,5,2327781,Adrian's Birthday,The Rascals,Unknown Album,290
Anniversaire (331 titres),5,5,2328325,Adrian's Birthday,The Rascals,Unknown Album,290
Anniversaire (331 titres),5,5,2328326,Adrian's Birthday,The Rascals,Unknown Album,290
Anniversaire (331 titres),5,5,2122322,Adrian’s Birthday,The Rascals,Freedom Suite,290
Anniversaire (331 titres),6,2,2053988,Anniversaire,Jok’Air,Je Suis Big Daddy,218
Anniversaire (331 titres),6,2,2198318,Anniversaire,Jok’Air,Je Suis Big Daddy,218
Anniversaire (331 titres),7,2,2273669,BIRTHDAY,The Lumineers,Brightside,254
Anniversaire (331 titres),7,2,2198143,Birthday,The Lumineers,Brightside,254
Anniversaire (331 titres),8,2,2054137,"Baby, Happy Birthday",Train,Bulletproof Picasso,223
Anniversaire (331 titres),8,2,2198145,"Baby, Happy Birthday",Train,Bulletproof Picasso,223
Anniversaire (331 titres),9,10,1231304,Birthday,Destiny's Child,Destiny’s Child / The Writing’s on the Wall,314
Anniversaire (331 titres),9,10,2127339,Birthday,Destiny's Child,Destiny’s Child / The Writing’s on the Wall,314
Anniversaire (331 titres),9,10,2217867,Birthday,Destiny's Child,Destiny’s Child,316
Anniversaire (331 titres),9,10,2290165,Birthday,Destiny's Child,Destiny’S Child,189
Anniversaire (331 titres),9,10,2304110,Birthday,Destiny's Child,Destiny's Child,316
Anniversaire (331 titres),9,10,2327743,Birthday,Destiny's Child,Unknown Album,314
Anniversaire (331 titres),9,10,2327744,Birthday,Destiny's Child,Unknown Album,314
Anniversaire (331 titres),9,10,2328291,Birthday,Destiny's Child,Unknown Album,314
Anniversaire (331 titres),9,10,2328292,Birthday,Destiny's Child,Unknown Album,314
Anniversaire (331 titres),9,10,2329041,Birthday,Destiny's Child,Destiny’s Child,189
Anniversaire (331 titres),10,3,2097895,Birthday Cake,Rihanna,Talk That Talk,78
Anniversaire (331 titres),10,3,2327778,Birthday Cake,Rihanna,Unknown Album,78
Anniversaire (331 titres),10,3,2328323,Birthday Cake,Rihanna,Unknown Album,78
Anniversaire (331 titres),11,2,1982867,Birthday In Paradise,Belouis Some,Living Your Life,386
Anniversaire (331 titres),11,2,2198335,Birthday In Paradise,Belouis Some,Living Your Life,386
Anniversaire (331 titres),12,2,2198352,Birthday Party,AJR,Neotheater,224
Anniversaire (331 titres),12,2,2281672,Birthday Party,AJR,Neotheater,224
Anniversaire (331 titres),13,7,1249239,Birthday Song,2 Chainz feat. Ye,Based On a T.R.U. Story (Deluxe Version),306
Anniversaire (331 titres),13,7,2127321,Birthday Song,2 Chainz feat. Ye,Based On a T.R.U. Story (Deluxe Version),306
Anniversaire (331 titres),13,7,2327713,Birthday Song,2 Chainz feat. Ye,Unknown Album,306
Anniversaire (331 titres),13,7,2327714,Birthday Song,2 Chainz feat. Ye,Unknown Album,306
Anniversaire (331 titres),13,7,2328258,Birthday Song,2 Chainz feat. Ye,Unknown Album,306
Anniversaire (331 titres),13,7,2328259,Birthday Song,2 Chainz feat. Ye,Unknown Album,306
Anniversaire (331 titres),13,7,2332627,Birthday Song,2 Chainz feat. Ye,Based On a T.R.U. Story (Deluxe Version),306
Anniversaire (331 titres),14,2,2198251,Birthday Song,Kali Uchis,Drunken Babble,150
Anniversaire (331 titres),14,2,2198252,Birthday Song,Kali Uchis,Drunken Babble,150
Anniversaire (331 titres),15,3,1230428,COME ON HOME,Stephan Eicher,Engelberg (Anniversaire 30 ans),227
Anniversaire (331 titres),15,3,2198268,Come on Home,Stephan Eicher,Engelberg (Anniversaire 30 ans),227
Anniversaire (331 titres),15,3,2198271,Come on Home,Stephan Eicher,Engelberg (Anniversaire 30 ans),227
Anniversaire (331 titres),16,6,1265104,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),16,6,2293269,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),16,6,2327720,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),16,6,2327722,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),16,6,2328266,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),16,6,2328267,Celebrate,Cassidy,B.A.R.S. The Barry Adrian Reese Story,237
Anniversaire (331 titres),17,6,1276743,Celebrate,Empire of the Sun,Ice on the Dune,199
Anniversaire (331 titres),17,6,2127302,Celebrate,Empire of the Sun,Ice on the Dune,199
Anniversaire (331 titres),17,6,2327751,Celebrate,Empire of the Sun,Unknown Album,199
Anniversaire (331 titres),17,6,2327752,Celebrate,Empire of the Sun,Unknown Album,199
Anniversaire (331 titres),17,6,2328299,Celebrate,Empire of the Sun,Unknown Album,199
Anniversaire (331 titres),17,6,2328300,Celebrate,Empire of the Sun,Unknown Album,199
Anniversaire (331 titres),18,6,1305397,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),18,6,2293283,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),18,6,2327768,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),18,6,2327770,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),18,6,2328315,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),18,6,2328316,Celebrate,Montell Jordan,Masterpeace,231
Anniversaire (331 titres),19,3,1969416,Celebrate,Commodores,Heroes,306
Anniversaire (331 titres),19,3,1969573,Celebrate,Commodores,Heroes,271
Anniversaire (331 titres),19,3,2198299,Celebrate,Commodores,Heroes,306
Anniversaire (331 titres),20,2,2093458,Celebrate,DJ Khaled,Father of Asahd,206
Anniversaire (331 titres),20,2,2198290,Celebrate,DJ Khaled,Father of Asahd,206
Anniversaire (331 titres),21,4,2122303,Celebrate,George Duke,Guardian of the Light (Bonus Track Version),234
Anniversaire (331 titres),21,4,2308407,Celebrate,George Duke,Guardian of the Light (Bonus Track Version),234
Anniversaire (331 titres),21,4,2327754,Celebrate,George Duke,Unknown Album,234
Anniversaire (331 titres),21,4,2328302,Celebrate,George Duke,Unknown Album,234
Anniversaire (331 titres),22,2,2155863,Celebrate,Tom Grennan,"Everywhere I Went, Led Me to Where I Didn’t Want to Be",145
Anniversaire (331 titres),22,2,2198285,Celebrate,Tom Grennan,"Everywhere I Went, Led Me to Where I Didn’t Want to Be",145
Anniversaire (331 titres),23,4,2327757,Celebrate,Jordan Rakei & STUTS,Unknown Album,223
Anniversaire (331 titres),23,4,2327758,Celebrate,Jordan Rakei & STUTS,Unknown Album,223
Anniversaire (331 titres),23,4,2328304,Celebrate,Jordan Rakei & STUTS,Unknown Album,223
Anniversaire (331 titres),23,4,2328305,Celebrate,Jordan Rakei & STUTS,Unknown Album,223
Anniversaire (331 titres),24,2,2198349,Celebrate (The Love),Various Artists,"Mega Dance Top 100, Volume 1",145
Anniversaire (331 titres),24,2,2356618,Celebrate (The Love),Various Artists,"mega dance top 100, volume 1",145
Anniversaire (331 titres),25,3,2275576,Celebrate Our Love,Alice DeeJay,Vol 22,215
Anniversaire (331 titres),25,3,2327718,Celebrate Our Love,Alice DeeJay,Unknown Album,215
Anniversaire (331 titres),25,3,2328264,Celebrate Our Love,Alice DeeJay,Unknown Album,215
Anniversaire (331 titres),26,6,1282484,Celebrate You,Kylie Minogue,Various Artists,221
Anniversaire (331 titres),26,6,2198245,Celebrate You,Kylie Minogue,Disco,312
Anniversaire (331 titres),26,6,2327763,Celebrate You,Kylie Minogue,Unknown Album,221
Anniversaire (331 titres),26,6,2327764,Celebrate You,Kylie Minogue,Unknown Album,221
Anniversaire (331 titres),26,6,2328310,Celebrate You,Kylie Minogue,Unknown Album,221
Anniversaire (331 titres),26,6,2328311,Celebrate You,Kylie Minogue,Unknown Album,221
Anniversaire (331 titres),27,3,1969005,Celebrate Your Life,The Beloved,Conscience,334
Anniversaire (331 titres),27,3,1969012,Celebrate Your Life,The Beloved,Conscience,334
Anniversaire (331 titres),27,3,2198229,Celebrate Your Life,The Beloved,Conscience,334
Anniversaire (331 titres),28,4,2233828,Celebration,Kool & The Gang,Celebrate!,300
Anniversaire (331 titres),28,4,2297189,Celebration,Kool & The Gang,Celebrate,300
Anniversaire (331 titres),28,4,2316323,Celebration,Kool & The Gang,Celebrate,300
Anniversaire (331 titres),28,4,2321821,Celebration,Kool & The Gang,Celebrate!,299
Anniversaire (331 titres),29,7,2293273,DADDY'S BACK,Kenny Loggins,CELEBRATE ME HOME,212
Anniversaire (331 titres),29,7,2327727,Daddy's Back,Kenny Loggins,CELEBRATE ME HOME,212
Anniversaire (331 titres),29,7,2327728,Daddy's Back,Kenny Loggins,CELEBRATE ME HOME,212
Anniversaire (331 titres),29,7,2328272,Daddy's Back,Kenny Loggins,CELEBRATE ME HOME,212
Anniversaire (331 titres),29,7,2328273,Daddy's Back,Kenny Loggins,CELEBRATE ME HOME,212
Anniversaire (331 titres),29,7,1227558,Daddy’s Back,Kenny Loggins,Celebrate Me Home,212
