playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Apéro Chill (500 titres),1,2,1958518,The Last Unicorn (Edit),Sacred Spirit,Jazzy Chill Out,94
Apéro Chill (500 titres),1,2,2183627,The Last Unicorn (Edit),Sacred Spirit,Jazzy Chill Out,94
Apéro Chill (500 titres),2,2,1958516,A New Dawn,Sacred Spirit,Jazzy Chill Out,254
Apéro Chill (500 titres),2,2,2183614,A New Dawn,Sacred Spirit,Jazzy Chill Out,254
Apéro Chill (500 titres),3,8,2282992,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2282991,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2282993,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2294889,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2294890,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2336499,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2336500,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),3,8,2336501,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Apéro Chill (500 titres),4,4,2356852,Amusing,Various Artists,after workout - 200 lounge & chillout songs,307
Apéro Chill (500 titres),4,4,2141807,Amusing,Various Artists,After Workout - 200 Lounge & Chillout Songs,307
Apéro Chill (500 titres),4,4,2260690,Amusing,Various Artists,After Workout - 200 Lounge & Chillout Songs,307
Apéro Chill (500 titres),4,4,2278762,Amusing,Various Artists,After Workout - 200 Lounge & Chillout Songs,307
Apéro Chill (500 titres),5,2,1958513,Bad Luck,Sacred Spirit,Jazzy Chill Out,295
Apéro Chill (500 titres),5,2,2131426,Bad Luck,Sacred Spirit,Jazzy Chill Out,295
Apéro Chill (500 titres),6,2,1958514,Da Cool,Sacred Spirit,Jazzy Chill Out,267
Apéro Chill (500 titres),6,2,2183625,Da Cool,Sacred Spirit,Jazzy Chill Out,267
Apéro Chill (500 titres),7,2,1423019,If I Ever Feel Better,Various Artists,Pottery Barn: Nouveau Lounge: Cosmopolitan Lounge Grooves,266
Apéro Chill (500 titres),7,2,2127034,If I Ever Feel Better,Various Artists,Pottery Barn: Nouveau Lounge: Cosmopolitan Lounge Grooves,266
Apéro Chill (500 titres),8,2,1951314,My Roots on the Beach,Various Artists,After Workout - 200 Lounge & Chillout Songs,226
Apéro Chill (500 titres),8,2,2128629,My Roots on the Beach,Various Artists,After Workout - 200 Lounge & Chillout Songs,226
Apéro Chill (500 titres),9,2,1958512,You're Gonna Love,Sacred Spirit,Jazzy Chill Out,258
Apéro Chill (500 titres),9,2,2183612,You're Gonna Love,Sacred Spirit,Jazzy Chill Out,258
Apéro Chill (500 titres),10,2,1980849,00 Morceau Inconnu-11 2,Tout genre + musique youtube,Paris Lounge,146
Apéro Chill (500 titres),10,2,2131428,00 Morceau Inconnu-11 2,Tout genre + musique youtube,Paris Lounge,146
Apéro Chill (500 titres),11,2,2030634,01 - Comment Lui Dire,France Gall,Lounge Legends: Twenty Classic Recordings,214
Apéro Chill (500 titres),11,2,2197180,01 - Comment Lui Dire,France Gall,Lounge Legends: Twenty Classic Recordings,214
Apéro Chill (500 titres),12,2,2197181,04 - la Déclaration D'amour,France Gall,Lounge Legends: Twenty Classic Recordings,202
Apéro Chill (500 titres),12,2,2343041,04 - la Déclaration D'amour,France Gall,lounge legends: twenty classic recordings,202
Apéro Chill (500 titres),13,2,2196914,07. Stéphane Pompougnac - Morento (Bossa Mix),Hotel Costes,Best Of Hotel Costes,310
Apéro Chill (500 titres),13,2,2084269,07. Stéphane Pompougnac - Morento (Bossa mix),Hotel Costes,Best Of Hotel Costes,310
Apéro Chill (500 titres),14,3,2198847,1000 Colors,Various Artists,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),14,3,2278794,1000 Colors,Various Artists,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),14,3,2283014,1000 Colors,Various Artists,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),15,3,2283015,1000 Colors,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),15,3,2294901,1000 Colors,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),15,3,2336513,1000 Colors,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,355
Apéro Chill (500 titres),16,9,1951278,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2065007,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2198881,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2198889,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2278795,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2278796,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2278797,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2278798,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),16,9,2283016,123 Free,Various Artists,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283017,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283018,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283019,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283020,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283021,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283022,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2283023,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2294902,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2294903,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2294904,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2294905,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),17,12,2336514,123 Free,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,247
Apéro Chill (500 titres),18,3,2278799,22 Past,Various Artists,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),18,3,2278800,22 Past,Various Artists,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),18,3,2282927,22 Past,Various Artists,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),19,5,2282929,22 Past,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),19,5,2282931,22 Past,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),19,5,2282933,22 Past,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),19,5,2294858,22 Past,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),19,5,2294859,22 Past,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,277
Apéro Chill (500 titres),20,5,2065009,4 Seasons,Various Artists,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),20,5,2198917,4 Seasons,Various Artists,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),20,5,2278801,4 Seasons,Various Artists,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),20,5,2278802,4 Seasons,Various Artists,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),20,5,2282934,4 Seasons,Various Artists,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2282935,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2282936,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2282937,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2294860,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2294861,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2336470,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),21,7,2336471,4 Seasons,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,332
Apéro Chill (500 titres),22,5,2065010,A Day Together,Various Artists,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),22,5,2198921,A Day Together,Various Artists,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),22,5,2278803,A Day Together,Various Artists,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),22,5,2278804,A Day Together,Various Artists,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),22,5,2282938,A Day Together,Various Artists,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2282939,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2282940,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2282941,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2294862,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2294863,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2336472,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),23,7,2336473,A Day Together,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,229
Apéro Chill (500 titres),24,9,1951321,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2065011,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2198924,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2198925,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2278805,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2278806,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2278807,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2278808,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),24,9,2282942,A Daydreams Day,Various Artists,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),25,13,2282943,A Daydreams Day,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),25,13,2282944,A Daydreams Day,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,245
Apéro Chill (500 titres),25,13,2282945,A Daydreams Day,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,245
