playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Automne Doré (500 titres),1,3,1939783,Bella Y Sensual (Feat. Nicky Jam & Daddy Yankee),Romeo Santos,Golden,204
Automne Doré (500 titres),1,3,1347419,Bella y sensual feat. Nicky Jam & Daddy Yankee,Romeo Santos,Golden,204
Automne Doré (500 titres),1,3,2122496,Bella y sensual feat. Nicky Jam & Daddy Yankee,Romeo Santos,Golden,204
Automne Doré (500 titres),2,2,2053735,Bella y sensual,Romeo Santos,Golden,204
Automne Doré (500 titres),2,2,1939781,Bella y Sensual,Romeo Santos,Golden,204
Automne Doré (500 titres),3,3,2067549,Book of Life,Hi Tech,DJ Shok Presents the Music: Hi-Tech's Golden Era Singles,298
Automne Doré (500 titres),3,3,2197564,Book of Life,Hi Tech,Dj Shok Presents the Music: Hi-Tech's Golden Era Singles,298
Automne Doré (500 titres),3,3,2350427,Book of Life,Hi Tech,dj shok presents the music: hi-tech's golden era singles,298
Automne Doré (500 titres),4,2,2124219,Set Fire to the Rain,Adele,Unknown Album,241
Automne Doré (500 titres),4,2,2197721,Set Fire to the Rain,Adele,Greatest Hits,241
Automne Doré (500 titres),5,2,2070504,3-Way (The Golden Rule),The Lonely Island,The Wack Album,171
Automne Doré (500 titres),5,2,2198008,3-Way (The Golden Rule),The Lonely Island,The Wack Album,171
Automne Doré (500 titres),6,2,2347156,A Rockin' Good Way (To Mess Around and Fall in Love),Bonnie Tyler,holding out for a hero,172
Automne Doré (500 titres),6,2,2342261,A Rockin’ Good Way (To Mess Around and Fall in Love),Bonnie Tyler,the best,172
Automne Doré (500 titres),7,2,1271304,A Rockin’ Good Way (to Mess Around and Fall in Love) feat. Shakin’ Stevens,Bonnie Tyler,Greatest Hits,174
Automne Doré (500 titres),7,2,1271328,A Rockin’ Good Way (to Mess Around and Fall in Love) feat. Shakin’ Stevens,Bonnie Tyler,The Collection,172
Automne Doré (500 titres),8,3,2060648,Autumn Song,Laura Veirs,Found Light,218
