playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Brunch Dimanche (500 titres),1,2,2067872,Caravane,Raphaël,Caravane,206
Brunch Dimanche (500 titres),1,2,2196964,Caravane,Raphaël,Caravane,206
Brunch Dimanche (500 titres),2,3,2099089,Lisa,Chris Botti,Night Sessions,308
Brunch Dimanche (500 titres),2,3,2184012,Lisa,Chris Botti,Night Sessions,308
Brunch Dimanche (500 titres),2,3,2197214,Lisa,Chris Botti,Night Sessions,308
Brunch Dimanche (500 titres),3,2,1285793,Work Song,Nina Simone,High Priestess of Soul,187
Brunch Dimanche (500 titres),3,2,2183951,Work Song,Nina Simone,High Priestess of Soul,187
Brunch Dimanche (500 titres),4,4,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Brunch Dimanche (500 titres),4,4,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Brunch Dimanche (500 titres),4,4,2113445,Hymn of the Seventh Galaxy,Chick Corea,Chick Corea & Friends: New York,212
Brunch Dimanche (500 titres),4,4,2196975,Hymn of the Seventh Galaxy,Chick Corea,Chick Corea & Friends: New York,212
Brunch Dimanche (500 titres),5,2,1952482,I Love to Love,Tina Charles,Feels Like Sunday,181
Brunch Dimanche (500 titres),5,2,2197037,I Love to Love,Tina Charles,Feels Like Sunday,181
Brunch Dimanche (500 titres),6,3,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Brunch Dimanche (500 titres),6,3,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Brunch Dimanche (500 titres),6,3,2183970,On s’en fout,Christophe Mali,Je vous emmène,234
Brunch Dimanche (500 titres),7,2,1348172,"Telegraph feat. Champ Green, Kevin Allen, Ian Kelly, Brookfield Duece, Kate Lamont & Mani Draper",Grand Nationxl,Twice on Sunday (Season 1): BTS,220
Brunch Dimanche (500 titres),7,2,2197314,"Telegraph feat. Champ Green, Kevin Allen, Ian Kelly, Brookfield Duece, Kate Lamont & Mani Draper",Grand Nationxl,Twice on Sunday (Season 1): BTS,220
Brunch Dimanche (500 titres),8,7,1440335,AIMER JUSQU'A L'IMPOSSIBLE,Tina Arena,UN AUTRE UNIVERS,200
Brunch Dimanche (500 titres),8,7,1959680,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Brunch Dimanche (500 titres),8,7,2197328,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Brunch Dimanche (500 titres),8,7,2023975,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Brunch Dimanche (500 titres),8,7,2197326,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Brunch Dimanche (500 titres),8,7,1229790,Aimer jusqu'à l'impossible,Tina Arena,The Best & Le Meilleur,200
Brunch Dimanche (500 titres),8,7,2197250,Aimer jusqu'à l'impossible,Tina Arena,The Best & Le Meilleur,200
Brunch Dimanche (500 titres),9,2,2112184,Aimer jusqu’à l’impossible,Various Artists,NRJ Music Awards 2006,199
Brunch Dimanche (500 titres),9,2,2197210,Aimer jusqu’à l’impossible,Various Artists,NRJ Music Awards 2006,199
