playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Brunch & Repas (500 titres),1,2,2067872,Caravane,Raphaël,Caravane,206
Brunch & Repas (500 titres),1,2,2196964,Caravane,Raphaël,Caravane,206
Brunch & Repas (500 titres),2,3,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Brunch & Repas (500 titres),2,3,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Brunch & Repas (500 titres),2,3,2113445,Hymn of the Seventh Galaxy,Chick Corea,Chick Corea & Friends: New York,212
Brunch & Repas (500 titres),3,2,1952482,I Love to Love,Tina Charles,Feels Like Sunday,181
Brunch & Repas (500 titres),3,2,2197037,I Love to Love,Tina Charles,Feels Like Sunday,181
Brunch & Repas (500 titres),4,2,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Brunch & Repas (500 titres),4,2,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Brunch & Repas (500 titres),5,8,2282992,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2282991,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2282993,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2294889,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2294890,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2336499,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2336500,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),5,8,2336501,A Time of Seccos,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,209
Brunch & Repas (500 titres),6,5,1440335,AIMER JUSQU'A L'IMPOSSIBLE,Tina Arena,UN AUTRE UNIVERS,200
Brunch & Repas (500 titres),6,5,1959680,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Brunch & Repas (500 titres),6,5,2197328,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Brunch & Repas (500 titres),6,5,2023975,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Brunch & Repas (500 titres),6,5,2197326,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Brunch & Repas (500 titres),7,2,1285782,Brown Eyed Handsome Man,Nina Simone,High Priestess of Soul,126
Brunch & Repas (500 titres),7,2,1426911,Brown Eyed Handsome Man,Nina Simone,High Priestess of Soul,126
Brunch & Repas (500 titres),8,2,1287309,Chameleon,Herbie Hancock,Head Hunters,947
Brunch & Repas (500 titres),8,2,1287310,Chameleon,Herbie Hancock,Head Hunters,944
Brunch & Repas (500 titres),9,3,2286966,Chanteur de Jazz,Michel Sardou,Unknown Album,281
Brunch & Repas (500 titres),9,3,2114050,Chanteur de jazz,Michel Sardou,Chanteur De Jazz,281
Brunch & Repas (500 titres),9,3,2329730,Chanteur de jazz,Michel Sardou,Chanteur De Jazz,281
Brunch & Repas (500 titres),10,2,1423019,If I Ever Feel Better,Various Artists,Pottery Barn: Nouveau Lounge: Cosmopolitan Lounge Grooves,266
Brunch & Repas (500 titres),10,2,2127034,If I Ever Feel Better,Various Artists,Pottery Barn: Nouveau Lounge: Cosmopolitan Lounge Grooves,266
Brunch & Repas (500 titres),11,2,2114904,If I Ever Lose This Heaven,Quincy Jones,Body Heat,286
Brunch & Repas (500 titres),11,2,2267647,If I Ever Lose This Heaven,Quincy Jones,Body Heat,293
Brunch & Repas (500 titres),12,2,2197239,Involuntary Bliss,Eddie Henderson,Sunburst,412
Brunch & Repas (500 titres),12,2,2309521,Involuntary Bliss,Eddie Henderson,Sunburst,412
Brunch & Repas (500 titres),13,3,2201654,JUST THE TWO OF US,"Grover Washington, Jr.",WARNER JAZZ: LES INCONTOURNABLES,441
Brunch & Repas (500 titres),13,3,1212037,Just the Two of Us,"Grover Washington, Jr.",Anthology,438
Brunch & Repas (500 titres),13,3,2197339,Just the Two of Us,"Grover Washington, Jr.",Warner Jazz: Les Incontournables,441
Brunch & Repas (500 titres),14,3,2088106,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,438
Brunch & Repas (500 titres),14,3,2196895,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,438
Brunch & Repas (500 titres),14,3,2197318,Just the Two of Us feat. Bill Withers,"Grover Washington, Jr.",Ultimate Collection,441
Brunch & Repas (500 titres),15,2,2167848,LA VIDA ES UN CARNAVAL,Celia Cruz,MI VIDA ES CANTAR,275
Brunch & Repas (500 titres),15,2,2197192,La vida es un carnaval,Celia Cruz,MI VIDA ES CANTAR,275
Brunch & Repas (500 titres),16,2,1493445,La Boîte De Jazz,Michel Jonasz,Unis vers l'uni,181
Brunch & Repas (500 titres),16,2,2329764,La Boîte De Jazz,Michel Jonasz,Unis vers l'uni,181
Brunch & Repas (500 titres),17,2,1951314,My Roots on the Beach,Various Artists,After Workout - 200 Lounge & Chillout Songs,226
