playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Brunch weekend (100 titres),1,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Brunch weekend (100 titres),1,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Brunch weekend (100 titres),1,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Brunch weekend (100 titres),2,6,2266277,Unknown,Justin Timberlake,Unknown Album,275
Brunch weekend (100 titres),2,6,2278689,Unknown,Justin Timberlake,Unknown Album,275
Brunch weekend (100 titres),2,6,2183913,Unknown,Justin Timberlake,Unknown Album,289
Brunch weekend (100 titres),2,6,2213332,Unknown,Justin Timberlake,Unknown Album,289
Brunch weekend (100 titres),2,6,2266273,Unknown,Justin Timberlake,Unknown Album,288
Brunch weekend (100 titres),2,6,2278690,Unknown,Justin Timberlake,Unknown Album,288
Brunch weekend (100 titres),3,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Brunch weekend (100 titres),3,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Brunch weekend (100 titres),4,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Brunch weekend (100 titres),4,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Brunch weekend (100 titres),4,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Brunch weekend (100 titres),4,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Brunch weekend (100 titres),5,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Brunch weekend (100 titres),5,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Brunch weekend (100 titres),5,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Brunch weekend (100 titres),6,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Brunch weekend (100 titres),6,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Brunch weekend (100 titres),7,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Brunch weekend (100 titres),7,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Brunch weekend (100 titres),8,3,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Brunch weekend (100 titres),8,3,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Brunch weekend (100 titres),8,3,2309571,Groove Is In the Heart,Deee‐Lite,World Clique,231
Brunch weekend (100 titres),9,3,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Brunch weekend (100 titres),9,3,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Brunch weekend (100 titres),9,3,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Brunch weekend (100 titres),10,2,2067872,Caravane,Raphaël,Caravane,206
Brunch weekend (100 titres),10,2,2196964,Caravane,Raphaël,Caravane,206
Brunch weekend (100 titres),11,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Brunch weekend (100 titres),11,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Brunch weekend (100 titres),12,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
