playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Bureau sans stress (120 titres),1,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Bureau sans stress (120 titres),1,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Bureau sans stress (120 titres),1,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Bureau sans stress (120 titres),1,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Bureau sans stress (120 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Bureau sans stress (120 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Bureau sans stress (120 titres),3,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Bureau sans stress (120 titres),3,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Bureau sans stress (120 titres),3,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Bureau sans stress (120 titres),4,3,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Bureau sans stress (120 titres),4,3,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Bureau sans stress (120 titres),4,3,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Bureau sans stress (120 titres),5,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Bureau sans stress (120 titres),5,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Bureau sans stress (120 titres),6,4,2183426,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best Of Akhénaton,322
Bureau sans stress (120 titres),6,4,2291003,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best of Akhénaton,322
Bureau sans stress (120 titres),6,4,2032065,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger (Best of),322
Bureau sans stress (120 titres),6,4,2183406,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger & Live Au Dock Des Suds,322
Bureau sans stress (120 titres),7,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Bureau sans stress (120 titres),7,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Bureau sans stress (120 titres),7,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Bureau sans stress (120 titres),8,2,1947141,The Chase,Laidback Luke,Focus,256
Bureau sans stress (120 titres),8,2,1280039,The Chase,Laidback Luke,Focus,255
Bureau sans stress (120 titres),9,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Bureau sans stress (120 titres),9,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Bureau sans stress (120 titres),10,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Bureau sans stress (120 titres),10,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Bureau sans stress (120 titres),10,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Bureau sans stress (120 titres),11,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Bureau sans stress (120 titres),11,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Bureau sans stress (120 titres),12,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Bureau sans stress (120 titres),12,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Bureau sans stress (120 titres),13,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Bureau sans stress (120 titres),13,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Bureau sans stress (120 titres),14,2,1988814,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Bureau sans stress (120 titres),14,2,2183732,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Bureau sans stress (120 titres),15,2,1988821,Eastern Wind (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Bureau sans stress (120 titres),15,2,2183736,Eastern Wind (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Bureau sans stress (120 titres),16,2,2144002,J’ai pas de face,Akhenaton,Double Chill Burger,271
Bureau sans stress (120 titres),16,2,2291016,J’ai pas de face,Akhenaton,Double Chill Burger,265
Bureau sans stress (120 titres),17,2,1958514,Da Cool,Sacred Spirit,Jazzy Chill Out,267
Bureau sans stress (120 titres),17,2,2183625,Da Cool,Sacred Spirit,Jazzy Chill Out,267
Bureau sans stress (120 titres),18,2,1958512,You're Gonna Love,Sacred Spirit,Jazzy Chill Out,258
Bureau sans stress (120 titres),18,2,2183612,You're Gonna Love,Sacred Spirit,Jazzy Chill Out,258
Bureau sans stress (120 titres),19,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Bureau sans stress (120 titres),19,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Bureau sans stress (120 titres),20,2,1958516,A New Dawn,Sacred Spirit,Jazzy Chill Out,254
Bureau sans stress (120 titres),20,2,2183614,A New Dawn,Sacred Spirit,Jazzy Chill Out,254
Bureau sans stress (120 titres),21,2,2167239,Chill,The Rasmus,Into,253
Bureau sans stress (120 titres),21,2,2183589,Chill,The Rasmus,Into,253
