playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Chanson Française (395 titres),1,4,2217368,Avec ce soleil,Patricia Kaas,Chante Piaf,162
Chanson Française (395 titres),1,4,2290048,Avec ce soleil,Patricia Kaas,Kaas chante Piaf,162
Chanson Française (395 titres),1,4,2300561,Avec ce soleil,Patricia Kaas,Chante Piaf,162
Chanson Française (395 titres),1,4,2303183,Avec ce soleil,Patricia Kaas,Kaas chante Piaf,162
Chanson Française (395 titres),2,3,1989883,"Bambino (Version Française de ""Guaglione"")",Claudio Capéo,Penso a te,139
Chanson Française (395 titres),2,3,2065953,"Bambino (Version française de ""Guaglione"")",Claudio Capéo,Penso a te,207
Chanson Française (395 titres),2,3,2138509,Bambino (version Française de “guaglione”),Claudio Capéo,Penso a te (L'ultimo),207
Chanson Française (395 titres),3,2,2290953,Black Trombone,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,225
Chanson Française (395 titres),3,2,2190491,Black trombone,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,225
Chanson Française (395 titres),4,2,2258925,Black trombone,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,225
Chanson Française (395 titres),4,2,2302748,Black trombone,Serge Gainsbourg; Comédie-Française,La Comédie-française chante Gainsbourg,225
Chanson Française (395 titres),5,3,2345754,C  Est la Même Chanson,François Valéry,Unknown Album,213
Chanson Française (395 titres),5,3,2202436,C'EST LA MÊME CHANSON,François Valéry,C'EST LA MÊME CHANSON,213
Chanson Française (395 titres),5,3,2187594,C’EST LA MÊME CHANSON,François Valéry,Unknown Album,213
Chanson Française (395 titres),6,3,2222334,C'est la même chanson,M. Pokora,My Way,187
Chanson Française (395 titres),6,3,2242003,C'est la même chanson,M. Pokora,My Way,187
Chanson Française (395 titres),6,3,2319377,C'est la même chanson,M. Pokora,My Way,187
Chanson Française (395 titres),7,4,2217370,C'est un gars,Patricia Kaas,Chante Piaf,186
Chanson Française (395 titres),7,4,2290049,C'est un gars,Patricia Kaas,Kaas chante Piaf,186
Chanson Française (395 titres),7,4,2300563,C'est un gars,Patricia Kaas,Chante Piaf,186
Chanson Française (395 titres),7,4,2303184,C'est un gars,Patricia Kaas,Kaas chante Piaf,186
Chanson Française (395 titres),8,2,1271591,C'est une chanson,Claudio Capéo,Penso a te (L'ultimo),185
Chanson Française (395 titres),8,2,2114151,C’est une chanson,Claudio Capéo,Various Artists,185
Chanson Française (395 titres),9,2,2290969,Ces Petits Riens,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,140
Chanson Française (395 titres),9,2,2190507,Ces petits riens,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,140
Chanson Française (395 titres),10,2,2258941,Ces petits riens,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,140
Chanson Française (395 titres),10,2,2302747,Ces petits riens,Serge Gainsbourg; Comédie-Française,La Comédie-française chante Gainsbourg,140
Chanson Française (395 titres),11,2,2167122,Chanson D'Hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Chanson Française (395 titres),11,2,2062084,Chanson d’hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Chanson Française (395 titres),12,2,1958905,Chanson D'automne,IAM,Rêvolution,268
Chanson Française (395 titres),12,2,2197914,Chanson D'automne,IAM,Rêvolution,268
Chanson Française (395 titres),13,2,1718669,Chanson De L'Arbre,Autour De Lucie,Faux Mouvement,288
Chanson Française (395 titres),13,2,2074445,chanson de l'arbre,Autour De Lucie,faux mouvement [2001],288
Chanson Française (395 titres),14,2,2194287,Chanson dada,Bernard Lavilliers,2005 Escale au grand Rex (live) CD2,135
Chanson Française (395 titres),14,2,2207174,Chanson dada,Bernard Lavilliers,Bernard Lavilliers,122
Chanson Française (395 titres),15,2,2207179,Chanson douce,Bernard Lavilliers,Bernard Lavilliers,145
Chanson Française (395 titres),15,2,2207180,Chanson douce,Bernard Lavilliers,Bernard Lavilliers,122
Chanson Française (395 titres),16,4,2217259,Chanson minable,Pierre Perret,La Femme grillagée,226
Chanson Française (395 titres),16,4,2290331,Chanson minable,Pierre Perret,La Femme grillagée,226
Chanson Française (395 titres),16,4,2300547,Chanson minable,Pierre Perret,La Femme grillagée  (Flac),226
Chanson Française (395 titres),16,4,2303237,Chanson minable,Pierre Perret,La femme grillagée,226
Chanson Française (395 titres),17,2,1207982,Chanson pour hier et demain,Marie‐Mai,Inoxydable,214
Chanson Française (395 titres),17,2,1213709,Chanson pour hier et demain,Marie‐Mai,Inoxydable,214
Chanson Française (395 titres),18,2,2207170,Chanson pour ma mie,Bernard Lavilliers,Bernard Lavilliers,134
Chanson Française (395 titres),18,2,2207171,Chanson pour ma mie,Bernard Lavilliers,Bernard Lavilliers,178
Chanson Française (395 titres),19,2,2120026,Chanson simple,Patricia Kaas,Dans ma chair,203
Chanson Française (395 titres),19,2,2271838,Chanson simple,Patricia Kaas,Dans ma chair,203
Chanson Française (395 titres),20,2,2290966,Comme Un Boomerang,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,245
Chanson Française (395 titres),20,2,2190504,Comme un boomerang,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,245
Chanson Française (395 titres),21,2,2258938,Comme un boomerang,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,245
Chanson Française (395 titres),21,2,2302750,Comme un boomerang,Serge Gainsbourg; Comédie-Française,La Comédie-française chante Gainsbourg,245
Chanson Française (395 titres),22,11,2190490,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,48
Chanson Française (395 titres),22,11,2290952,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,48
Chanson Française (395 titres),22,11,2290954,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,59
Chanson Française (395 titres),22,11,2290956,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,106
Chanson Française (395 titres),22,11,2290958,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,50
Chanson Française (395 titres),22,11,2290960,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,100
Chanson Française (395 titres),22,11,2290962,Dialogue,Serge Gainsbourg,La Comédie-Française Chante Gainsbourg,44
