playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Chill & Relax (500 titres),1,5,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Chill & Relax (500 titres),1,5,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Chill & Relax (500 titres),1,5,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Chill & Relax (500 titres),1,5,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Chill & Relax (500 titres),1,5,2183905,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Chill & Relax (500 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Chill & Relax (500 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Chill & Relax (500 titres),3,3,2139605,Let’s Chill,Charlie Wilson,"Charlie, Last Name Wilson",302
Chill & Relax (500 titres),3,3,2280473,Let’s Chill,Charlie Wilson,"Charlie, Last Name Wilson",302
Chill & Relax (500 titres),3,3,2336301,Let’s Chill,Charlie Wilson,"Charlie, Last Name Wilson",302
Chill & Relax (500 titres),4,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Chill & Relax (500 titres),4,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Chill & Relax (500 titres),4,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Chill & Relax (500 titres),5,7,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Chill & Relax (500 titres),5,7,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Chill & Relax (500 titres),5,7,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Chill & Relax (500 titres),5,7,2080404,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Chill & Relax (500 titres),5,7,2183551,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Chill & Relax (500 titres),5,7,2280538,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Chill & Relax (500 titres),5,7,2280540,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Chill & Relax (500 titres),6,5,1299153,Housewarming Party Mix 2022,Sexy Chillout Music Cafe,"Close to Midnight: New Year Chill Session, Special Occasion Deep House, New Year Party Dance Mix",306
Chill & Relax (500 titres),6,5,2065032,Housewarming Party Mix 2022,Sexy Chillout Music Cafe,"Close to Midnight: New Year Chill Session, Special Occasion Deep House, New Year Party Dance Mix",306
Chill & Relax (500 titres),6,5,2336312,Housewarming Party Mix 2022,Sexy Chillout Music Cafe,"Close to Midnight: New Year Chill Session, Special Occasion Deep House, New Year Party Dance Mix",306
