playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Christmas & Fêtes (500 titres),1,2,2210829,Brahms' Lullaby,Céline Dion,Miracle,215
Christmas & Fêtes (500 titres),1,2,2060861,Brahms’ Lullaby,Céline Dion,Miracle,212
Christmas & Fêtes (500 titres),2,2,1949309,Sunny Holiday,Solid Base,Greatest Hits,219
Christmas & Fêtes (500 titres),2,2,2210658,Sunny Holiday,Solid Base,Greatest Hits,219
Christmas & Fêtes (500 titres),3,2,1983885,White Christmas,Ruelle,It’s The Holidays,198
Christmas & Fêtes (500 titres),3,2,2246246,White Christmas,Ruelle,It’s The Holidays,198
Christmas & Fêtes (500 titres),4,3,2165120,ALMOST CHRISTMAS,Chris Isaak,EVERYBODY KNOWS IT'S CHRISTMAS,178
Christmas & Fêtes (500 titres),4,3,2246242,Almost Christmas,Chris Isaak,EVERYBODY KNOWS IT'S CHRISTMAS,178
Christmas & Fêtes (500 titres),4,3,2260175,Almost Christmas,Chris Isaak,Everybody Knows It's Christmas,178
Christmas & Fêtes (500 titres),5,4,2169813,Ain't No Chimneys in the Projects,Sharon Jones and the Dap‐Kings,It's A Holiday Soul Party,143
Christmas & Fêtes (500 titres),5,4,2246470,Ain't No Chimneys In The Projects,Sharon Jones and the Dap‐Kings,It's a Holiday Soul Party,143
Christmas & Fêtes (500 titres),5,4,2313013,Ain't No Chimneys In the Projects,Sharon Jones and the Dap‐Kings,It's a Holiday Soul Party,142
Christmas & Fêtes (500 titres),5,4,2210730,Ain’t No Chimneys in the Projects,Sharon Jones and the Dap‐Kings,It’s a Holiday Soul Party,143
Christmas & Fêtes (500 titres),6,2,2098612,Give Love on Christmas Day,Temptations,Give Love at Christmas,219
Christmas & Fêtes (500 titres),6,2,2166256,Give Love on Christmas Day,Temptations,Give Love at Christmas,219
Christmas & Fêtes (500 titres),7,2,2259788,Hedwig's Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Christmas & Fêtes (500 titres),7,2,2114795,Hedwig’s Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Christmas & Fêtes (500 titres),8,2,1350581,Holiday Holiday,Thoma Cher,Holiday Holiday,449
Christmas & Fêtes (500 titres),8,2,2259032,Holiday Holiday,Thoma Cher,Holiday Holiday,449
Christmas & Fêtes (500 titres),9,2,2259781,I'll Be Home for Christmas,Sheryl Crow,Home for Christmas,221
Christmas & Fêtes (500 titres),9,2,1252992,I’ll Be Home for Christmas,Sheryl Crow,Home for Christmas,220
Christmas & Fêtes (500 titres),10,2,2135576,Jingle Bell Rock,Daryl Hall & John Oates,Home for Christmas,129
Christmas & Fêtes (500 titres),10,2,2259778,Jingle Bell Rock,Daryl Hall & John Oates,Home for Christmas,129
Christmas & Fêtes (500 titres),11,2,2169781,Little Drummer Boy,Chicago,Chicago XXV: The Christmas Album,244
Christmas & Fêtes (500 titres),11,2,2246422,Little Drummer Boy,Chicago,Chicago XXV: The Christmas Album,244
Christmas & Fêtes (500 titres),12,2,2083156,Moves Like Jagger (Soul Seekerz Club Mix),Maroon 5,Holiday Gift,441
Christmas & Fêtes (500 titres),12,2,2246387,Moves Like Jagger (Soul Seekerz Club Mix),Maroon 5,Holiday Gift,441
Christmas & Fêtes (500 titres),13,2,1350222,Moves Like Jagger (Soul Seekerz Club Mix) feat. Christina Aguilera,Maroon 5,Holiday Gift,441
Christmas & Fêtes (500 titres),13,2,2124721,Moves Like Jagger (Soul Seekerz Club Mix) feat. Christina Aguilera,Maroon 5,Holiday Gift,441
Christmas & Fêtes (500 titres),14,2,2231445,ONE MORE NIGHT (CUTMORE CLUB MIX),Maroon 5,Holiday Gift,348
Christmas & Fêtes (500 titres),14,2,2272473,One More Night (Cutmore Club Mix),Maroon 5,Holiday Gift,348
