playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Classical & Orchestre (500 titres),1,2,2182521,2cellos - Whole Lotta Love Vs. Beethoven 5th Symphony [Official Video],2CELLOS,Youtube.Com/Watch?V=X8yymm3dtva,261
Classical & Orchestre (500 titres),1,2,2340942,2cellos - Whole Lotta Love Vs. Beethoven 5th Symphony [Official Video],2CELLOS,youtube.com/watch?v=x8yymm3dtva,261
Classical & Orchestre (500 titres),2,2,2074534,"Ach Was Soll Ich Sünder Machen?, Bwv 770: Partita No. 7 in E Minor",Masaaki Suzuki,"Bach: Organ Works, Vol. 3",43
Classical & Orchestre (500 titres),2,2,2182228,"Ach was soll ich Sünder machen?, BWV 770: Partita No. 7 in E Minor",Masaaki Suzuki,"Bach: Organ Works, Vol. 3",43
Classical & Orchestre (500 titres),3,8,1287568,Bitter Sweet Symphony,The Verve,Urban Hymns,275
Classical & Orchestre (500 titres),3,8,2256715,Bitter Sweet Symphony,The Verve,This is Music- The Singles 92-98,359
Classical & Orchestre (500 titres),3,8,1247608,Bitter Sweet Symphony,The Verve,Unknown Album,275
Classical & Orchestre (500 titres),3,8,1287571,Bitter Sweet Symphony,The Verve,This Is Music: The Singles 92-98,357
Classical & Orchestre (500 titres),3,8,2292642,Bitter Sweet Symphony,The Verve,Urban Hymns,224
Classical & Orchestre (500 titres),3,8,2295616,Bitter Sweet Symphony,The Verve,90's,358
Classical & Orchestre (500 titres),3,8,2327706,Bitter Sweet Symphony,The Verve,Urban Hymns,224
Classical & Orchestre (500 titres),3,8,2327707,Bitter Sweet Symphony,The Verve,Urban Hymns,5
Classical & Orchestre (500 titres),4,2,1211703,Madeus (Mozart's Requiem),ERA,Classics II,254
Classical & Orchestre (500 titres),4,2,2327664,Madeus (Mozart's Requiem),ERA,Classics II,254
Classical & Orchestre (500 titres),5,2,2225668,"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009 : I. Prélude",Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,194
Classical & Orchestre (500 titres),5,2,2182462,"Unaccompanied Cello Suite no. 3 in C major, BWV 1009: I. Prélude",Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,194
Classical & Orchestre (500 titres),6,2,1274861,Unbelievable,Owl City,Mobile Orchestra,193
Classical & Orchestre (500 titres),6,2,2327686,Unbelievable,Owl City,Mobile Orchestra,193
Classical & Orchestre (500 titres),7,2,1975222,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Classical & Orchestre (500 titres),7,2,2182493,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Classical & Orchestre (500 titres),8,2,1985978,01 - Williams - Concerto for Trumpet and Orchestra - I. Maestoso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,431
Classical & Orchestre (500 titres),8,2,2182510,01 - Williams - Concerto for Trumpet and Orchestra - I. Maestoso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,431
Classical & Orchestre (500 titres),9,2,2182511,02 - Williams - Concerto for Trumpet and Orchestra - II. Slowly,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,467
Classical & Orchestre (500 titres),9,2,1985979,02 - Williams - Concerto for Trumpet and Orchestra - Ii. Slowly,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,467
Classical & Orchestre (500 titres),10,2,2182512,03 - Williams - Concerto for Trumpet and Orchestra - III. Allegro deciso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,335
