playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Conduite Auto (500 titres),1,5,1387245,Beber,Pierpoljak,La route tourne igo,208
Conduite Auto (500 titres),1,5,2232055,Beber,Pierpoljak,La route tourne igo,208
Conduite Auto (500 titres),1,5,2290207,Beber,Pierpoljak,La route tourne igo,208
Conduite Auto (500 titres),1,5,2328779,Beber,Pierpoljak,La route tourne igo,208
Conduite Auto (500 titres),1,5,2329189,Beber,Pierpoljak,La route tourne igo,208
Conduite Auto (500 titres),2,4,1260438,Car tu portes mon nom,Diam's,Dans ma bulle,340
Conduite Auto (500 titres),2,4,2329185,Car tu portes mon nom,Diam's,Dans Ma Bulle,340
Conduite Auto (500 titres),2,4,2202907,Car Tu Portes Mon Nom,Diam's,Dans Ma Bulle,340
Conduite Auto (500 titres),2,4,1246958,Car tu portes mon nom,Diam's,Unknown Album,340
Conduite Auto (500 titres),3,2,1966097,Don’t Break the Heart,Tom Grennan,Evering Road,229
Conduite Auto (500 titres),3,2,2196527,Don’t Break the Heart,Tom Grennan,Evering Road,229
Conduite Auto (500 titres),4,2,2167693,Free and Easy (Down the Road I Go),Dierks Bentley,Long Trip Alone,199
Conduite Auto (500 titres),4,2,2196549,Free and Easy (Down the Road I Go),Dierks Bentley,Unknown Album,199
Conduite Auto (500 titres),5,2,2162916,Peace On The Road,Mounika.,Basket Sound,304
Conduite Auto (500 titres),5,2,2196511,Peace On The Road,Mounika.,Basket Sound,304
Conduite Auto (500 titres),6,2,2202311,"TURN ON, TUNE IN, COP OUT",Freak Power,DRIVE-THRU BOOTY,264
Conduite Auto (500 titres),6,2,1232739,Turn On Tune In Cop Out,Freak Power,Drive-Thru Booty,264
Conduite Auto (500 titres),7,2,2238163,WARM LOVE,Van Morrison,Hard Nose the Highway,204
Conduite Auto (500 titres),7,2,2196536,Warm Love,Van Morrison,Hard Nose the Highway,204
Conduite Auto (500 titres),8,2,2074397,Beyond the Comfort Zone (Escape to Route 66) [,Markus Schulz,Escape to Route 66,268
Conduite Auto (500 titres),8,2,2196525,Beyond the Comfort Zone (Escape to Route 66) [,Markus Schulz,Escape to Route 66,268
Conduite Auto (500 titres),9,2,1965925,Cherry Blossom Road,Bibio,Fi,86
Conduite Auto (500 titres),9,2,2196530,Cherry Blossom Road,Bibio,Fi,86
Conduite Auto (500 titres),10,2,2062717,Common Road (feat. Steve Vai),Gregg Bissonette,Gregg Bissonette,294
