playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Country & Folk (500 titres),1,2,2067872,Caravane,Raphaël,Caravane,206
Country & Folk (500 titres),1,2,2196964,Caravane,Raphaël,Caravane,206
Country & Folk (500 titres),2,2,2167693,Free and Easy (Down the Road I Go),Dierks Bentley,Long Trip Alone,199
Country & Folk (500 titres),2,2,2196549,Free and Easy (Down the Road I Go),Dierks Bentley,Unknown Album,199
Country & Folk (500 titres),3,2,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Country & Folk (500 titres),3,2,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Country & Folk (500 titres),4,3,2132288,BLACKBIIRD,Beyoncé,Cowboy Carter,131
Country & Folk (500 titres),4,3,2242254,BLACKBIIRD,Beyoncé,COWBOY CARTER,131
Country & Folk (500 titres),4,3,2154785,Blackbiird,Beyoncé,Cowboy Carter,131
Country & Folk (500 titres),5,2,2070352,Barbeuk,Seth Gueko,Bad Cowboy,211
Country & Folk (500 titres),5,2,2103028,Barbeuk,Seth Gueko,Bad Cowboy,211
Country & Folk (500 titres),6,2,2213480,COUNTRY MAN,Buddy Guy,Feels Like Rain,377
Country & Folk (500 titres),6,2,2197639,Country Man,Buddy Guy,Feels Like Rain,377
Country & Folk (500 titres),7,2,2057271,Come a Little Closer,Dierks Bentley,Modern Day Drifter,282
Country & Folk (500 titres),7,2,2169958,Come a Little Closer,Dierks Bentley,Modern Day Drifter,282
Country & Folk (500 titres),8,2,1981637,Entrer Dans La Lumière,Patricia Kaas,Je Te Dis Vous,245
Country & Folk (500 titres),8,2,2339843,Entrer Dans La Lumière,Patricia Kaas,je te dis vous,245
Country & Folk (500 titres),9,2,1256209,Jenny and the Summer Day,The Avett Brothers,Country Was,260
Country & Folk (500 titres),9,2,2121583,Jenny and the Summer Day,The Avett Brothers,Country Was;The_Avett_Brothers,260
Country & Folk (500 titres),10,2,2214017,LOVE ME LIKE YOU MEAN IT (COUNTRY DANCE MIX),Kelsea Ballerini,LOVE ME LIKE YOU MEAN IT (COUNTRY DANCE MIX),216
Country & Folk (500 titres),10,2,2180046,Love Me Like You Mean It (country dance mix),Kelsea Ballerini,Love Me Like You Mean It (country dance mix),216
Country & Folk (500 titres),11,2,1346825,Landslide,The Chicks,Home,230
Country & Folk (500 titres),11,2,2094743,Landslide,The Chicks,Landslide  (Single),230
Country & Folk (500 titres),12,2,1256211,November Blue,The Avett Brothers,Country Was,272
Country & Folk (500 titres),12,2,2115089,November Blue,The Avett Brothers,Country Was;The_Avett_Brothers,272
Country & Folk (500 titres),13,2,1256208,Pretty Girl From Matthews,The Avett Brothers,Country Was,211
Country & Folk (500 titres),13,2,2098845,Pretty Girl From Matthews,The Avett Brothers,Country Was;The_Avett_Brothers,211
Country & Folk (500 titres),14,7,1961077,(I'd Be) A Legend In My Time,Roy Orbison,Only the lonely,189
Country & Folk (500 titres),14,7,1961757,(I'd Be) A Legend In My Time,Roy Orbison,The Heart of Roy Orbison: Country Orbison (disc 2),190
Country & Folk (500 titres),14,7,1962409,(I'd Be) A Legend In My Time,Roy Orbison,Only The Lonely CD1,189
Country & Folk (500 titres),14,7,1962437,(I'd Be) A Legend In My Time,Roy Orbison,Anthology,189
Country & Folk (500 titres),14,7,1960775,(I'd be) A legend in my time,Roy Orbison,Rock House,187
Country & Folk (500 titres),14,7,1961087,(I’d Be) A Legend in My Time,Roy Orbison,Lonely & Blue / At the Rock House,187
Country & Folk (500 titres),14,7,1962379,(I’d Be) A Legend in My Time,Roy Orbison,Lonely and Blue,190
Country & Folk (500 titres),15,2,2234944,(Let's Get) Dixiefried,Carl Perkins,My Kind of Country,178
Country & Folk (500 titres),15,2,2318487,(Let's Get) Dixiefried,Carl Perkins,My Kind of Country,178
Country & Folk (500 titres),16,3,1935171,16 CARRIAGES,Beyoncé,COWBOY CARTER,227
Country & Folk (500 titres),16,3,2133663,16 CARRIAGES,Beyoncé,Cowboy Carter,227
Country & Folk (500 titres),16,3,2329287,16 Carriages,Beyoncé,Act II: Cowboy Carter,4
Country & Folk (500 titres),17,2,1256210,A Lot of Moving,The Avett Brothers,Country Was,147
Country & Folk (500 titres),17,2,2110129,A Lot of Moving,The Avett Brothers,Country Was;The_Avett_Brothers,147
Country & Folk (500 titres),18,4,1968764,A Pair Of Brown Eyes,The Pogues,The Very Best Of,222
Country & Folk (500 titres),18,4,1968744,A Pair of Brown Eyes,The Pogues,30:30: The Essential Collection,301
Country & Folk (500 titres),18,4,1968794,A Pair of Brown Eyes,The Pogues,Dirty Old Town,300
Country & Folk (500 titres),18,4,1968666,A Pair of brown eyes,The Pogues,the Ultimate Collection,220
Country & Folk (500 titres),19,2,2123486,A.M. RADIO,The Lumineers,Brightside,237
Country & Folk (500 titres),19,2,2172294,A.M. RADIO,The Lumineers,Brightside,237
Country & Folk (500 titres),20,3,2133664,ALLIIGATOR TEARS,Beyoncé,Cowboy Carter,179
Country & Folk (500 titres),20,3,2242261,ALLIIGATOR TEARS,Beyoncé,COWBOY CARTER,179
Country & Folk (500 titres),20,3,2329296,Alliigator Tears,Beyoncé,Act II: Cowboy Carter,2
Country & Folk (500 titres),21,3,2133665,AMEN,Beyoncé,Cowboy Carter,145
Country & Folk (500 titres),21,3,2242269,AMEN,Beyoncé,COWBOY CARTER,145
Country & Folk (500 titres),21,3,2329304,Amen,Beyoncé,Act II: Cowboy Carter,17
Country & Folk (500 titres),22,3,2133666,AMERIICAN REQUIEM,Beyoncé,Cowboy Carter,325
Country & Folk (500 titres),22,3,2242253,AMERIICAN REQUIEM,Beyoncé,COWBOY CARTER,325
Country & Folk (500 titres),22,3,2329286,Ameriican Requiem,Beyoncé,Act II: Cowboy Carter,44
Country & Folk (500 titres),23,2,2055931,"All Good Naysayers, Speak Up! Or Forever Hold Your Peace!",Sufjan Stevens,Michigan,273
Country & Folk (500 titres),23,2,2170336,"All Good Naysayers, Speak Up! Or Forever Hold Your Peace!",Sufjan Stevens,Michigan,273
Country & Folk (500 titres),24,2,2109455,All the Things She Said,The BossHoss,Internashville Urban Hymns,204
Country & Folk (500 titres),24,2,2157191,All the Things She Said,The BossHoss,Internashville Urban Hymns,204
Country & Folk (500 titres),25,4,2216810,Americana,Justin Quiles,La última promesa,161
Country & Folk (500 titres),25,4,2228386,Americana,Justin Quiles,La última promesa,161
Country & Folk (500 titres),25,4,2282524,Americana,Justin Quiles,La Última Promesa,161
Country & Folk (500 titres),25,4,2304845,Americana,Justin Quiles,La Última Promesa (Apple Music Edition),161
Country & Folk (500 titres),26,3,2196505,Another Country,Big Country,The Journey,284
Country & Folk (500 titres),26,3,2220088,Another Country,Big Country,The Journey,284
Country & Folk (500 titres),26,3,2317436,Another Country,Big Country,The Journey,284
Country & Folk (500 titres),27,2,2273669,BIRTHDAY,The Lumineers,Brightside,254
Country & Folk (500 titres),27,2,2198143,Birthday,The Lumineers,Brightside,254
Country & Folk (500 titres),28,3,2133667,BODYGUARD,Beyoncé,Cowboy Carter,240
Country & Folk (500 titres),28,3,2242257,BODYGUARD,Beyoncé,COWBOY CARTER,240
Country & Folk (500 titres),28,3,2329292,Bodyguard,Beyoncé,Act II: Cowboy Carter,18
Country & Folk (500 titres),29,2,2107405,Band of Brothers,Dierks Bentley,Long Trip Alone,224
Country & Folk (500 titres),29,2,2273555,Band of Brothers,Dierks Bentley,Unknown Album,224
Country & Folk (500 titres),30,2,1256213,Beside the Yellow Line,The Avett Brothers,Country Was,301
Country & Folk (500 titres),30,2,2115086,Beside the Yellow Line,The Avett Brothers,Country Was;The_Avett_Brothers,301
Country & Folk (500 titres),31,2,2101189,Black Folk,ScHoolboy Q,CrasH Talk,147
Country & Folk (500 titres),31,2,2154800,Black Folk,ScHoolboy Q,CrasH Talk,147
Country & Folk (500 titres),32,2,2057697,Blood Makes Noise,Suzanne Vega,99.9 F°,148
Country & Folk (500 titres),32,2,2170517,Blood Makes Noise,Suzanne Vega,99.9 F°,148
Country & Folk (500 titres),33,5,2172871,Bluegrass Stain'd,Mark Ronson,Here Comes the Fuzz,252
Country & Folk (500 titres),33,5,2248591,Bluegrass Stain'd,Mark Ronson,Here Comes the Fuzz,252
Country & Folk (500 titres),33,5,2268070,Bluegrass Stain'd,Mark Ronson,Here Comes the Fuzz,252
Country & Folk (500 titres),33,5,2313121,Bluegrass Stain'd,Mark Ronson,Here Comes the Fuzz,252
Country & Folk (500 titres),33,5,2248592,Bluegrass Stain’d,Mark Ronson,Here Comes the Fuzz,252
Country & Folk (500 titres),34,2,2233485,Borley Rectory,Bafflegab Productions,The Scarifyers: For King and Country,307
Country & Folk (500 titres),34,2,2315367,Borley Rectory,Bafflegab Productions,The Scarifyers: For King and Country,307
Country & Folk (500 titres),35,2,1214970,Break Her Fall,Trace Adkins,Cowboy’s Back in Town,218
Country & Folk (500 titres),35,2,2320943,Break Her Fall,Trace Adkins,Cowboy’s Back in Town,218
Country & Folk (500 titres),36,2,2093791,Breathe,Taylor Swift,Fearless (platinum edition),264
Country & Folk (500 titres),36,2,2165888,Breathe,Taylor Swift,Fearless,264
Country & Folk (500 titres),37,3,2220545,Broken Heart (Thirteen Valleys),Big Country,The Best Of Big Country,310
Country & Folk (500 titres),37,3,2240578,Broken Heart (Thirteen Valleys),Big Country,The Best Of Big Country,310
