playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Covers & Reprises (500 titres),1,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Covers & Reprises (500 titres),1,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Covers & Reprises (500 titres),2,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Covers & Reprises (500 titres),2,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Covers & Reprises (500 titres),3,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
Covers & Reprises (500 titres),3,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
Covers & Reprises (500 titres),4,3,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Covers & Reprises (500 titres),4,3,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Covers & Reprises (500 titres),4,3,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Covers & Reprises (500 titres),5,2,2336418,Truly Madly Deeply (Album Version),Savage Garden,Truly Madly Deeply  (Single),277
Covers & Reprises (500 titres),5,2,1950351,Truly Madly Deeply (album version),Savage Garden,Truly Madly Deeply  (single),277
Covers & Reprises (500 titres),6,3,2244497,AIN'T NO STOPPIN' US NOW (AIN'T NO WAY VERSION),DJ Abdel,À L'ANCIENNE,256
Covers & Reprises (500 titres),6,3,2063364,Ain’t No Stoppin’ Us Now (Ain’t No Way version),DJ Abdel,À L'Ancienne,256
Covers & Reprises (500 titres),6,3,2260550,Ain't No Stoppin' Us Now (Ain't No Way Version),DJ Abdel,À L'ancienne,256
Covers & Reprises (500 titres),7,2,2063842,La Luna (radio version),Soléil,La Luna,226
Covers & Reprises (500 titres),7,2,2309735,La Luna (radio version),Soléil,La Luna (single),226
Covers & Reprises (500 titres),8,5,1271600,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Covers & Reprises (500 titres),8,5,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Covers & Reprises (500 titres),8,5,2307220,Nel blu dipinto di blu / Dans le bleu du ciel bleu (Acoustic Version),Claudio Capéo,Penso a te (L'ultimo),237
Covers & Reprises (500 titres),8,5,2112000,Nel blu dipinto di blu / Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Covers & Reprises (500 titres),8,5,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Covers & Reprises (500 titres),9,7,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
