playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Cuisine & Recette (500 titres),1,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Cuisine & Recette (500 titres),1,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Cuisine & Recette (500 titres),2,2,2235956,DON’T SPEAK,No Doubt,HAPPY: LIVE IN HOLLAND,302
Cuisine & Recette (500 titres),2,2,1283425,Don't Speak,No Doubt,Happy,302
Cuisine & Recette (500 titres),3,2,2183514,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Cuisine & Recette (500 titres),3,2,2312497,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Cuisine & Recette (500 titres),4,2,2062556,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Cuisine & Recette (500 titres),4,2,2175137,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Cuisine & Recette (500 titres),5,2,2110593,Happy,DJ Abdel,À l'ancienne 2,127
Cuisine & Recette (500 titres),5,2,2355727,Happy,DJ Abdel,À l’ancienne 2,272
Cuisine & Recette (500 titres),6,2,1978568,Happy Birthday,Jimi Hendrix,FLASHING,140
Cuisine & Recette (500 titres),6,2,2198287,Happy Birthday,Jimi Hendrix,FLASHING,140
Cuisine & Recette (500 titres),7,2,2071239,Happy Birthday,Curtis Knight and the Squires,"The Authentic PPX Studio Recordings, Volume 2: Flashing",140
Cuisine & Recette (500 titres),7,2,2198400,Happy Birthday,Curtis Knight and the Squires,"The Authentic PPX Studio Recordings, Volume 2: Flashing",140
Cuisine & Recette (500 titres),8,2,1964845,Happy Ending,Danny Elfman,Frankenweenie,210
Cuisine & Recette (500 titres),8,2,1964269,Happy Ending,Danny Elfman,Silver Linings Playbook,232
Cuisine & Recette (500 titres),9,2,2079815,Happy Song (Club Mix),Boney M.,Barbra Streisand - Boney M. goes Club,236
Cuisine & Recette (500 titres),9,2,2080040,Happy Song - Club Mix,Boney M.,Barbra Streisand - Boney M. goes Club,236
Cuisine & Recette (500 titres),10,2,2235389,ARE YOU HAPPY,Primitive Radio Gods,ROCKET,336
Cuisine & Recette (500 titres),10,2,1347999,Are You Happy,Primitive Radio Gods,Rocket,336
Cuisine & Recette (500 titres),11,21,1233052,Acoustic Mood,Sean Woodby,"Essential Happy Hour Ibiza Lounge & Chillout, Vol. 3",240
Cuisine & Recette (500 titres),11,21,2242921,Acoustic Mood,Sean Woodby,"Essential Happy Hour Ibiza Lounge & Chillout, Vol. 3",240
Cuisine & Recette (500 titres),11,21,2251918,Acoustic Mood,Sean Woodby,"Essential Happy Hour Ibiza Lounge & Chillout, Vol. 3",240
Cuisine & Recette (500 titres),11,21,2251920,Acoustic Mood,Sean Woodby,"Essential Happy Hour Ibiza Lounge & Chillout, Vol. 3",240
Cuisine & Recette (500 titres),11,21,2279148,Acoustic Mood,Sean Woodby,"Essential Happy Hour Ibiza Lounge & Chillout, Vol. 3",240
