playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Cuisine en rythme (88 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Cuisine en rythme (88 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Cuisine en rythme (88 titres),2,2,1186058,Secret Garden,T'pau,Heart And Soul - The Very Best Of T'Pau,244
Cuisine en rythme (88 titres),2,2,2183941,Secret Garden,T'pau,Heart And Soul - The Very Best Of T'Pau,244
Cuisine en rythme (88 titres),3,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Cuisine en rythme (88 titres),3,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Cuisine en rythme (88 titres),3,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Cuisine en rythme (88 titres),3,4,1954052,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger,260
Cuisine en rythme (88 titres),4,2,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Cuisine en rythme (88 titres),4,2,2123473,Mala mujer,C. Tangana,Ídolo,219
Cuisine en rythme (88 titres),5,2,1192236,Smoke & Chill,Living Room,Memories,182
Cuisine en rythme (88 titres),5,2,2183692,Smoke & Chill,Living Room,Memories,182
Cuisine en rythme (88 titres),6,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Cuisine en rythme (88 titres),6,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Cuisine en rythme (88 titres),6,3,2055494,Rien à perdre,Akhenaton,Double Chill Burger,272
Cuisine en rythme (88 titres),7,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Cuisine en rythme (88 titres),7,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Cuisine en rythme (88 titres),8,4,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Cuisine en rythme (88 titres),8,4,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Cuisine en rythme (88 titres),8,4,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Cuisine en rythme (88 titres),8,4,2131710,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Cuisine en rythme (88 titres),9,2,2111118,Rendezvous,Tina Charles,Heart 'N' Soul,202
Cuisine en rythme (88 titres),9,2,2183939,Rendezvous,Tina Charles,Heart 'N' Soul,202
Cuisine en rythme (88 titres),10,3,2099089,Lisa,Chris Botti,Night Sessions,308
Cuisine en rythme (88 titres),10,3,2184012,Lisa,Chris Botti,Night Sessions,308
Cuisine en rythme (88 titres),10,3,2197214,Lisa,Chris Botti,Night Sessions,308
Cuisine en rythme (88 titres),11,2,2067872,Caravane,Raphaël,Caravane,206
Cuisine en rythme (88 titres),11,2,2196964,Caravane,Raphaël,Caravane,206
Cuisine en rythme (88 titres),12,2,1910909,CAP.III CELOS: Pienso en tu mirá,ROSALÍA,EL MAL QUERER,193
