playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Daily mix chill (120 titres),1,2,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Daily mix chill (120 titres),1,2,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Daily mix chill (120 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Daily mix chill (120 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Daily mix chill (120 titres),3,2,2139605,Let’s Chill,Charlie Wilson,"Charlie, Last Name Wilson",302
Daily mix chill (120 titres),3,2,2280473,Let’s Chill,Charlie Wilson,"Charlie, Last Name Wilson",302
Daily mix chill (120 titres),4,2,1237811,Walk With Me,JetLag,Kontor: Sunset Chill 2015,341
Daily mix chill (120 titres),4,2,2336366,Walk With Me,JetLag,Kontor: Sunset Chill 2015,341
Daily mix chill (120 titres),5,2,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Daily mix chill (120 titres),5,2,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Daily mix chill (120 titres),6,2,1299153,Housewarming Party Mix 2022,Sexy Chillout Music Cafe,"Close to Midnight: New Year Chill Session, Special Occasion Deep House, New Year Party Dance Mix",306
Daily mix chill (120 titres),6,2,2183373,Housewarming Party mix 2022,Sexy Chillout Music Cafe,"Close to Midnight New Year Chill Session, Special Occasion Deep House, New Year Party Dance Mix",306
Daily mix chill (120 titres),7,2,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Daily mix chill (120 titres),7,2,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Daily mix chill (120 titres),8,2,2129310,Someone Like You (live acoustic),Adele,Someone Like You,304
Daily mix chill (120 titres),8,2,1248987,Someone Like You (live acoustic),Adele,Someone Like You,304
Daily mix chill (120 titres),9,2,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Daily mix chill (120 titres),9,2,2326632,Are You Gonna be My Girl (Acoustic Version),Jet,Get Born,215
Daily mix chill (120 titres),10,2,1980341,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Daily mix chill (120 titres),10,2,2142444,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Daily mix chill (120 titres),11,2,1246636,Down On My Knees (acoustic),Ayọ,Various Artists,311
Daily mix chill (120 titres),11,2,2009980,Down on My Knees (Acoustic),Ayọ,Joyful,311
Daily mix chill (120 titres),12,2,1988814,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Daily mix chill (120 titres),12,2,2183732,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Daily mix chill (120 titres),13,2,2167239,Chill,The Rasmus,Into,253
Daily mix chill (120 titres),13,2,2183589,Chill,The Rasmus,Into,253
Daily mix chill (120 titres),14,2,1962073,Pretty Paper (Acoustic Version),Roy Orbison,The Very Best Of Roy Orbison,403
Daily mix chill (120 titres),14,2,2065660,Pretty Paper (Acoustic Version),Roy Orbison,The Very Best Of Roy Orbison,403
Daily mix chill (120 titres),15,2,2018981,My Ghost,Alle Farben,Kontor Sunset Chill 2016,390
Daily mix chill (120 titres),15,2,2183663,My Ghost,Alle Farben,Kontor Sunset Chill 2016,390
Daily mix chill (120 titres),16,2,2281830,Description of a Fool (GA's acoustic mix),A Tribe Called Quest,"New School ""Funky Tribe"" Mixes  EP  (Mp3)",389
Daily mix chill (120 titres),16,2,2065527,Description of a Fool (GA’s acoustic mix),A Tribe Called Quest,"New School ""Funky Tribe"" Mixes  EP  (Mp3)",389
Daily mix chill (120 titres),17,2,1959787,Like A Waterfall (Lime Chill Remix),VARIOUS,Disconnect (Platinum Edition),386
Daily mix chill (120 titres),17,2,2183388,Like A Waterfall (Lime Chill Remix),VARIOUS,Disconnect (Platinum Edition),386
Daily mix chill (120 titres),18,2,2183327,Sail (Rae and Christian Remix),Aim Feat. Kate Rogers,"Cassagrande Lounge, Vol. 2 (The Best Chill - Art Music Collection)",381
Daily mix chill (120 titres),18,2,2288375,Sail (Rae and Christian Remix),Aim Feat. Kate Rogers,"Cassagrande Lounge, Vol. 2 (The Best Chill - Art Music Collection)",381
Daily mix chill (120 titres),19,2,2088995,Don't Wanna Know,Sabrina(사브리나),I Love Acoustic 9,378
Daily mix chill (120 titres),19,2,2160699,Don't Wanna Know,Sabrina(사브리나),I Love Acoustic 9,378
Daily mix chill (120 titres),20,2,2183549,How We Chill Featuring Mylene,Artenvielfalt,How We Chill,370
Daily mix chill (120 titres),20,2,2353138,How We Chill Featuring Mylene,Artenvielfalt,how we chill,370
Daily mix chill (120 titres),21,2,2010333,Closer - Autoreverse,Autoreverse,Chill Vibes,360
Daily mix chill (120 titres),21,2,2183366,Closer - Autoreverse,Autoreverse,Chill Vibes,360
Daily mix chill (120 titres),22,2,2337062,Alive (Acoustic),Dabin,Wild Youth (Acoustic),350
Daily mix chill (120 titres),22,2,1984824,Alive (acoustic),Dabin,Wild Youth (acoustic),350
Daily mix chill (120 titres),23,2,2176660,The Storm (acoustic),Big Country,Out Beyond the River: The Compulsion Years Anthology,347
Daily mix chill (120 titres),23,2,2218915,The Storm (acoustic),Big Country,Out Beyond the River: The Compulsion Years Anthology,347
Daily mix chill (120 titres),24,2,2174978,Holographic Warfare,Synth.J,cyberpunk ambient music,334
Daily mix chill (120 titres),24,2,2244979,Holographic Warfare,Synth.J,cyberpunk ambient music,334
Daily mix chill (120 titres),25,2,1977582,Chill,Brooklyn Bounce,The Beginning,331
Daily mix chill (120 titres),25,2,2183790,Chill,Brooklyn Bounce,The Beginning,331
Daily mix chill (120 titres),26,2,2300057,You're My Star (acoustic),Stereophonics,Keep the Village Alive (Deluxe),323
Daily mix chill (120 titres),26,2,2300058,You're My Star (acoustic),Stereophonics,Keep the Village Alive (Deluxe),323
Daily mix chill (120 titres),27,2,2086247,Champagne High (Live & Acoustic With Strings),Sister Hazel,Before the Amplifiers (Live & Acoustic),321
Daily mix chill (120 titres),27,2,1995408,Champagne High (Live & Acoustic with Strings),Sister Hazel,Before the Amplifiers (Live & Acoustic),321
Daily mix chill (120 titres),28,2,2141879,Big Boat (Buddy And Junior's Thing),Buddy Guy & Junior Wells,1981 - Boing Back To Acoustic [FLAC],316
Daily mix chill (120 titres),28,2,2251767,Big Boat (Buddy And Junior's Thing),Buddy Guy & Junior Wells,1981 - Boing Back To Acoustic [FLAC],316
Daily mix chill (120 titres),29,2,2179111,Cosmic Lounge,Frank Klepacki,Morphscape,312
Daily mix chill (120 titres),29,2,2197208,Cosmic Lounge,Frank Klepacki,Morphscape,312
Daily mix chill (120 titres),30,2,2142421,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Daily mix chill (120 titres),30,2,2252058,07 Favorite Girl [Acoustic] [Live],1,My Worlds: the Collection [Disc 1],309
Daily mix chill (120 titres),31,2,1995496,Acoustic Jam #3,Carlos Santana & Mahavishnu John McLaughlin,"Love, Devotion, Surrender Outtakes",309
Daily mix chill (120 titres),31,2,2067731,Acoustic Jam #3,Carlos Santana & Mahavishnu John McLaughlin,"Love, Devotion, Surrender Outtakes",309
Daily mix chill (120 titres),32,2,2288460,The Sun (Acoustic Version),Maroon 5,Unknown Album,301
Daily mix chill (120 titres),32,2,2065672,The Sun (acoustic version),Maroon 5,This Love,301
