playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Daily mix night drive (120 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Daily mix night drive (120 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Daily mix night drive (120 titres),2,2,2114756,War Machine,KISS,Creatures of the Night,255
Daily mix night drive (120 titres),2,2,2336315,War Machine,KISS,Creatures of the Night,255
Daily mix night drive (120 titres),3,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Daily mix night drive (120 titres),3,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Daily mix night drive (120 titres),4,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Daily mix night drive (120 titres),4,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Daily mix night drive (120 titres),5,2,1347869,What’s a Woman?,Vaya Con Dios,Night Owls,232
Daily mix night drive (120 titres),5,2,2128558,What’s a Woman?,Vaya Con Dios,Night Owls,232
Daily mix night drive (120 titres),6,2,2202311,"TURN ON, TUNE IN, COP OUT",Freak Power,DRIVE-THRU BOOTY,264
Daily mix night drive (120 titres),6,2,1232739,Turn On Tune In Cop Out,Freak Power,Drive-Thru Booty,264
Daily mix night drive (120 titres),7,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Daily mix night drive (120 titres),7,2,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Daily mix night drive (120 titres),8,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Daily mix night drive (120 titres),8,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Daily mix night drive (120 titres),9,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Daily mix night drive (120 titres),9,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Daily mix night drive (120 titres),10,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Daily mix night drive (120 titres),10,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Daily mix night drive (120 titres),11,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Daily mix night drive (120 titres),11,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Daily mix night drive (120 titres),12,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Daily mix night drive (120 titres),12,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Daily mix night drive (120 titres),13,2,1286312,Blink,John Dahlbäck,Blink,382
Daily mix night drive (120 titres),13,2,1351245,Blink,John Dahlbäck,Blink - Single,376
Daily mix night drive (120 titres),14,2,2272473,One More Night (Cutmore Club Mix),Maroon 5,Holiday Gift,348
Daily mix night drive (120 titres),14,2,2231445,ONE MORE NIGHT (CUTMORE CLUB MIX),Maroon 5,Holiday Gift,348
Daily mix night drive (120 titres),15,2,2274279,Diferente,Gotan Project,Lunático,323
Daily mix night drive (120 titres),15,2,2232019,Diferente,Gotan Project,Lunático,323
Daily mix night drive (120 titres),16,2,2174826,INTRO,M83,"HURRY UP, WE'RE DREAMING.",321
Daily mix night drive (120 titres),16,2,2057629,Intro,M83,"HURRY UP, WE'RE DREAMING.",321
Daily mix night drive (120 titres),17,2,2343369,Who Found Who,Jellybean,just visiting this planet,289
Daily mix night drive (120 titres),17,2,1349363,WHO FOUND WHO,Jellybean,Just Visiting This Planet,289
Daily mix night drive (120 titres),18,2,2354836,Ghetto Cocaïne,Kdd,une couleur de plus au drapeau,278
Daily mix night drive (120 titres),18,2,1193091,Ghetto cocaïne,Kdd,Une Couleur de Plus Au Drapeau,278
