playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Dancefloor rétro (29 titres),1,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Dancefloor rétro (29 titres),1,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Dancefloor rétro (29 titres),1,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Dancefloor rétro (29 titres),2,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Dancefloor rétro (29 titres),2,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Dancefloor rétro (29 titres),3,2,1631390,Yours,Various Artists,Back 2 the Dance,234
Dancefloor rétro (29 titres),3,2,2336280,Yours,Various Artists,Back 2 The Dance,234
Dancefloor rétro (29 titres),4,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Dancefloor rétro (29 titres),4,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Dancefloor rétro (29 titres),5,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Dancefloor rétro (29 titres),5,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Dancefloor rétro (29 titres),6,2,2070077,Supergirl,Various Artists,Urban Dance 13,212
Dancefloor rétro (29 titres),6,2,2184412,Supergirl,Various Artists,Urban Dance 13,212
