playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Découvertes de la semaine (118 titres),1,3,2202251,ON PARTIRA,Frédéric Lerner,ON PARTIRA,250
Découvertes de la semaine (118 titres),1,3,2011903,On Partira,Frédéric Lerner,Just Hits France,250
Découvertes de la semaine (118 titres),1,3,2180009,On partira,Frédéric Lerner,On partira,250
Découvertes de la semaine (118 titres),2,2,2231016,PAPER PLANES,M.I.A.,KALA,204
Découvertes de la semaine (118 titres),2,2,2341741,Paper Planes,M.I.A.,paper planes (homeland security remixes) - ep,205
Découvertes de la semaine (118 titres),3,2,1241261,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Découvertes de la semaine (118 titres),3,2,2336234,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Découvertes de la semaine (118 titres),4,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Découvertes de la semaine (118 titres),4,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Découvertes de la semaine (118 titres),5,3,1959385,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Découvertes de la semaine (118 titres),5,3,2278642,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Découvertes de la semaine (118 titres),5,3,2329617,Enfants de la Lune (feat. Anna Torroja),Psy 4 De La Rime,Enfants de la Lune,274
Découvertes de la semaine (118 titres),6,4,2198673,Enfants de la lune,Psy 4 De La Rime,Enfants de la Lune,274
Découvertes de la semaine (118 titres),6,4,2278644,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Découvertes de la semaine (118 titres),6,4,2280349,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Découvertes de la semaine (118 titres),6,4,2282773,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Découvertes de la semaine (118 titres),7,2,2013313,Spring Girl,Adam Ten,Unknown Album,228
Découvertes de la semaine (118 titres),7,2,2287613,Spring Girl,Adam Ten,Unknown Album,228
Découvertes de la semaine (118 titres),8,2,2266277,Unknown,Justin Timberlake,Unknown Album,275
Découvertes de la semaine (118 titres),8,2,2278689,Unknown,Justin Timberlake,Unknown Album,275
Découvertes de la semaine (118 titres),9,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Découvertes de la semaine (118 titres),9,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Découvertes de la semaine (118 titres),10,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Découvertes de la semaine (118 titres),10,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Découvertes de la semaine (118 titres),11,2,1347087,Pourquoi,Sniper,Gravé dans la roche,306
Découvertes de la semaine (118 titres),11,2,2355546,Pourquoi,Sniper,Gravé Dans La Roche,306
Découvertes de la semaine (118 titres),12,2,2138795,Rage,Chromeo,FANCIER FOOTWORK,274
Découvertes de la semaine (118 titres),12,2,1271651,Rage!,Chromeo,Fancier Footwork,274
Découvertes de la semaine (118 titres),13,2,1848847,Wavin' Flag (Celebration mix),K'naan,2010 Fifa World Cup Anthem,212
Découvertes de la semaine (118 titres),13,2,2001559,Wavin' Flag [Celebration mix],K'naan,2010 Fifa World Cup Anthem,212
Découvertes de la semaine (118 titres),14,2,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Découvertes de la semaine (118 titres),14,2,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Découvertes de la semaine (118 titres),15,2,2120818,Illusions,The Pharcyde,Humboldt Beginnings,226
Découvertes de la semaine (118 titres),15,2,2310332,Illusions,The Pharcyde,Humboldt Beginnings,226
Découvertes de la semaine (118 titres),16,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Découvertes de la semaine (118 titres),16,3,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Découvertes de la semaine (118 titres),16,3,2336351,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Découvertes de la semaine (118 titres),17,2,1960575,Miracle Love,Dj Project,In the Club,209
Découvertes de la semaine (118 titres),17,2,2183964,Miracle Love,Dj Project,In The Club,209
Découvertes de la semaine (118 titres),18,3,1186058,Secret Garden,T'pau,Heart And Soul - The Very Best Of T'Pau,244
Découvertes de la semaine (118 titres),18,3,1287977,Secret Garden,T'pau,Rage,246
Découvertes de la semaine (118 titres),18,3,1299743,Secret Garden,T'pau,Rage,245
Découvertes de la semaine (118 titres),19,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
Découvertes de la semaine (118 titres),19,2,2181542,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That’S What I Call A Workout 2,212
Découvertes de la semaine (118 titres),20,2,2114756,War Machine,KISS,Creatures of the Night,255
Découvertes de la semaine (118 titres),20,2,2336315,War Machine,KISS,Creatures of the Night,255
Découvertes de la semaine (118 titres),21,3,2334190,Smoke On the Water,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,233
Découvertes de la semaine (118 titres),21,3,2061675,Smoke on the Water,Pat Boone,Pat Boone - In A Metal Mood,233
Découvertes de la semaine (118 titres),21,3,2336391,Smoke on the Water,Pat Boone,Pat Boone - In A Metal Mood,233
