playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Deep cuts favoris (100 titres),1,3,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Deep cuts favoris (100 titres),1,3,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Deep cuts favoris (100 titres),1,3,2288248,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Deep cuts favoris (100 titres),2,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Deep cuts favoris (100 titres),2,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Deep cuts favoris (100 titres),2,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Deep cuts favoris (100 titres),2,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Deep cuts favoris (100 titres),3,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Deep cuts favoris (100 titres),3,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Deep cuts favoris (100 titres),4,2,2259646,Play Out,Zola Blood,Infinite Games,273
Deep cuts favoris (100 titres),4,2,1208439,Play Out,Zola Blood,Infinite Games,273
Deep cuts favoris (100 titres),5,4,2328426,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Deep cuts favoris (100 titres),5,4,2328379,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Deep cuts favoris (100 titres),5,4,1348187,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Deep cuts favoris (100 titres),5,4,1493999,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Deep cuts favoris (100 titres),6,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Deep cuts favoris (100 titres),6,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Deep cuts favoris (100 titres),6,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Deep cuts favoris (100 titres),7,6,2285209,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Deep cuts favoris (100 titres),7,6,1273631,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Deep cuts favoris (100 titres),7,6,2278645,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Deep cuts favoris (100 titres),7,6,2280350,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Deep cuts favoris (100 titres),7,6,2282774,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Deep cuts favoris (100 titres),7,6,2329604,Le monde est…,Psy 4 De La Rime,Enfants de la Lune,325
Deep cuts favoris (100 titres),8,2,2110873,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,Mtv Mash Up!,230
Deep cuts favoris (100 titres),8,2,2270626,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,MTV Mash Up!,230
Deep cuts favoris (100 titres),9,3,1959385,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Deep cuts favoris (100 titres),9,3,2278642,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Deep cuts favoris (100 titres),9,3,2329617,Enfants de la Lune (feat. Anna Torroja),Psy 4 De La Rime,Enfants de la Lune,274
Deep cuts favoris (100 titres),10,4,2198673,Enfants de la lune,Psy 4 De La Rime,Enfants de la Lune,274
Deep cuts favoris (100 titres),10,4,2278644,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Deep cuts favoris (100 titres),10,4,2280349,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Deep cuts favoris (100 titres),10,4,2282773,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Deep cuts favoris (100 titres),11,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Deep cuts favoris (100 titres),11,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Deep cuts favoris (100 titres),12,3,2202251,ON PARTIRA,Frédéric Lerner,ON PARTIRA,250
Deep cuts favoris (100 titres),12,3,2011903,On Partira,Frédéric Lerner,Just Hits France,250
Deep cuts favoris (100 titres),12,3,2180009,On partira,Frédéric Lerner,On partira,250
Deep cuts favoris (100 titres),13,2,1241261,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Deep cuts favoris (100 titres),13,2,2336234,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Deep cuts favoris (100 titres),14,2,2341741,Paper Planes,M.I.A.,paper planes (homeland security remixes) - ep,205
Deep cuts favoris (100 titres),14,2,2231016,PAPER PLANES,M.I.A.,KALA,204
Deep cuts favoris (100 titres),15,6,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Deep cuts favoris (100 titres),15,6,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Deep cuts favoris (100 titres),15,6,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
Deep cuts favoris (100 titres),15,6,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Deep cuts favoris (100 titres),15,6,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Deep cuts favoris (100 titres),15,6,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Deep cuts favoris (100 titres),16,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Deep cuts favoris (100 titres),16,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
