playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Deep work sans parole (140 titres),1,2,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Deep work sans parole (140 titres),1,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Deep work sans parole (140 titres),2,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Deep work sans parole (140 titres),2,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Deep work sans parole (140 titres),2,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Deep work sans parole (140 titres),3,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Deep work sans parole (140 titres),3,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Deep work sans parole (140 titres),4,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Deep work sans parole (140 titres),4,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Deep work sans parole (140 titres),5,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Deep work sans parole (140 titres),5,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Deep work sans parole (140 titres),6,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Deep work sans parole (140 titres),6,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Deep work sans parole (140 titres),7,2,1173614,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : III. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,497
Deep work sans parole (140 titres),7,2,1173615,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : III. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,497
Deep work sans parole (140 titres),8,2,1960043,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Deep work sans parole (140 titres),8,2,2198573,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Deep work sans parole (140 titres),9,2,2233388,Anticipation (David Chevalier Instrumental),Barbara Tucker And David Vendetta,Anticipation,431
Deep work sans parole (140 titres),9,2,2296618,Anticipation (David Chevalier Instrumental),Barbara Tucker And David Vendetta,Anticipation,431
Deep work sans parole (140 titres),10,3,2108480,Piano,Frank Zappa,Unknown Album,428
Deep work sans parole (140 titres),10,3,2164406,Piano,Frank Zappa,Dance Me This,428
Deep work sans parole (140 titres),10,3,2312875,Piano,Frank Zappa,Dance Me This,428
Deep work sans parole (140 titres),11,2,1958150,Fun With V.Knutsn (Instrumental),Cyndi Lauper,Girls Just Want to Have Fun [Us 12'' Maxi-Single (4r9-04971)],428
Deep work sans parole (140 titres),11,2,2060553,Fun With V. Knutsn (instrumental),Cyndi Lauper,Various Artists,428
Deep work sans parole (140 titres),12,2,2122521,You Take My Breath Away,Sarah Brightman,Harem,410
Deep work sans parole (140 titres),12,2,1957591,You Take My Breath Away,Sarah Brightman,Fly,409
Deep work sans parole (140 titres),13,2,2165247,Part V,Nils Frahm,Electric Piano,399
Deep work sans parole (140 titres),13,2,2056517,Part V,Nils Frahm,Electric Piano,398
Deep work sans parole (140 titres),14,2,2234526,Hit My Heart (Instrumental Mix),J.K.,Hit My Heart WEB,395
Deep work sans parole (140 titres),14,2,2296735,Hit My Heart (Instrumental Mix),J.K.,Hit My Heart WEB,395
Deep work sans parole (140 titres),15,3,2263203,Late Nite Tip (DJ Herb’s Ride Out Late Nite extended remix instrumental),Three 6 Mafia,Late Nite Tip,377
Deep work sans parole (140 titres),15,3,2300196,Late Nite Tip (DJ Herb’s Ride Out Late Nite extended remix instrumental),Three 6 Mafia,Late Nite Tip,377
Deep work sans parole (140 titres),15,3,2216349,Late Nite Tip (DJ Herb’s Ride Out Late Nite extended remix instrumental),Three 6 Mafia,Late Nite Tip,377
