playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Dimanche reset (120 titres),1,2,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Dimanche reset (120 titres),1,2,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Dimanche reset (120 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Dimanche reset (120 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Dimanche reset (120 titres),3,2,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Dimanche reset (120 titres),3,2,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Dimanche reset (120 titres),4,2,2067872,Caravane,Raphaël,Caravane,206
Dimanche reset (120 titres),4,2,2196964,Caravane,Raphaël,Caravane,206
Dimanche reset (120 titres),5,2,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Dimanche reset (120 titres),5,2,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Dimanche reset (120 titres),6,2,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Dimanche reset (120 titres),6,2,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Dimanche reset (120 titres),7,2,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Dimanche reset (120 titres),7,2,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Dimanche reset (120 titres),8,2,1869838,Soulman,Ben L’Oncle Soul,Ben L'oncle Soul,224
Dimanche reset (120 titres),8,2,2260420,Soulman,Ben L’Oncle Soul,Ben l'Oncle Soul,223
Dimanche reset (120 titres),9,2,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Dimanche reset (120 titres),9,2,2326632,Are You Gonna be My Girl (Acoustic Version),Jet,Get Born,215
Dimanche reset (120 titres),10,2,1245442,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Dimanche reset (120 titres),10,2,1428644,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Dimanche reset (120 titres),11,2,1980341,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Dimanche reset (120 titres),11,2,2142444,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Dimanche reset (120 titres),12,2,1427869,Man Do,Blue,Heart & Soul,179
Dimanche reset (120 titres),12,2,2113009,Man Do,Blue,Heart & Soul,179
Dimanche reset (120 titres),13,2,2121274,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Dimanche reset (120 titres),13,2,2306829,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Dimanche reset (120 titres),14,2,2197239,Involuntary Bliss,Eddie Henderson,Sunburst,412
Dimanche reset (120 titres),14,2,2309521,Involuntary Bliss,Eddie Henderson,Sunburst,412
Dimanche reset (120 titres),15,2,1988814,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Dimanche reset (120 titres),15,2,2183732,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Dimanche reset (120 titres),16,2,2329730,Chanteur de jazz,Michel Sardou,Chanteur De Jazz,281
Dimanche reset (120 titres),16,2,2286966,Chanteur de Jazz,Michel Sardou,Unknown Album,281
Dimanche reset (120 titres),17,2,2167848,LA VIDA ES UN CARNAVAL,Celia Cruz,MI VIDA ES CANTAR,275
Dimanche reset (120 titres),17,2,2197192,La vida es un carnaval,Celia Cruz,MI VIDA ES CANTAR,275
Dimanche reset (120 titres),18,2,2068311,Every Little Thing I Do (re-recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Dimanche reset (120 titres),18,2,2068309,Every Little Thing I Do (re‐recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Dimanche reset (120 titres),19,2,2167239,Chill,The Rasmus,Into,253
Dimanche reset (120 titres),19,2,2183589,Chill,The Rasmus,Into,253
Dimanche reset (120 titres),20,2,1981637,Entrer Dans La Lumière,Patricia Kaas,Je Te Dis Vous,245
Dimanche reset (120 titres),20,2,2339843,Entrer Dans La Lumière,Patricia Kaas,je te dis vous,245
Dimanche reset (120 titres),21,2,2352933,Manhattan-Kaboul,Axelle Red,french soul,230
Dimanche reset (120 titres),21,2,2352929,Manhattan‐Kaboul,Axelle Red,french soul,230
Dimanche reset (120 titres),22,2,2153527,PERFECT DAY,Collective Soul,BLENDER,228
Dimanche reset (120 titres),22,2,2102845,Perfect Day,Collective Soul,BLENDER,228
