playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Diner romantique (100 titres),1,2,2266277,Unknown,Justin Timberlake,Unknown Album,275
Diner romantique (100 titres),1,2,2278689,Unknown,Justin Timberlake,Unknown Album,275
Diner romantique (100 titres),2,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Diner romantique (100 titres),2,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Diner romantique (100 titres),3,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Diner romantique (100 titres),3,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Diner romantique (100 titres),4,2,2067872,Caravane,Raphaël,Caravane,206
Diner romantique (100 titres),4,2,2196964,Caravane,Raphaël,Caravane,206
Diner romantique (100 titres),5,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Diner romantique (100 titres),5,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Diner romantique (100 titres),6,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Diner romantique (100 titres),6,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Diner romantique (100 titres),7,2,2213202,TU M'OUBLIERAS,Larusso,SIMPLEMENT,198
Diner romantique (100 titres),7,2,2184033,Tu M'oublieras,Larusso,Simplement,198
Diner romantique (100 titres),8,2,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Diner romantique (100 titres),8,2,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Diner romantique (100 titres),9,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Diner romantique (100 titres),9,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Diner romantique (100 titres),10,2,2087752,Addictive (LP),Truth Hurts,Addictive,226
Diner romantique (100 titres),10,2,2183863,Addictive (LP),Truth Hurts,Addictive,226
Diner romantique (100 titres),11,2,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Diner romantique (100 titres),11,2,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Diner romantique (100 titres),12,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Diner romantique (100 titres),12,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Diner romantique (100 titres),13,2,2308736,"Yes Sir, I Can Boogie",Baccara,Baccara: The Original Hits,271
Diner romantique (100 titres),13,2,2184048,"Yes Sir, I Can Boogie",Baccara,The Original Hits,271
Diner romantique (100 titres),14,2,2068187,L'un pour l'autre,K.Maro,01.10,269
Diner romantique (100 titres),14,2,2183847,L'un pour l'autre,K.Maro,01.10,269
Diner romantique (100 titres),15,2,2057601,I’ll Be Loving You (Forever),New Kids On the Block,Hangin’ Tough;New_Kids_on_the_Block,267
Diner romantique (100 titres),15,2,1426028,I’ll Be Loving You (Forever),New Kids On the Block,Hangin’ Tough,265
Diner romantique (100 titres),16,2,2233427,Do You Really Want To Hurt Me?,Culture Club,Very Best Of Culture Club & Boy George,264
Diner romantique (100 titres),16,2,2234508,Do You Really Want To Hurt Me,Culture Club,Kissing To Be Clever,261
Diner romantique (100 titres),17,2,2113550,Don't Let Them,Ashanti,Unknown Album,263
Diner romantique (100 titres),17,2,2289824,Don’t Let Them,Ashanti,Concrete Rose,263
Diner romantique (100 titres),18,2,2094959,Let Me Ride (Feat. Jimetta Rose),Sly5thAve,The Invisible Man: an Orchestral Tribute to Dr. Dre,263
Diner romantique (100 titres),18,2,2184046,Let Me Ride (Feat. Jimetta Rose),Sly5thAve,The Invisible Man: an Orchestral Tribute to Dr. Dre,263
Diner romantique (100 titres),19,2,1966781,Feelin' Inside,Bobby Brown,Forever,246
