playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Diversité intelligente (120 titres),1,2,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Diversité intelligente (120 titres),1,2,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Diversité intelligente (120 titres),2,2,1487096,Paradise (radio edit),Coldplay,Paradise,263
Diversité intelligente (120 titres),2,2,2128609,Paradise (radio edit),Coldplay,Paradise,263
Diversité intelligente (120 titres),3,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Diversité intelligente (120 titres),3,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Diversité intelligente (120 titres),4,2,2259646,Play Out,Zola Blood,Infinite Games,273
Diversité intelligente (120 titres),4,2,1208439,Play Out,Zola Blood,Infinite Games,273
Diversité intelligente (120 titres),5,2,2328426,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Diversité intelligente (120 titres),5,2,2328379,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Diversité intelligente (120 titres),6,2,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Diversité intelligente (120 titres),6,2,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Diversité intelligente (120 titres),7,2,2285209,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Diversité intelligente (120 titres),7,2,1273631,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Diversité intelligente (120 titres),8,2,2110873,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,Mtv Mash Up!,230
Diversité intelligente (120 titres),8,2,2270626,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,MTV Mash Up!,230
Diversité intelligente (120 titres),9,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Diversité intelligente (120 titres),9,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Diversité intelligente (120 titres),10,2,2202251,ON PARTIRA,Frédéric Lerner,ON PARTIRA,250
Diversité intelligente (120 titres),10,2,2011903,On Partira,Frédéric Lerner,Just Hits France,250
Diversité intelligente (120 titres),11,2,1241261,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Diversité intelligente (120 titres),11,2,2336234,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Diversité intelligente (120 titres),12,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Diversité intelligente (120 titres),12,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Diversité intelligente (120 titres),13,2,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Diversité intelligente (120 titres),13,2,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Diversité intelligente (120 titres),14,2,2198696,Unknown,The Bar-Kays,Unknown Album,378
Diversité intelligente (120 titres),14,2,2280386,Unknown,The Bar-Kays,Unknown Album,378
Diversité intelligente (120 titres),15,2,2114975,Raw,Spandau Ballet,Heart Like a Sky,227
Diversité intelligente (120 titres),15,2,2336345,Raw,Spandau Ballet,Heart Like a Sky,227
Diversité intelligente (120 titres),16,2,1953895,(Everything I Do) I Do It for You,Bryan Adams,So Far So Good  (Compilation),393
Diversité intelligente (120 titres),16,2,2256549,(Everything I Do) I Do It for You,Bryan Adams,Anthology CD2,393
Diversité intelligente (120 titres),17,2,1488683,Suga Suga,Baby Bash,Tha Smokin' Nephew,242
Diversité intelligente (120 titres),17,2,2354999,Suga Suga,Baby Bash,Tha Smokin' Nephew,242
Diversité intelligente (120 titres),18,2,1287977,Secret Garden,T'pau,Rage,246
Diversité intelligente (120 titres),18,2,1299743,Secret Garden,T'pau,Rage,245
Diversité intelligente (120 titres),19,2,2120818,Illusions,The Pharcyde,Humboldt Beginnings,226
Diversité intelligente (120 titres),19,2,2310332,Illusions,The Pharcyde,Humboldt Beginnings,226
Diversité intelligente (120 titres),20,2,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Diversité intelligente (120 titres),20,2,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Diversité intelligente (120 titres),21,2,1960575,Miracle Love,Dj Project,In the Club,209
Diversité intelligente (120 titres),21,2,2183964,Miracle Love,Dj Project,In The Club,209
