playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Evasion urbaine (120 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Evasion urbaine (120 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Evasion urbaine (120 titres),2,2,2001559,Wavin' Flag [Celebration mix],K'naan,2010 Fifa World Cup Anthem,212
Evasion urbaine (120 titres),2,2,1848847,Wavin' Flag (Celebration mix),K'naan,2010 Fifa World Cup Anthem,212
Evasion urbaine (120 titres),3,2,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Evasion urbaine (120 titres),3,2,2308987,Mala Mujer,C. Tangana,Ídolo,219
Evasion urbaine (120 titres),4,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Evasion urbaine (120 titres),4,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Evasion urbaine (120 titres),5,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Evasion urbaine (120 titres),5,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Evasion urbaine (120 titres),6,2,1351200,Dernière Danse,Indila,mini world (deluxe),214
Evasion urbaine (120 titres),6,2,2113688,Dernière Danse,Indila,Mini World (Deluxe),214
Evasion urbaine (120 titres),7,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Evasion urbaine (120 titres),7,2,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Evasion urbaine (120 titres),8,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Evasion urbaine (120 titres),8,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Evasion urbaine (120 titres),9,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Evasion urbaine (120 titres),9,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Evasion urbaine (120 titres),10,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Evasion urbaine (120 titres),10,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Evasion urbaine (120 titres),11,2,2203153,CHANGE THE WORLD,Eric Clapton,CHANGE THE WORLD,234
Evasion urbaine (120 titres),11,2,2114060,Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,234
Evasion urbaine (120 titres),12,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Evasion urbaine (120 titres),12,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Evasion urbaine (120 titres),13,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Evasion urbaine (120 titres),13,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Evasion urbaine (120 titres),14,2,1286312,Blink,John Dahlbäck,Blink,382
Evasion urbaine (120 titres),14,2,1351245,Blink,John Dahlbäck,Blink - Single,376
