playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Fête (84 titres),1,2,2030482,Bladi,Freeman,L'palais de Justice,329
Fête (84 titres),1,2,1388555,Bladi,Freeman,L’Palais de justice,329
Fête (84 titres),2,3,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Fête (84 titres),2,3,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Fête (84 titres),2,3,2198683,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Fête (84 titres),3,2,1960575,Miracle Love,Dj Project,In the Club,209
Fête (84 titres),3,2,2183964,Miracle Love,Dj Project,In The Club,209
Fête (84 titres),4,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Fête (84 titres),4,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Fête (84 titres),5,2,2181542,SWEET NOTHING (FEAT. FLORENCE WELCH),Various Artists,NOW THAT’S WHAT I CALL A WORKOUT 2,212
Fête (84 titres),5,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
Fête (84 titres),6,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Fête (84 titres),6,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Fête (84 titres),6,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Fête (84 titres),6,4,1954052,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger,260
Fête (84 titres),7,2,1261128,Myth,Beach House,[standalone recordings],258
Fête (84 titres),7,2,2067936,Myth,Beach House,Bloom,254
Fête (84 titres),8,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Fête (84 titres),8,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Fête (84 titres),9,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Fête (84 titres),9,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Fête (84 titres),9,3,2055494,Rien à perdre,Akhenaton,Double Chill Burger,272
Fête (84 titres),10,2,2080043,Flashdance... What A Feeling,Various Artists,100 Hits Disco,236
Fête (84 titres),10,2,1939444,Flashdance... What a Feeling,Various Artists,100 Hits Disco,236
Fête (84 titres),11,2,1631390,Yours,Various Artists,Back 2 the Dance,234
Fête (84 titres),11,2,2131613,Yours,Various Artists,Back 2 The Dance,234
Fête (84 titres),12,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Fête (84 titres),12,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Fête (84 titres),13,4,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Fête (84 titres),13,4,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Fête (84 titres),13,4,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Fête (84 titres),13,4,2131710,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Fête (84 titres),14,3,2267469,House Key,Scott Helman,Hôtel de Ville,205
Fête (84 titres),14,3,2109167,House Key,Scott Helman,Hôtel de Ville,205
Fête (84 titres),14,3,1946490,House Key,Scott Helman,Hôtel de Ville,205
Fête (84 titres),15,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Fête (84 titres),15,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Fête (84 titres),16,2,2120068,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Fête (84 titres),16,2,2132270,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Fête (84 titres),17,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Fête (84 titres),17,2,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Fête (84 titres),18,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Fête (84 titres),18,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
