playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Funk & Disco (5015 titres),1,2,1427598,"""Groove To The Music""",DJ Jean,Love Come Home,255
Funk & Disco (5015 titres),1,2,2112156,Groove to the Music,DJ Jean,Love Come Home,255
Funk & Disco (5015 titres),2,3,1418963,#1 Dee Jay,Various Artists,Disco Connection: Authentic Classic Disco 1976-1981,452
Funk & Disco (5015 titres),2,3,1427594,#1 Dee Jay,Various Artists,Disco Connection: Authentic Classic Disco 1976-1981,452
Funk & Disco (5015 titres),2,3,2111687,#1 Dee Jay,Various Artists,Disco Connection: Authentic Classic Disco 1976-1981,452
Funk & Disco (5015 titres),3,4,1248021,(Are You Ready) Do the Bus Stop,Various Artists,Anthems: Disco,197
Funk & Disco (5015 titres),3,4,1418734,(Are You Ready) Do the Bus Stop,Various Artists,Anthems: Disco,197
Funk & Disco (5015 titres),3,4,1427589,(Are You Ready) Do the Bus Stop,Various Artists,Anthems: Disco,197
Funk & Disco (5015 titres),3,4,2184670,(Are You Ready) Do the Bus Stop,Various Artists,Soul Funk All Stars,197
Funk & Disco (5015 titres),4,5,1427582,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Disco (5015 titres),4,5,1427583,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Disco (5015 titres),4,5,2121274,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Disco (5015 titres),4,5,2305897,(Do the) Mashed Potatoes,James Brown,Grits & Soul (Instrumentals) [Expanded Edition],151
Funk & Disco (5015 titres),4,5,2306829,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Disco (5015 titres),5,2,1973099,(You're My) Soul & Inspiration,The Righteous Brothers,Gold,195
Funk & Disco (5015 titres),5,2,1972889,(You’re My) Soul & Inspiration,The Righteous Brothers,Live On The Sunset Strip,206
Funk & Disco (5015 titres),6,9,1972919,(You're My) Soul And Inspiration,The Righteous Brothers,Reunion,203
Funk & Disco (5015 titres),6,9,1972965,(You're My) Soul and Inspiration,The Righteous Brothers,Rock 'N' Roll Legends,197
Funk & Disco (5015 titres),6,9,1973043,(You're My) Soul and Inspiration,The Righteous Brothers,20th Century Masters: The Millennium Collection: The Best of the Righteous Brothers,185
Funk & Disco (5015 titres),6,9,1973053,(You're My) Soul and Inspiration,The Righteous Brothers,The Very Best of The Righteous Brothers: Unchained Melody,186
Funk & Disco (5015 titres),6,9,1973054,(You're My) Soul and Inspiration,The Righteous Brothers,The Very Best of The Righteous Brothers: Unchained Melody,120
Funk & Disco (5015 titres),6,9,1973075,(You're My) Soul and Inspiration,The Righteous Brothers,The Very Best of the Righteous Brothers: Unchained Melody,204
Funk & Disco (5015 titres),6,9,1973237,(You're My) Soul and Inspiration,The Righteous Brothers,Unchained Melodies,204
Funk & Disco (5015 titres),6,9,1973032,(you're My) Soul and Inspiration,The Righteous Brothers,The Essential Collection,180
Funk & Disco (5015 titres),6,9,1972903,You're My Soul And Inspiration,The Righteous Brothers,One For The Road,189
Funk & Disco (5015 titres),7,2,2305982,01 Funk Mix 2015 - Fête Funked Up,Inconnu - - 12,Unknown Album,3848
