playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Funk & Soul (500 titres),1,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Funk & Soul (500 titres),1,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Funk & Soul (500 titres),1,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Funk & Soul (500 titres),2,5,2121274,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Soul (500 titres),2,5,2306829,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Soul (500 titres),2,5,1427582,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Soul (500 titres),2,5,1427583,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Funk & Soul (500 titres),2,5,2305897,(Do the) Mashed Potatoes,James Brown,Grits & Soul (Instrumentals) [Expanded Edition],151
Funk & Soul (500 titres),3,2,1245442,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Funk & Soul (500 titres),3,2,1428644,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Funk & Soul (500 titres),4,2,2183929,"If You Feel the Funk (12"" Version)",Ben Liebrand,Grand 12‐Inches 2,311
Funk & Soul (500 titres),4,2,2352587,"If You Feel the Funk (12"" Version)",Ben Liebrand,grand 12‐inches 2,311
Funk & Soul (500 titres),5,2,1427869,Man Do,Blue,Heart & Soul,179
Funk & Soul (500 titres),5,2,2113009,Man Do,Blue,Heart & Soul,179
Funk & Soul (500 titres),6,2,1869838,Soulman,Ben L’Oncle Soul,Ben L'oncle Soul,224
Funk & Soul (500 titres),6,2,2260420,Soulman,Ben L’Oncle Soul,Ben l'Oncle Soul,223
Funk & Soul (500 titres),7,2,1427014,A Man Has to Go Back to the Crossroads,Various Artists,Shout Bamalama: Rare 60’s Soul and R&B,177
Funk & Soul (500 titres),7,2,2099212,A Man Has to Go Back to the Crossroads,Various Artists,Shout Bamalama: Rare 60’s Soul and R&B,177
Funk & Soul (500 titres),8,4,2169813,Ain't No Chimneys in the Projects,Sharon Jones and the Dap‐Kings,It's A Holiday Soul Party,143
Funk & Soul (500 titres),8,4,2246470,Ain't No Chimneys In The Projects,Sharon Jones and the Dap‐Kings,It's a Holiday Soul Party,143
Funk & Soul (500 titres),8,4,2313013,Ain't No Chimneys In the Projects,Sharon Jones and the Dap‐Kings,It's a Holiday Soul Party,142
Funk & Soul (500 titres),8,4,2210730,Ain’t No Chimneys in the Projects,Sharon Jones and the Dap‐Kings,It’s a Holiday Soul Party,143
Funk & Soul (500 titres),9,2,1428189,Angel,Chaka Khan,Funk This,266
Funk & Soul (500 titres),9,2,2139809,Angel,Chaka Khan,Funk This,266
Funk & Soul (500 titres),10,5,2308556,BREAK MY SOUL,Beyoncé,RENAISSANCE,261
Funk & Soul (500 titres),10,5,1977004,Break My Soul,Beyoncé,Renaissance,278
Funk & Soul (500 titres),10,5,2120788,BREAK MY SOUL,Beyoncé,RENAISSANCE,278
Funk & Soul (500 titres),10,5,2305953,BREAK MY SOUL,Beyoncé,RENAISSANCE,278
Funk & Soul (500 titres),10,5,2305954,BREAK MY SOUL,Beyoncé,RENAISSANCE,261
Funk & Soul (500 titres),11,3,1245938,Back to You,Beverley Knight,Music City Soul,227
Funk & Soul (500 titres),11,3,2123425,Back to You,Beverley Knight,Music City Soul,227
Funk & Soul (500 titres),11,3,2308728,Back to You,Beverley Knight,Music City Soul,227
