playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Gaming Session (500 titres),1,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Gaming Session (500 titres),1,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Gaming Session (500 titres),2,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Gaming Session (500 titres),2,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Gaming Session (500 titres),3,3,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Gaming Session (500 titres),3,3,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Gaming Session (500 titres),3,3,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Gaming Session (500 titres),4,2,1631390,Yours,Various Artists,Back 2 the Dance,234
Gaming Session (500 titres),4,2,2336280,Yours,Various Artists,Back 2 The Dance,234
Gaming Session (500 titres),5,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Gaming Session (500 titres),5,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Gaming Session (500 titres),5,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Gaming Session (500 titres),6,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Gaming Session (500 titres),6,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Gaming Session (500 titres),7,3,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Gaming Session (500 titres),7,3,1836564,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),257
Gaming Session (500 titres),7,3,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Gaming Session (500 titres),8,2,2116540,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Gaming Session (500 titres),8,2,2319637,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Gaming Session (500 titres),9,8,2173821,Unknown,Mylo,Unknown Album,206
Gaming Session (500 titres),9,8,2155068,Unknown,Mylo,Unknown Album,212
Gaming Session (500 titres),9,8,2155070,Unknown,Mylo,Unknown Album,238
Gaming Session (500 titres),9,8,2155071,Unknown,Mylo,Unknown Album,250
Gaming Session (500 titres),9,8,2155072,Unknown,Mylo,Unknown Album,291
Gaming Session (500 titres),9,8,2155073,Unknown,Mylo,Unknown Album,335
