playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Gaming focus (130 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Gaming focus (130 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Gaming focus (130 titres),2,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Gaming focus (130 titres),2,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Gaming focus (130 titres),3,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Gaming focus (130 titres),3,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Gaming focus (130 titres),4,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Gaming focus (130 titres),4,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Gaming focus (130 titres),5,2,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Gaming focus (130 titres),5,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Gaming focus (130 titres),6,3,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Gaming focus (130 titres),6,3,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Gaming focus (130 titres),6,3,1836564,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),257
Gaming focus (130 titres),7,2,2116540,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Gaming focus (130 titres),7,2,2319637,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Gaming focus (130 titres),8,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Gaming focus (130 titres),8,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Gaming focus (130 titres),9,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Gaming focus (130 titres),9,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Gaming focus (130 titres),9,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Gaming focus (130 titres),10,3,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Gaming focus (130 titres),10,3,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Gaming focus (130 titres),10,3,1247340,Ain’t Talkin’ ‘Bout Dub,Apollo 440,Electro Glide In Blue,270
Gaming focus (130 titres),11,2,1950326,Listen to Your Heart,DHT,Unknown Album,270
Gaming focus (130 titres),11,2,2131691,Listen to Your Heart,DHT,Listen to Your Heart,270
Gaming focus (130 titres),12,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Gaming focus (130 titres),12,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Gaming focus (130 titres),13,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Gaming focus (130 titres),13,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Gaming focus (130 titres),14,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Gaming focus (130 titres),14,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Gaming focus (130 titres),15,2,1959129,Ma Baker (Remix),Boney M.,Boney M. 2000∶ 20th Century Hits,231
Gaming focus (130 titres),15,2,1176829,Ma Baker (remix),Boney M.,Boney M. 2000: 20th Century Hits,231
Gaming focus (130 titres),16,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Gaming focus (130 titres),16,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Gaming focus (130 titres),17,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Gaming focus (130 titres),17,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Gaming focus (130 titres),18,3,1286312,Blink,John Dahlbäck,Blink,382
Gaming focus (130 titres),18,3,1351245,Blink,John Dahlbäck,Blink - Single,376
Gaming focus (130 titres),18,3,1848919,Blink,John Dahlbäck,20,376
