playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Génération Top 50 (7793 titres),1,12,1348187,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,1287538,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,1493999,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2131578,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2198679,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2237107,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2131579,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2131580,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2198680,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2198681,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2237108,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),1,12,2237109,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Génération Top 50 (7793 titres),2,2,1235496,La corrida,Francis Cabrel,L'essentiel / 1977 - 2007,338
Génération Top 50 (7793 titres),2,2,1944665,La Corrida,Francis Cabrel,Double Tour,445
Génération Top 50 (7793 titres),3,3,2179959,Samedi soir sur la Terre,Francis Cabrel,Samedi soir sur la Terre,341
Génération Top 50 (7793 titres),3,3,1944669,Samedi Soir Sur La Terre,Francis Cabrel,Double Tour,456
Génération Top 50 (7793 titres),3,3,1235485,Samedi soir sur la Terre,Francis Cabrel,Various Artists,414
Génération Top 50 (7793 titres),4,3,2212908,Y'A D'LA HAINE,Les Rita Mitsouko,SYSTÈME D,279
Génération Top 50 (7793 titres),4,3,1869711,Y'a d'la haine,Les Rita Mitsouko,Best of & Raretés,279
Génération Top 50 (7793 titres),4,3,2096277,Y’A D’la Haine,Les Rita Mitsouko,Best of & Raretés,279
Génération Top 50 (7793 titres),5,2,1494011,Africa,Rose Laurens,Africa,216
Génération Top 50 (7793 titres),5,2,2068104,Africa,Rose Laurens,Africa,216
Génération Top 50 (7793 titres),6,3,1869567,Amor de mis amores (La Foule),Various Artists,Best of Top 50,226
Génération Top 50 (7793 titres),6,3,1952611,Amor de mis amores (La foule),Various Artists,Top 50 : Le best of,226
Génération Top 50 (7793 titres),6,3,1952612,Amor de mis amores (La foule),Various Artists,Top 50 : Le best of,231
Génération Top 50 (7793 titres),7,2,2201028,FAUT QU'J'TRAVAILLE,Princess Erika,D'ORIGINE (VERSION ALTERNATIVE),294
Génération Top 50 (7793 titres),7,2,2063516,Faut qu’j’travaille,Princess Erika,Faut qu'j'travaille - EP,296
