playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Génériques TV/Films (500 titres),1,2,1350471,Main Theme,Ólafur Arnalds,Broadchurch (Music From the Original TV Series),185
Génériques TV/Films (500 titres),1,2,1883223,Main Theme,Ólafur Arnalds,Broadchurch (Music From the Original Tv Series),185
Génériques TV/Films (500 titres),2,2,2183514,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Génériques TV/Films (500 titres),2,2,2312497,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Génériques TV/Films (500 titres),3,3,1244074,Champs Elysées Theme,Bob Sinclar,Champs Elysées,265
Génériques TV/Films (500 titres),3,3,1890358,Champs Elysées Theme,Bob Sinclar,Champs Elysées,266
Génériques TV/Films (500 titres),3,3,1950726,Champs Elysées Theme,Bob Sinclar,Champs Elysées,265
Génériques TV/Films (500 titres),4,2,2062556,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Génériques TV/Films (500 titres),4,2,2175137,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Génériques TV/Films (500 titres),5,4,1357007,Crockett's Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Génériques TV/Films (500 titres),5,4,2322078,Crockett's Theme,Various Artists,"Back to the 80’s: De Hits uit de Jaren ’80, Volume 2",214
Génériques TV/Films (500 titres),5,4,1954634,Crockett’S Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Génériques TV/Films (500 titres),5,4,2198483,Crockett’S Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Génériques TV/Films (500 titres),6,2,1975769,Gary’s Theme,Bill Evans,You Must Believe in Spring,261
Génériques TV/Films (500 titres),6,2,1975480,Gary's Theme,Bill Evans,"The Paris Concert, Edition Two",332
Génériques TV/Films (500 titres),7,2,1953075,"Gonna Fly Now (Theme From ""Rocky"") (2006 Remaster)",Various Artists,Now That's What I Call Running,170
Génériques TV/Films (500 titres),7,2,1953076,"Gonna Fly Now (theme from ""Rocky"") (2006 remaster)",Various Artists,Now That's What I Call Running,170
Génériques TV/Films (500 titres),8,4,2123285,Gonna Fly Now (Theme From Rocky),Bill Conti,Rocky (Original Motion Picture Score),195
Génériques TV/Films (500 titres),8,4,2230241,GONNA FLY NOW - THEME FROM ROCKY,Bill Conti,GONNA FLY NOW,448
Génériques TV/Films (500 titres),8,4,2119762,"Gonna Fly Now (Theme From ""Rocky"")",Bill Conti,Rocky (Original Motion Picture Score),195
Génériques TV/Films (500 titres),8,4,2310625,"Gonna Fly Now (Theme From ""Rocky"")",Bill Conti,Rocky (Original Motion Picture Score),168
Génériques TV/Films (500 titres),9,2,1964845,Happy Ending,Danny Elfman,Frankenweenie,210
Génériques TV/Films (500 titres),9,2,1964269,Happy Ending,Danny Elfman,Silver Linings Playbook,232
Génériques TV/Films (500 titres),10,2,2259788,Hedwig's Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Génériques TV/Films (500 titres),10,2,2114795,Hedwig’s Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Génériques TV/Films (500 titres),11,2,1968847,Junk Theme,The Pogues,Haunted,193
Génériques TV/Films (500 titres),11,2,1968548,Junk Theme,The Pogues,Just Look Them Straight in the Eye and Say… Pogue Mahone!!,176
Génériques TV/Films (500 titres),12,2,2057575,Kuffs Theme,Harold Faltermeyer,Kuffs,164
Génériques TV/Films (500 titres),12,2,2259552,Kuffs Theme,Harold Faltermeyer,Kuffs,164
Génériques TV/Films (500 titres),13,8,1963719,My Happy Ending,Avril Lavigne,The Best Damn Tour Live In Toronto,320
