playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Guilty Pleasures (798 titres),1,3,2124735,Captain Jack (short mix),Captain Jack,The Mission,248
Guilty Pleasures (798 titres),1,3,1273936,Captain Jack (short mix),Captain Jack,Unknown Album,180
Guilty Pleasures (798 titres),1,3,1351216,Captain Jack (short mix),Captain Jack,Captain Jack,180
Guilty Pleasures (798 titres),2,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Guilty Pleasures (798 titres),2,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Guilty Pleasures (798 titres),3,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Guilty Pleasures (798 titres),3,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Guilty Pleasures (798 titres),4,4,2217961,T.V.A.B. (amici miei mix),Molella,My Space (10th Anniversary),408
Guilty Pleasures (798 titres),4,4,2330741,T.V.A.B. (amici miei mix),Molella,My Space (10th Anniversary),408
Guilty Pleasures (798 titres),4,4,2261882,T.V.A.B. (amici miei mix),Molella,My Space (10th Anniversary),408
Guilty Pleasures (798 titres),4,4,2315413,T.V.A.B. (amici miei mix),Molella,My Space (10th Anniversary),408
Guilty Pleasures (798 titres),5,2,1427813,Don't Turn Around,Ace Of Base,Singles Of The 90s,263
Guilty Pleasures (798 titres),5,2,2125134,Don’t Turn Around,Ace Of Base,Don't Turn Around (The Remixes) - EP,263
Guilty Pleasures (798 titres),6,2,1494253,I Wanna B With U,Fun Factory,Back to the Factory,213
Guilty Pleasures (798 titres),6,2,2276275,I Wanna B With U,Fun Factory,Vol 10,205
Guilty Pleasures (798 titres),7,5,1487394,My Oh My,Aqua,Aquarium,204
Guilty Pleasures (798 titres),7,5,1870076,My Oh My,Aqua,Aqua,204
Guilty Pleasures (798 titres),7,5,2256103,My Oh My,Aqua,My Oh My (Single),204
Guilty Pleasures (798 titres),7,5,1487365,My Oh My,Aqua,Aquarium,204
Guilty Pleasures (798 titres),7,5,1487370,My Oh My,Aqua,Aquarium,204
Guilty Pleasures (798 titres),8,4,1869750,Take Me Away,Culture Beat,Best Of,324
Guilty Pleasures (798 titres),8,4,1221444,Take Me Away,Culture Beat,Inside Out,323
Guilty Pleasures (798 titres),8,4,1347832,Take Me Away,Culture Beat,Inside Out,324
Guilty Pleasures (798 titres),8,4,1946241,Take Me Away,Culture Beat,The Best of Dance & Euro 1991-2001 - Vol.4  by 'diskjokey',323
Guilty Pleasures (798 titres),9,7,1620239,The Sign,Ace Of Base,Ace of Base: Singles of the 90s,111
Guilty Pleasures (798 titres),9,7,1270699,The Sign,Ace Of Base,The Sign (The Remixes) - EP,188
Guilty Pleasures (798 titres),9,7,1690536,The Sign,Ace Of Base,Greatest Hits,189
Guilty Pleasures (798 titres),9,7,1984071,The Sign,Ace Of Base,Platinum & Gold,188
Guilty Pleasures (798 titres),9,7,1984073,The Sign,Ace Of Base,Happy Nation (U.S. Version) [R,189
Guilty Pleasures (798 titres),9,7,2125142,The Sign,Ace Of Base,Greatest Hits,188
Guilty Pleasures (798 titres),9,7,2256784,The Sign,Ace Of Base,More 90's hits,188
Guilty Pleasures (798 titres),10,2,2203096,WILLY USE A BILLY... BOY (EXTENDED VERSION),E-Rotic,WILLY USE A BILLY... BOY,398
Guilty Pleasures (798 titres),10,2,1883383,Willy Use a Billy… Boy (extended version),E-Rotic,Brandes; O'flynn: Willy Use A Billy… Boy,398
Guilty Pleasures (798 titres),11,3,2256705,What Is Love,Haddaway,Unknown Album,270
Guilty Pleasures (798 titres),11,3,2255895,What Is Love,Haddaway,90's,237
Guilty Pleasures (798 titres),11,3,2276504,What Is Love,Haddaway,Vol 06,162
Guilty Pleasures (798 titres),12,5,2054802,What Is Love (7 mix),Haddaway,Unknown Album,271
Guilty Pleasures (798 titres),12,5,2326596,"What Is Love (7"" Mix)",Haddaway,What Is Love (The Mixes),400
