playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Hard Rock & Metal (363 titres),1,4,1388673,Smoke On the Water,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,233
Hard Rock & Metal (363 titres),1,4,2131671,Smoke On the Water,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,233
Hard Rock & Metal (363 titres),1,4,2061675,Smoke on the Water,Pat Boone,Pat Boone - In A Metal Mood,233
Hard Rock & Metal (363 titres),1,4,1240721,Smoke On The Water,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,233
Hard Rock & Metal (363 titres),2,4,1346463,Crazy Train,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,272
Hard Rock & Metal (363 titres),2,4,2108775,Crazy Train,Pat Boone,Pat Boone - In A Metal Mood,272
Hard Rock & Metal (363 titres),2,4,2131672,Crazy Train,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,272
Hard Rock & Metal (363 titres),2,4,1240729,Crazy Train,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,272
Hard Rock & Metal (363 titres),3,2,1939895,No Regrets,Intergalactic Lovers,Little Heavy Burdens,166
Hard Rock & Metal (363 titres),3,2,2266893,No Regrets,Intergalactic Lovers,Little Heavy Burdens,166
Hard Rock & Metal (363 titres),4,3,1388679,Paradise City,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,281
Hard Rock & Metal (363 titres),4,3,2061674,Paradise City,Pat Boone,Pat Boone - In A Metal Mood,281
Hard Rock & Metal (363 titres),4,3,1240727,Paradise City,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,281
Hard Rock & Metal (363 titres),5,2,1261410,Profits of Doom,Clutch,Blast Tyrant (Deluxe Edition),192
Hard Rock & Metal (363 titres),5,2,1872218,Profits of Doom,Clutch,Blast Tyrant,192
Hard Rock & Metal (363 titres),6,2,2100988,4AM,Bastille,Doom Days,247
Hard Rock & Metal (363 titres),6,2,2164910,4AM,Bastille,Doom Days,247
Hard Rock & Metal (363 titres),7,2,2098315,A Whole New World,Our Last Night,Disney Goes Heavy,52
Hard Rock & Metal (363 titres),7,2,2155113,A Whole New World,Our Last Night,Disney Goes Heavy,52
Hard Rock & Metal (363 titres),8,2,2100989,Another Place,Bastille,Doom Days,211
Hard Rock & Metal (363 titres),8,2,2164911,Another Place,Bastille,Doom Days,211
Hard Rock & Metal (363 titres),9,4,1909867,Anything Goes,John Williams,Indiana Jones and the Temple of Doom,168
Hard Rock & Metal (363 titres),9,4,1943631,Anything Goes,John Williams,Indiana Jones and the Temple of Doom,168
Hard Rock & Metal (363 titres),9,4,1996393,Anything Goes,John Williams,Indiana Jones and the Temple of Doom,168
Hard Rock & Metal (363 titres),9,4,2271476,Anything Goes,John Williams,Indiana Jones and the Temple of Doom,168
Hard Rock & Metal (363 titres),10,2,2057495,Bad Decisions,Bastille,Doom Days,189
Hard Rock & Metal (363 titres),10,2,2170636,Bad Decisions,Bastille,Doom Days,189
Hard Rock & Metal (363 titres),11,2,2155111,Beauty and the Beast,Our Last Night,Disney Goes Heavy,48
Hard Rock & Metal (363 titres),11,2,2273636,Beauty and the Beast,Our Last Night,Disney Goes Heavy,48
Hard Rock & Metal (363 titres),12,2,2114800,Black Disciples,Burning Spear,Dry & Heavy,263
Hard Rock & Metal (363 titres),12,2,2164961,Black Disciples,Burning Spear,Dry & Heavy,263
Hard Rock & Metal (363 titres),13,2,1939887,Distance,Intergalactic Lovers,Little Heavy Burdens,218
Hard Rock & Metal (363 titres),13,2,2266885,Distance,Intergalactic Lovers,Little Heavy Burdens,218
Hard Rock & Metal (363 titres),14,2,2164959,Dry And Heavy,Burning Spear,Dry & Heavy,209
Hard Rock & Metal (363 titres),14,2,2114801,Dry and Heavy,Burning Spear,Dry & Heavy,209
Hard Rock & Metal (363 titres),15,2,2255790,FOR THE PORTUGUESE GOTH METAL BANDS,The Mountain Goats,GOTHS,249
Hard Rock & Metal (363 titres),15,2,2108333,For the Portuguese Goth Metal Bands,The Mountain Goats,GOTHS,249
Hard Rock & Metal (363 titres),16,2,1939890,Great Evader,Intergalactic Lovers,Little Heavy Burdens,266
Hard Rock & Metal (363 titres),16,2,2266888,Great Evader,Intergalactic Lovers,Little Heavy Burdens,266
Hard Rock & Metal (363 titres),17,2,2159443,He Ain't Heavy... He's My Brother,Al Green,Soul Survivor,240
Hard Rock & Metal (363 titres),17,2,1893836,He Ain’t Heavy... He’s My Brother,Al Green,Soul Survivor,240
Hard Rock & Metal (363 titres),18,2,2061955,Heatstrokes,Krokus,Metal Rendez-vous,240
Hard Rock & Metal (363 titres),18,2,2174866,Heatstrokes,Krokus,Metal Rendez-vous,240
Hard Rock & Metal (363 titres),19,3,2221946,Heavy Breathing,Bee Gees,Mr. Natural,208
Hard Rock & Metal (363 titres),19,3,2241735,Heavy Breathing,Bee Gees,Mr. Natural,208
Hard Rock & Metal (363 titres),19,3,2265739,Heavy Breathing,Bee Gees,Mr. Natural,208
Hard Rock & Metal (363 titres),20,3,2247467,Heavy In Your Arms,Florence + The Machine,Live At The Wiltern,232
Hard Rock & Metal (363 titres),20,3,2247480,Heavy In Your Arms,Florence + The Machine,Lungs: The B-Sides,285
Hard Rock & Metal (363 titres),20,3,2247619,Heavy In Your Arms,Florence + The Machine,Heavy In Your Arms (Single),284
Hard Rock & Metal (363 titres),21,2,2073105,Heavy Weather,Tim Deluxe,The Little Ginger Club Kid,301
Hard Rock & Metal (363 titres),21,2,2269745,Heavy Weather,Tim Deluxe,The Little Ginger Club Kid,301
Hard Rock & Metal (363 titres),22,5,1286079,"Heavy, California",Jungle,For Ever,184
Hard Rock & Metal (363 titres),22,5,1286080,"Heavy, California",Jungle,For Ever,184
Hard Rock & Metal (363 titres),22,5,1903694,"Heavy, California",Jungle,For Ever,184
Hard Rock & Metal (363 titres),22,5,2156238,"Heavy, California",Jungle,For Ever,184
Hard Rock & Metal (363 titres),22,5,2273403,"Heavy, California",Jungle,For Ever,184
Hard Rock & Metal (363 titres),23,3,1240726,Holy Diver,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,284
Hard Rock & Metal (363 titres),23,3,1388678,Holy Diver,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,284
Hard Rock & Metal (363 titres),23,3,2061670,Holy Diver,Pat Boone,Pat Boone - In A Metal Mood,284
Hard Rock & Metal (363 titres),24,3,2160295,Hot N Heavy,Jessie Ware,What's Your Pleasure?,215
Hard Rock & Metal (363 titres),24,3,2169592,Hot N Heavy,Jessie Ware,What's Your Pleasure?,215
Hard Rock & Metal (363 titres),24,3,2225978,Hot N Heavy,Jessie Ware,What's Your Pleasure?,215
Hard Rock & Metal (363 titres),25,2,2058648,I Just Can't Wait to Be King,Our Last Night,Disney Goes Heavy,34
Hard Rock & Metal (363 titres),25,2,2155110,I Just Can't Wait to Be King,Our Last Night,Disney Goes Heavy,34
Hard Rock & Metal (363 titres),26,2,2155119,I'll Make A Man Out of You,Our Last Night,Disney Goes Heavy,62
Hard Rock & Metal (363 titres),26,2,2110697,I'll Make a Man Out of You,Our Last Night,Disney Goes Heavy,62
Hard Rock & Metal (363 titres),27,2,1939889,Islands,Intergalactic Lovers,Little Heavy Burdens,223
Hard Rock & Metal (363 titres),27,2,2266887,Islands,Intergalactic Lovers,Little Heavy Burdens,223
Hard Rock & Metal (363 titres),28,3,1240722,It's A Long Way To The Top (If You Wanna Rock 'n Roll),Pat Boone,In A Metal Mood: No More Mr. Nice Guy,277
Hard Rock & Metal (363 titres),28,3,2061671,It's a Long Way to the Top (If You Wanna Rock 'n Roll),Pat Boone,Pat Boone - In A Metal Mood,277
Hard Rock & Metal (363 titres),28,3,1388674,It’s a Long Way to the Top (If You Wanna Rock ’N’ Roll),Pat Boone,In a Metal Mood: No More Mr. Nice Guy,277
Hard Rock & Metal (363 titres),29,2,2164956,It's a Long Way Around,Burning Spear,Dry & Heavy,186
Hard Rock & Metal (363 titres),29,2,2110884,It’s a Long Way Around,Burning Spear,Dry & Heavy,186
Hard Rock & Metal (363 titres),30,2,2107692,Joy,Bastille,Doom Days,195
Hard Rock & Metal (363 titres),30,2,2164913,Joy,Bastille,Doom Days,195
Hard Rock & Metal (363 titres),31,2,1939897,Lost Message,Intergalactic Lovers,Little Heavy Burdens,236
Hard Rock & Metal (363 titres),31,2,2266895,Lost Message,Intergalactic Lovers,Little Heavy Burdens,236
Hard Rock & Metal (363 titres),32,2,1240725,Love Hurts,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,297
Hard Rock & Metal (363 titres),32,2,1388676,Love Hurts,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,297
Hard Rock & Metal (363 titres),33,2,1282403,"Metal Gardens, Pt. 3",Pitchphase,Metal Gardens,63
Hard Rock & Metal (363 titres),33,2,1282404,"Metal Gardens, Pt. 3",Pitchphase,Metal Gardens,83
Hard Rock & Metal (363 titres),34,2,2172302,Metal Gods,Judas Priest,British Steel,242
Hard Rock & Metal (363 titres),34,2,2174236,Metal Gods,Judas Priest,British Steel,242
Hard Rock & Metal (363 titres),35,2,1946553,Metal Jam,Green Day,Nice Guys Finish Last: House of Blues 1998,89
Hard Rock & Metal (363 titres),35,2,1946623,Metal Jam,Green Day,The Broadcast Collection 1992-1998,89
Hard Rock & Metal (363 titres),36,2,2061152,Metal Meltdown,Judas Priest,Painkiller,287
Hard Rock & Metal (363 titres),36,2,2179774,Metal Meltdown,Judas Priest,Painkiller,287
Hard Rock & Metal (363 titres),37,2,1953250,My Curse,Various Artists,Metal Addict,244
Hard Rock & Metal (363 titres),37,2,1996485,My Curse,Various Artists,Metal Addict,244
Hard Rock & Metal (363 titres),38,3,1240724,No More Mr. Nice Guy,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,186
Hard Rock & Metal (363 titres),38,3,1388675,No More Mr. Nice Guy,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,186
Hard Rock & Metal (363 titres),38,3,2061672,No More Mr. Nice Guy,Pat Boone,Pat Boone - In A Metal Mood,186
Hard Rock & Metal (363 titres),39,2,2100991,Nocturnal Creatures,Bastille,Doom Days,232
Hard Rock & Metal (363 titres),39,2,2164909,Nocturnal Creatures,Bastille,Doom Days,232
Hard Rock & Metal (363 titres),40,2,1939886,Northern Rd,Intergalactic Lovers,Little Heavy Burdens,264
Hard Rock & Metal (363 titres),40,2,2266884,Northern Rd,Intergalactic Lovers,Little Heavy Burdens,264
Hard Rock & Metal (363 titres),41,2,1939888,Obstinate Heart,Intergalactic Lovers,Little Heavy Burdens,284
Hard Rock & Metal (363 titres),41,2,2266886,Obstinate Heart,Intergalactic Lovers,Little Heavy Burdens,284
Hard Rock & Metal (363 titres),42,2,1939898,Obstinate Heart Reprise,Intergalactic Lovers,Little Heavy Burdens,95
Hard Rock & Metal (363 titres),42,2,2266896,Obstinate Heart Reprise,Intergalactic Lovers,Little Heavy Burdens,95
Hard Rock & Metal (363 titres),43,2,1240723,Panama,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,315
Hard Rock & Metal (363 titres),43,2,2061673,Panama,Pat Boone,Pat Boone - In A Metal Mood,315
Hard Rock & Metal (363 titres),44,2,1909980,"Parade of the Slave Children (From ""Indiana Jones and the Temple of Doom"") [Instrumental]",John Williams,Unknown Album,293
Hard Rock & Metal (363 titres),44,2,1985946,"Parade of the Slave Children (From ""Indiana Jones and the Temple of Doom"") [Instrumental]",John Williams,John Williams - Greatest Hits 1969-1999,293
Hard Rock & Metal (363 titres),45,2,2057498,Quarter Past Midnight,Bastille,Doom Days,199
Hard Rock & Metal (363 titres),45,2,2170637,Quarter Past Midnight,Bastille,Doom Days,199
Hard Rock & Metal (363 titres),46,2,1923283,Semi Automatic: Full Rap Metal Jacket,Wu-Tang Clan,Wu Tang Vs. Shaolin Masters,242
Hard Rock & Metal (363 titres),46,2,2074111,Semi-Automatic: Full Rap Metal Jacket,Wu-Tang Clan,Wu-Chronicles,245
Hard Rock & Metal (363 titres),47,2,1939896,Sleep,Intergalactic Lovers,Little Heavy Burdens,240
Hard Rock & Metal (363 titres),47,2,2266894,Sleep,Intergalactic Lovers,Little Heavy Burdens,240
Hard Rock & Metal (363 titres),48,2,1939894,Someday,Intergalactic Lovers,Little Heavy Burdens,199
Hard Rock & Metal (363 titres),48,2,2266892,Someday,Intergalactic Lovers,Little Heavy Burdens,199
Hard Rock & Metal (363 titres),49,3,1240730,Stairway To Heaven,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,299
Hard Rock & Metal (363 titres),49,3,1346464,Stairway to Heaven,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,299
Hard Rock & Metal (363 titres),49,3,2122668,Stairway to Heaven,Pat Boone,Pat Boone - In A Metal Mood,299
Hard Rock & Metal (363 titres),50,2,1940723,The Crazies ('86 Metal mix) (instrumental),Mr. Hyde,Barn of the Naked Dead (instrumentals),209
Hard Rock & Metal (363 titres),50,2,2266935,The Crazies ('86 Metal mix) (instrumental),Mr. Hyde,Barn of the Naked Dead (instrumentals),209
Hard Rock & Metal (363 titres),51,2,1939891,"The Fall, Pt. 1",Intergalactic Lovers,Little Heavy Burdens,70
Hard Rock & Metal (363 titres),51,2,2266889,"The Fall, Pt. 1",Intergalactic Lovers,Little Heavy Burdens,70
Hard Rock & Metal (363 titres),52,2,1939892,"The Fall, Pt. 2",Intergalactic Lovers,Little Heavy Burdens,291
Hard Rock & Metal (363 titres),52,2,2266890,"The Fall, Pt. 2",Intergalactic Lovers,Little Heavy Burdens,291
Hard Rock & Metal (363 titres),53,2,2232948,The Profit of Doom,Type O Negative,Dead Again,647
Hard Rock & Metal (363 titres),53,2,2264500,The Profit of Doom,Type O Negative,Dead Again,157
Hard Rock & Metal (363 titres),54,3,1240728,The Wind Cries Mary,Pat Boone,In A Metal Mood: No More Mr. Nice Guy,252
