playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Hiver & Cocooning (500 titres),1,2,1193952,Game Over,Various Artists,Fun Radio Dancefloor Winter 2014,196
Hiver & Cocooning (500 titres),1,2,2075332,Game Over,Various Artists,Fun Radio Dancefloor Winter 2014,196
Hiver & Cocooning (500 titres),2,4,2102021,Informer,Snow,12 Inches of Snow,268
Hiver & Cocooning (500 titres),2,4,1721563,Informer,Snow,12 Inches of Snow,268
Hiver & Cocooning (500 titres),2,4,1829863,Informer,Snow,12 Inches of Snow,268
Hiver & Cocooning (500 titres),2,4,1847128,Informer,Snow,12 Inches of Snow,268
Hiver & Cocooning (500 titres),3,3,1953928,La Neige au Sahara,Anggun,Au nom de la lune,256
Hiver & Cocooning (500 titres),3,3,2066657,La Neige au Sahara,Anggun,La Neige au Sahara,258
Hiver & Cocooning (500 titres),3,3,2011897,La Neige Au Sahara,Anggun,Just Hits France,256
Hiver & Cocooning (500 titres),4,3,2033280,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Hiver & Cocooning (500 titres),4,3,2117332,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Hiver & Cocooning (500 titres),4,3,2259694,Soul Cake,Sting,If on a Winter's Night...,209
Hiver & Cocooning (500 titres),5,2,2103209,A Horse Is Not a Home,Miike Snow,Miike Snow,252
Hiver & Cocooning (500 titres),5,2,2178630,A Horse Is Not a Home,Miike Snow,Miike Snow,252
Hiver & Cocooning (500 titres),6,2,2102230,A Tune for the Shakers,James Taylor,Come Before Winter,233
Hiver & Cocooning (500 titres),6,2,2164055,A Tune for the Shakers,James Taylor,Come Before Winter,233
Hiver & Cocooning (500 titres),7,2,2107085,A Winter Tale,Spyro Gyra,Good to Go-Go,394
Hiver & Cocooning (500 titres),7,2,2309501,A Winter Tale,Spyro Gyra,Good to Go-Go,394
Hiver & Cocooning (500 titres),8,2,2173084,Ain't That A Lot of Love,Simply Red,Love and the Russian Winter,235
Hiver & Cocooning (500 titres),8,2,2058838,Ain’t That a Lot of Love,Simply Red,Love and the Russian Winter,235
Hiver & Cocooning (500 titres),9,4,2131181,And I Can Hear the Soft Rustling of My Blood (As If Snow Were Sliding Down the Mountains),Balmorhea,Balmorhea,332
Hiver & Cocooning (500 titres),9,4,2234809,And I Can Hear the Soft Rustling of My Blood (As If Snow Were Sliding Down the Mountains),Balmorhea,Balmorhea,332
Hiver & Cocooning (500 titres),9,4,2297227,And I Can Hear the Soft Rustling of My Blood (As If Snow Were Sliding Down the Mountains),Balmorhea,Balmorhea,332
Hiver & Cocooning (500 titres),9,4,2303389,And I Can Hear the Soft Rustling of My Blood (As If Snow Were Sliding Down the Mountains),Balmorhea,Balmorhea,332
Hiver & Cocooning (500 titres),10,2,2054047,Balulalow,Sting,If on A Winter's Night... (Bonus Track Version),190
Hiver & Cocooning (500 titres),10,2,2210698,Balulalow,Sting,If on a Winter's Night…,190
Hiver & Cocooning (500 titres),11,2,1999198,Berlin in Winter,Cutting Crew,Ransomed Healed Restored Forgiven,286
Hiver & Cocooning (500 titres),11,2,2136874,Berlin in Winter,Cutting Crew,Add To Favourites,271
Hiver & Cocooning (500 titres),12,2,2164059,Beth’S Waltz / Old South Waltz,James Taylor,Come Before Winter,234
Hiver & Cocooning (500 titres),12,2,2108503,Beth’s Waltz / Old South Waltz,James Taylor,Come Before Winter,234
Hiver & Cocooning (500 titres),13,2,2062131,Black & Blue,Miike Snow,Miike Snow,220
Hiver & Cocooning (500 titres),13,2,2178628,Black & Blue,Miike Snow,Miike Snow,220
Hiver & Cocooning (500 titres),14,2,2164058,Bobby Casey’S Hornpipe / East Fork Reel / the Pinch of Snuff / the Shaker’S Chair Upon Which Tom Morrison Sat,James Taylor,Come Before Winter,381
Hiver & Cocooning (500 titres),14,2,2108504,Bobby Casey’s Hornpipe / East Fork Reel / The Pinch of Snuff / The Shaker’s Chair Upon Which Tom Morrison Sat,James Taylor,Come Before Winter,381
Hiver & Cocooning (500 titres),15,5,2353823,C'était L'hiver,francis cabrel,l'essentiel (1977-2007),232
Hiver & Cocooning (500 titres),15,5,2353824,C'était L'hiver,francis cabrel,l'essentiel (1977-2007),232
Hiver & Cocooning (500 titres),15,5,2332958,C'était l'hiver,Francis Cabrel,L'essentiel (1977-2007),233
Hiver & Cocooning (500 titres),15,5,2332985,C'était l'hiver,Francis Cabrel,L'essentiel (1977-2007),232
Hiver & Cocooning (500 titres),15,5,2333012,C'était l'hiver,Francis Cabrel,L'essentiel (1977-2007),232
Hiver & Cocooning (500 titres),16,4,1489850,COZY,Beyoncé,Renaissance,198
Hiver & Cocooning (500 titres),16,4,1489926,COZY,Beyoncé,Renaissance,204
Hiver & Cocooning (500 titres),16,4,1489927,COZY,Beyoncé,Renaissance,204
Hiver & Cocooning (500 titres),16,4,2123406,COZY,Beyoncé,RENAISSANCE,198
Hiver & Cocooning (500 titres),17,3,2220589,Can You Feel The Winter,Big Country,Rarities II,369
Hiver & Cocooning (500 titres),17,3,2240622,Can You Feel The Winter,Big Country,Rarities II,369
Hiver & Cocooning (500 titres),17,3,2317807,Can You Feel The Winter,Big Country,Rarities II,369
Hiver & Cocooning (500 titres),18,2,2167122,Chanson D'Hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Hiver & Cocooning (500 titres),18,2,2062084,Chanson d’hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Hiver & Cocooning (500 titres),19,2,2000454,"Children's Corner, L 113: Iv. the Snow Is Dancing",Peter Schmalfuss,Christmas Music for Your Christmas Eve Celebration,248
Hiver & Cocooning (500 titres),19,2,2210494,"Children's Corner, L 113: Iv. the Snow Is Dancing",Peter Schmalfuss,Christmas Music for Your Christmas Eve Celebration,248
Hiver & Cocooning (500 titres),20,2,1943997,Christmas Medley: Holy Night / Snow Falls Over the Ground / Hear Ye the Message,Boney M.,Christmas Album,436
Hiver & Cocooning (500 titres),20,2,2210458,Christmas Medley: Holy Night / Snow Falls Over the Ground / Hear Ye the Message,Boney M.,Christmas Album,21
Hiver & Cocooning (500 titres),21,3,2113968,Christmas at Sea,Sting,If on A Winter's Night... (Bonus Track Version),278
