playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Indie & Alternatif (184 titres),1,2,1208405,Lo-Fi (ft. NIKO IS),Talib Kweli & 9th Wonder,Indie 500,200
Indie & Alternatif (184 titres),1,2,2183583,Lo-Fi (ft. NIKO IS),Talib Kweli & 9th Wonder,Indie 500,200
Indie & Alternatif (184 titres),2,2,2153463,BEDROOM WALLS,NOVEMBER ULTRA,BEDROOM WALLS,143
Indie & Alternatif (184 titres),2,2,2107416,Bedroom Walls,NOVEMBER ULTRA,BEDROOM WALLS,143
Indie & Alternatif (184 titres),3,3,2243513,Baby c’est la crise (version alternative),Michel Jonasz,"La Méouge, le Rhône, la Durance",207
Indie & Alternatif (184 titres),3,3,2257927,Baby c’est la crise (version alternative),Michel Jonasz,"La Méouge, le Rhône, la Durance",207
Indie & Alternatif (184 titres),3,3,2263774,Baby c’est la crise (version alternative),Michel Jonasz,"La Méouge, le Rhône, la Durance",207
Indie & Alternatif (184 titres),4,2,2115096,Bedroom Eyes,Shannon,Do You Wanna Get Away,246
Indie & Alternatif (184 titres),4,2,2164821,Bedroom Eyes,Shannon,Do You Wanna Get Away,246
Indie & Alternatif (184 titres),5,2,2110949,Castaway feat. Lo-Fi Sugar,Paul van Dyk,In Between,206
Indie & Alternatif (184 titres),5,2,2183571,Castaway feat. Lo-Fi Sugar,Paul van Dyk,In Between,206
Indie & Alternatif (184 titres),6,2,2105358,EROTIC PLAYLIST 🍌 RANDB BEDROOM MIX 2021 👑 BEDROOM PLAYLIST CHILL,music,"kiss n’ ride: sexy slow chillout, erotic lounge music for sex & porno, sexual xtazy bedroom playlist 2023",11445
Indie & Alternatif (184 titres),6,2,2183632,EROTIC PLAYLIST 🍌 RANDB BEDROOM MIX 2021 👑 BEDROOM PLAYLIST CHILL,music,"KISS N’ RIDE: SEXY SLOW CHILLOUT, EROTIC LOUNGE MUSIC FOR SEX & PORNO, SEXUAL XTAZY BEDROOM PLAYLIST 2023",11445
Indie & Alternatif (184 titres),7,2,2153459,FADE,NOVEMBER ULTRA,BEDROOM WALLS,206
Indie & Alternatif (184 titres),7,2,2101208,Fade,NOVEMBER ULTRA,BEDROOM WALLS,206
Indie & Alternatif (184 titres),8,4,2059330,Haunted feat. Lo-Fi Sugar,Paul van Dyk,In Between,340
Indie & Alternatif (184 titres),8,4,2120035,Haunted feat. Lo-Fi Sugar,Paul van Dyk,In Between,340
Indie & Alternatif (184 titres),8,4,2183572,Haunted feat. Lo-Fi Sugar,Paul van Dyk,In Between,340
Indie & Alternatif (184 titres),8,4,2183573,Haunted feat. Lo-Fi Sugar,Paul van Dyk,In Between,340
Indie & Alternatif (184 titres),9,2,2153461,INCANTATION (INTERLUDE),NOVEMBER ULTRA,BEDROOM WALLS,79
Indie & Alternatif (184 titres),9,2,2106937,Incantation (interlude),NOVEMBER ULTRA,BEDROOM WALLS,79
Indie & Alternatif (184 titres),10,2,1274419,Indie,"Taha, Khaled, Faudel","1,2,3 Soleils",336
Indie & Alternatif (184 titres),10,2,2091709,Indie,"Taha, Khaled, Faudel","1, 2, 3 Soleils [Disc 1]",338
Indie & Alternatif (184 titres),11,2,2174502,LE SALON (INTRODUCTION),NOVEMBER ULTRA,BEDROOM WALLS,71
Indie & Alternatif (184 titres),11,2,2062702,Le Salon (Introduction),NOVEMBER ULTRA,BEDROOM WALLS,71
Indie & Alternatif (184 titres),12,2,2019747,Lo-Fi [Lo-Fi - Original mix],Phunk Investigation,Synapse (Synapse) - Single,198
Indie & Alternatif (184 titres),12,2,2183782,Lo-Fi [Lo-Fi - Original mix],Phunk Investigation,Synapse (Synapse) - Single,198
Indie & Alternatif (184 titres),13,2,2001113,Love Situation (Remix),Matt Bianco,Matt Bianco  (Disc 2: Bonus Tracks - More Remixes And Alternative Versions),317
Indie & Alternatif (184 titres),13,2,1248214,Love Situation (remix),Matt Bianco,Matt Bianco  (Disc 2: Bonus Tracks - More Remixes And Alternative Versions),317
Indie & Alternatif (184 titres),14,2,2153458,MONOMANIA,NOVEMBER ULTRA,BEDROOM WALLS,236
Indie & Alternatif (184 titres),14,2,2062703,Monomania,NOVEMBER ULTRA,BEDROOM WALLS,236
Indie & Alternatif (184 titres),15,2,2153460,NOSTALGIA / ULTRA,NOVEMBER ULTRA,BEDROOM WALLS,571
