playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
International essentiels (34 titres),1,2,1241261,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
International essentiels (34 titres),1,2,2336234,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
International essentiels (34 titres),2,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
International essentiels (34 titres),2,3,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
International essentiels (34 titres),2,3,2336351,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
International essentiels (34 titres),3,2,1347087,Pourquoi,Sniper,Gravé dans la roche,306
International essentiels (34 titres),3,2,2355546,Pourquoi,Sniper,Gravé Dans La Roche,306
International essentiels (34 titres),4,2,2067188,Dis-moi encore que tu m'aimes,Gaëtan Roussel,Ginger,188
International essentiels (34 titres),4,2,2113640,Dis‐moi encore que tu m’aimes,Gaëtan Roussel,Ginger,188
International essentiels (34 titres),5,2,2181654,Djamakoyo,Various Artists,Nova Tunes 2.1,233
International essentiels (34 titres),5,2,2356911,Djamakoyo,Various Artists,nova tunes 2.1,233
International essentiels (34 titres),6,2,2112100,Et moi je rends les femmes belles,Serge Lama,Feuille à feuille,134
International essentiels (34 titres),6,2,2272378,Et moi je rends les femmes belles,Serge Lama,Feuille à feuille,134
International essentiels (34 titres),7,2,2068187,L'un pour l'autre,K.Maro,01.10,269
International essentiels (34 titres),7,2,2183847,L'un pour l'autre,K.Maro,01.10,269
International essentiels (34 titres),8,2,1958525,Yeha-Noha (Wishes Of Happiness & Prosperity),Sacred Spirit,Chants and Dances of the Native Americans,242
International essentiels (34 titres),8,2,1958529,Yeha-Noha (Wishes of Happiness & Prosperity),Sacred Spirit,Sacred Spirit: Chants and Dances of the Native Americans,242
