playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Jazz & Blues (500 titres),1,2,2067872,Caravane,Raphaël,Caravane,206
Jazz & Blues (500 titres),1,2,2196964,Caravane,Raphaël,Caravane,206
Jazz & Blues (500 titres),2,3,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Jazz & Blues (500 titres),2,3,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Jazz & Blues (500 titres),2,3,2113445,Hymn of the Seventh Galaxy,Chick Corea,Chick Corea & Friends: New York,212
Jazz & Blues (500 titres),3,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Jazz & Blues (500 titres),3,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Jazz & Blues (500 titres),4,2,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Jazz & Blues (500 titres),4,2,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Jazz & Blues (500 titres),5,5,1440335,AIMER JUSQU'A L'IMPOSSIBLE,Tina Arena,UN AUTRE UNIVERS,200
Jazz & Blues (500 titres),5,5,1959680,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Jazz & Blues (500 titres),5,5,2197328,Aimer Jusqu'à L'impossible,Tina Arena,Un autre univers,200
Jazz & Blues (500 titres),5,5,2023975,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Jazz & Blues (500 titres),5,5,2197326,Aimer Jusqu’À L’Impossible,Tina Arena,Un Autre Univers,200
Jazz & Blues (500 titres),6,2,1285782,Brown Eyed Handsome Man,Nina Simone,High Priestess of Soul,126
Jazz & Blues (500 titres),6,2,1426911,Brown Eyed Handsome Man,Nina Simone,High Priestess of Soul,126
Jazz & Blues (500 titres),7,2,1287309,Chameleon,Herbie Hancock,Head Hunters,947
Jazz & Blues (500 titres),7,2,1287310,Chameleon,Herbie Hancock,Head Hunters,944
Jazz & Blues (500 titres),8,3,2286966,Chanteur de Jazz,Michel Sardou,Unknown Album,281
Jazz & Blues (500 titres),8,3,2114050,Chanteur de jazz,Michel Sardou,Chanteur De Jazz,281
Jazz & Blues (500 titres),8,3,2329730,Chanteur de jazz,Michel Sardou,Chanteur De Jazz,281
Jazz & Blues (500 titres),9,2,2114904,If I Ever Lose This Heaven,Quincy Jones,Body Heat,286
Jazz & Blues (500 titres),9,2,2267647,If I Ever Lose This Heaven,Quincy Jones,Body Heat,293
Jazz & Blues (500 titres),10,2,2197239,Involuntary Bliss,Eddie Henderson,Sunburst,412
Jazz & Blues (500 titres),10,2,2309521,Involuntary Bliss,Eddie Henderson,Sunburst,412
Jazz & Blues (500 titres),11,3,2201654,JUST THE TWO OF US,"Grover Washington, Jr.",WARNER JAZZ: LES INCONTOURNABLES,441
Jazz & Blues (500 titres),11,3,1212037,Just the Two of Us,"Grover Washington, Jr.",Anthology,438
Jazz & Blues (500 titres),11,3,2197339,Just the Two of Us,"Grover Washington, Jr.",Warner Jazz: Les Incontournables,441
Jazz & Blues (500 titres),12,3,2088106,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,438
Jazz & Blues (500 titres),12,3,2196895,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,438
Jazz & Blues (500 titres),12,3,2197318,Just the Two of Us feat. Bill Withers,"Grover Washington, Jr.",Ultimate Collection,441
Jazz & Blues (500 titres),13,2,2167848,LA VIDA ES UN CARNAVAL,Celia Cruz,MI VIDA ES CANTAR,275
Jazz & Blues (500 titres),13,2,2197192,La vida es un carnaval,Celia Cruz,MI VIDA ES CANTAR,275
Jazz & Blues (500 titres),14,2,1493445,La Boîte De Jazz,Michel Jonasz,Unis vers l'uni,181
Jazz & Blues (500 titres),14,2,2329764,La Boîte De Jazz,Michel Jonasz,Unis vers l'uni,181
Jazz & Blues (500 titres),15,4,2218676,Summer Madness,Kool & The Gang,Kool Jazz,482
Jazz & Blues (500 titres),15,4,2239885,Summer Madness,Kool & The Gang,Kool Jazz,482
Jazz & Blues (500 titres),15,4,2297978,Summer Madness,Kool & The Gang,Kool Jazz,482
Jazz & Blues (500 titres),15,4,2316007,Summer Madness,Kool & The Gang,Kool Jazz,482
Jazz & Blues (500 titres),16,2,2061706,Take Him Back,Y’akoto,Mermaid Blues,192
Jazz & Blues (500 titres),16,2,2169566,Take Him Back,Y’akoto,Mermaid Blues,192
Jazz & Blues (500 titres),17,2,1975545,'Round About Midnight,Bill Evans,Compact Jazz,392
Jazz & Blues (500 titres),17,2,2196985,'Round About Midnight,Bill Evans,Compact Jazz,392
Jazz & Blues (500 titres),18,2,2197063,'Round Midnight [B-Side],Amy Winehouse,Frank & Back to Black (Box Set),229
Jazz & Blues (500 titres),18,2,2291239,'round Midnight [B-Side],Amy Winehouse,Frank & Back to Black (Box Set),229
Jazz & Blues (500 titres),19,2,1974910,'round Midnight,Bill Evans,The Complete Bill Evans on Verve,396
Jazz & Blues (500 titres),19,2,2197291,'round Midnight,Bill Evans,The Complete Bill Evans on Verve,396
Jazz & Blues (500 titres),20,2,1975094,'s Wonderful,Bill Evans,The Complete Bill Evans on Verve,313
Jazz & Blues (500 titres),20,2,2197292,'s Wonderful,Bill Evans,The Complete Bill Evans on Verve,313
Jazz & Blues (500 titres),21,2,1979359,(I Was) Born to Be Blue,Ella Fitzgerald,"Clap Hands, Here Comes Charlie! (Expanded Edition)",162
