playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Joie & Bonheur (500 titres),1,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Joie & Bonheur (500 titres),1,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Joie & Bonheur (500 titres),2,2,2235956,DON’T SPEAK,No Doubt,HAPPY: LIVE IN HOLLAND,302
Joie & Bonheur (500 titres),2,2,1283425,Don't Speak,No Doubt,Happy,302
Joie & Bonheur (500 titres),3,2,2183514,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Joie & Bonheur (500 titres),3,2,2312497,Call Me Mellow,Tears for Fears,Everybody Loves a Happy Ending,217
Joie & Bonheur (500 titres),4,2,2062556,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Joie & Bonheur (500 titres),4,2,2175137,Closest Thing to Heaven,Tears for Fears,Everybody Loves a Happy Ending,216
Joie & Bonheur (500 titres),5,4,2220154,Glad He's Gone,Tove Lo,Sunshine Kitty,196
Joie & Bonheur (500 titres),5,4,2240367,Glad He's Gone,Tove Lo,Sunshine Kitty,196
Joie & Bonheur (500 titres),5,4,2298047,Glad He's Gone,Tove Lo,Sunshine Kitty,196
Joie & Bonheur (500 titres),5,4,2059730,Glad He’s Gone,Tove Lo,Sunshine Kitty,196
Joie & Bonheur (500 titres),6,2,2079815,Happy Song (Club Mix),Boney M.,Barbra Streisand - Boney M. goes Club,236
Joie & Bonheur (500 titres),6,2,2080040,Happy Song - Club Mix,Boney M.,Barbra Streisand - Boney M. goes Club,236
Joie & Bonheur (500 titres),7,2,2119214,Joy and Pain,DJ Abdel,À L'Ancienne,491
Joie & Bonheur (500 titres),7,2,2125545,Joy and Pain,DJ Abdel,A L'ancienne Volume I,491
Joie & Bonheur (500 titres),8,5,1351345,(Always Be My) Sunshine,Jaÿ-Z,"In My Lifetime, Vol. 1",283
Joie & Bonheur (500 titres),8,5,2167169,(Always Be My) Sunshine,Jaÿ-Z,"In My Lifetime, Vol. 1",283
Joie & Bonheur (500 titres),8,5,2232891,(Always Be My) Sunshine,Jaÿ-Z,"In My Lifetime, Vol. 1",283
Joie & Bonheur (500 titres),8,5,2289191,(Always Be My) Sunshine,Jaÿ-Z,"In My Lifetime, Vol. 1",283
Joie & Bonheur (500 titres),8,5,2167170,(Always be My) Sunshine,Jaÿ-Z,"In My Lifetime, Vol. 1",48
Joie & Bonheur (500 titres),9,2,2305592,2017,Maxence Luchi - Topic,"Rollin (Calvin Harris Ft. Future, Khalid Tribute) (Feat. Anne-Caroline Joy)",276
