playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
K-Pop & J-Pop (67 titres),1,12,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2245017,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2251209,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2278683,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2278684,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2280388,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2280389,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2280553,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2280555,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2282811,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),1,12,2282812,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
K-Pop & J-Pop (67 titres),2,10,1958008,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2131678,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2251210,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2251211,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2278685,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2278686,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2280390,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2280391,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2282813,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),2,10,2282814,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
K-Pop & J-Pop (67 titres),3,2,1949874,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
K-Pop & J-Pop (67 titres),3,2,2337299,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
K-Pop & J-Pop (67 titres),4,2,2056553,"Chinese Whispers, Japanese Strings",Gare du Nord,Kind Of Cool,273
K-Pop & J-Pop (67 titres),4,2,2167491,"Chinese Whispers, Japanese Strings",Gare du Nord,Kind Of Cool,273
K-Pop & J-Pop (67 titres),5,2,1958012,Hope,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,191
K-Pop & J-Pop (67 titres),5,2,2233805,Hope,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,183
K-Pop & J-Pop (67 titres),6,3,1350543,Japanese Woman,COEO,"Tonic Edits, Vol. 6: The Japan Reworks",337
K-Pop & J-Pop (67 titres),6,3,2138351,Japanese Woman,COEO,Various Artists,337
K-Pop & J-Pop (67 titres),6,3,2351943,Japanese Woman,COEO,tonic edits vol. 6 (the japan,337
K-Pop & J-Pop (67 titres),7,2,2017657,Turning Japanese,The Vapors,Turning Japanese - Single,223
K-Pop & J-Pop (67 titres),7,2,2301358,Turning Japanese,The Vapors,"1980-09-11 - 15 Lansdowne, Boston, MA (24-96 - WBCN FM Broadcast Reel Master)",226
