playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Karaoké (195 titres),1,2,1966060,All These  Nights,Tom Grennan,Zoom SuperHits Karaoke ZSH022 Big Hits of 2022,169
Karaoké (195 titres),1,2,1966058,All These Nights,Tom Grennan,Mr Entertainer Karaoke Digital Download,168
Karaoké (195 titres),2,2,2220607,Butterfly On A Wheel,Boy George,"Cool Karaoke, Volume 1",208
Karaoké (195 titres),2,2,2240640,Butterfly On A Wheel,Boy George,"Cool Karaoke, Volume 1",208
Karaoké (195 titres),3,2,2093830,Christmas Karaoke,American Authors,Favorite Time of the Year,153
Karaoké (195 titres),3,2,2210644,Christmas Karaoke,American Authors,Favorite Time of the Year,153
Karaoké (195 titres),4,2,2004276,Ein Stern (Der Deinen Namen Trägt) (Karaoke mix),Dj Ötzi & Nik P.,Ein Stern (... Der Deinen Namen Trägt),238
Karaoké (195 titres),4,2,2063025,Ein Stern (der deinen Namen trägt) (karaoke mix),Dj Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt) (single),238
Karaoké (195 titres),5,2,2220605,I Feel Like I Won The Lottery,Boy George,"Cool Karaoke, Volume 1",262
Karaoké (195 titres),5,2,2240638,I Feel Like I Won The Lottery,Boy George,"Cool Karaoke, Volume 1",262
Karaoké (195 titres),6,2,2220602,Love On Fire (Amour Fou),Boy George,"Cool Karaoke, Volume 1",262
Karaoké (195 titres),6,2,2240635,Love On Fire (Amour Fou),Boy George,"Cool Karaoke, Volume 1",262
Karaoké (195 titres),7,2,2159812,Many Rivers to Cross (Karaoke Version) [Originally Performed By UB40],Sunfly Abraxa,[Unknown Album],216
Karaoké (195 titres),7,2,2159813,Many Rivers to Cross (Karaoke Version) [Originally Performed By UB40],Sunfly Abraxa,[Unknown Album],216
Karaoké (195 titres),8,3,2220603,Music's Gonna Save You,Boy George,"Cool Karaoke, Volume 1",224
Karaoké (195 titres),8,3,2223843,Music's Gonna Save You,Boy George,Cool Karaoke Volume 1,224
Karaoké (195 titres),8,3,2240636,Music's Gonna Save You,Boy George,"Cool Karaoke, Volume 1",224
Karaoké (195 titres),9,2,2220599,Name And Number,Boy George,"Cool Karaoke, Volume 1",252
Karaoké (195 titres),9,2,2240632,Name And Number,Boy George,"Cool Karaoke, Volume 1",252
Karaoké (195 titres),10,3,2220598,Outside The Box,Boy George,"Cool Karaoke, Volume 1",261
Karaoké (195 titres),10,3,2226121,Outside The Box,Boy George,Cool Karaoke Volume 1,261
Karaoké (195 titres),10,3,2240631,Outside The Box,Boy George,"Cool Karaoke, Volume 1",261
Karaoké (195 titres),11,2,1936098,PEACHES (IN THE STYLE OF JUSTIN BIEBER FEAT. DANIEL CAESAR AND GIVEON) [KARAOKE VERSION],Instrumental Legends,Much Dance 2022,192
Karaoké (195 titres),11,2,2257197,Peaches (In the Style of Justin Bieber Feat. Daniel Caesar and Giveon) [Karaoke Version],Instrumental Legends,Volume Seven,192
Karaoké (195 titres),12,2,2220600,Rainbow In The Dark,Boy George,"Cool Karaoke, Volume 1",255
Karaoké (195 titres),12,2,2240633,Rainbow In The Dark,Boy George,"Cool Karaoke, Volume 1",255
Karaoké (195 titres),13,2,1953569,Respectable,Various Artists,Car Singalong: The Ultimate Collection,202
Karaoké (195 titres),13,2,2006827,Respectable,Various Artists,Car Singalong: the Ultimate Collection,202
Karaoké (195 titres),14,3,2101986,Simple Complications (Gimme A Dollar),Boy George,Cool Karaoke Volume 1,201
Karaoké (195 titres),14,3,2220604,Simple Complications (Gimme A Dollar),Boy George,"Cool Karaoke, Volume 1",201
Karaoké (195 titres),14,3,2240637,Simple Complications (Gimme A Dollar),Boy George,"Cool Karaoke, Volume 1",201
Karaoké (195 titres),15,2,2232245,Sing Along (Sad Song),Donna Summer,Lady of the Night,196
Karaoké (195 titres),15,2,2265036,Sing Along (Sad Song),Donna Summer,Lady of the Night,196
Karaoké (195 titres),16,3,2220597,We Know What We Want,Boy George,"Cool Karaoke, Volume 1",205
Karaoké (195 titres),16,3,2226122,We Know What We Want,Boy George,Cool Karaoke Volume 1,205
Karaoké (195 titres),16,3,2240630,We Know What We Want,Boy George,"Cool Karaoke, Volume 1",205
Karaoké (195 titres),17,2,2220606,What Would You Call Unreasonable,Boy George,"Cool Karaoke, Volume 1",218
Karaoké (195 titres),17,2,2240639,What Would You Call Unreasonable,Boy George,"Cool Karaoke, Volume 1",218
Karaoké (195 titres),18,3,2110828,Wrong About The Song,Boy George,Cool Karaoke Volume 1,343
Karaoké (195 titres),18,3,2220608,Wrong About The Song,Boy George,"Cool Karaoke, Volume 1",343
Karaoké (195 titres),18,3,2240641,Wrong About The Song,Boy George,"Cool Karaoke, Volume 1",343
Karaoké (195 titres),19,2,2220601,YOU,Boy George,"Cool Karaoke, Volume 1",249
Karaoké (195 titres),19,2,2240634,YOU,Boy George,"Cool Karaoke, Volume 1",249
