playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Late night electronic (110 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Late night electronic (110 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Late night electronic (110 titres),2,2,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Late night electronic (110 titres),2,2,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Late night electronic (110 titres),3,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Late night electronic (110 titres),3,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Late night electronic (110 titres),4,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Late night electronic (110 titres),4,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Late night electronic (110 titres),5,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Late night electronic (110 titres),5,2,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Late night electronic (110 titres),6,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Late night electronic (110 titres),6,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Late night electronic (110 titres),7,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Late night electronic (110 titres),7,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Late night electronic (110 titres),8,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Late night electronic (110 titres),8,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Late night electronic (110 titres),9,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Late night electronic (110 titres),9,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Late night electronic (110 titres),10,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Late night electronic (110 titres),10,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Late night electronic (110 titres),11,2,2056166,Santa Cruz,Fatboy Slim,Better Living Through Chemistry,449
Late night electronic (110 titres),11,2,2170665,Santa Cruz,Fatboy Slim,Better Living Through Chemistry,449
Late night electronic (110 titres),12,2,2108613,Waves (Robin Schulz remix),Robin Schulz,Extended Prayer,432
Late night electronic (110 titres),12,2,2306098,Waves (Robin Schulz remix),Robin Schulz,Unknown Album,431
Late night electronic (110 titres),13,2,1286312,Blink,John Dahlbäck,Blink,382
Late night electronic (110 titres),13,2,1351245,Blink,John Dahlbäck,Blink - Single,376
Late night electronic (110 titres),14,2,2274279,Diferente,Gotan Project,Lunático,323
Late night electronic (110 titres),14,2,2232019,Diferente,Gotan Project,Lunático,323
Late night electronic (110 titres),15,2,2174826,INTRO,M83,"HURRY UP, WE'RE DREAMING.",321
Late night electronic (110 titres),15,2,2057629,Intro,M83,"HURRY UP, WE'RE DREAMING.",321
