playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Latin Vibes (500 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Latin Vibes (500 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Latin Vibes (500 titres),2,3,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Latin Vibes (500 titres),2,3,2308987,Mala Mujer,C. Tangana,Ídolo,219
Latin Vibes (500 titres),2,3,2123473,Mala mujer,C. Tangana,Ídolo,219
Latin Vibes (500 titres),3,2,2174389,CARALUNA,BACILOS,CARALUNA,266
Latin Vibes (500 titres),3,2,2056719,Caraluna,BACILOS,CARALUNA,266
Latin Vibes (500 titres),4,2,2288953,CÓMO SE SIENTE (remix),Bad Bunny,LAS QUE NO IBAN A SALIR,227
Latin Vibes (500 titres),4,2,2225113,Cómo Se Siente (Remix),Bad Bunny,Las Que No Iban A Salir,227
Latin Vibes (500 titres),5,2,2349524,Déjame Te Explico,Reykon,déjame te explico,182
Latin Vibes (500 titres),5,2,2349526,Déjame Te Explico,Reykon,carácter latino 2017,182
Latin Vibes (500 titres),6,2,1940255,GATÚBELA,KAROL G,Mañana Será Bonito,208
Latin Vibes (500 titres),6,2,2350218,Gatúbela,KAROL G,Gatúbela,222
Latin Vibes (500 titres),7,2,2167848,LA VIDA ES UN CARNAVAL,Celia Cruz,MI VIDA ES CANTAR,275
Latin Vibes (500 titres),7,2,2197192,La vida es un carnaval,Celia Cruz,MI VIDA ES CANTAR,275
Latin Vibes (500 titres),8,2,1954312,Mambo No 5 (A Little Bit of),Various Artists,Génération 90,220
Latin Vibes (500 titres),8,2,1440276,Mambo No. 5 (A Little Bit of…),Various Artists,Www.Dancenet.Net 3,221
Latin Vibes (500 titres),9,2,2186175,Sé Que Te Duele,Various Artists,Fitness Latino Party 2017,229
Latin Vibes (500 titres),9,2,2348300,Sé Que Te Duele,Various Artists,fitness latino party 2018,229
Latin Vibes (500 titres),10,2,2222101,Unknown,Zion & Lennox,Unknown Album,219
Latin Vibes (500 titres),10,2,2232286,Unknown,Zion & Lennox,Unknown Album,249
Latin Vibes (500 titres),11,2,2162885,2 Mujeres,Daddy Yankee,Barrio Fino,189
Latin Vibes (500 titres),11,2,1944846,2 mujeres,Daddy Yankee,Barrio fino,189
Latin Vibes (500 titres),12,5,1394616,A Córdoba,François Feldman,Latino,188
Latin Vibes (500 titres),12,5,2215843,A Córdoba,François Feldman,Latino,188
Latin Vibes (500 titres),12,5,2263098,A Córdoba,François Feldman,Latino,188
Latin Vibes (500 titres),12,5,2300899,A Córdoba,François Feldman,Latino,188
Latin Vibes (500 titres),12,5,2313288,A Córdoba,François Feldman,Latino,188
Latin Vibes (500 titres),13,2,2185148,A Un Paso de la Luna (Remix),Various Artists,Nrj Music Awards 2021,194
Latin Vibes (500 titres),13,2,2348166,A Un Paso de la Luna (Remix),Various Artists,nrj hits été 2021,194
Latin Vibes (500 titres),14,2,1952301,Ahora Dice,Various Artists,Fitness Latino Party 2018,270
Latin Vibes (500 titres),14,2,2006443,Ahora Dice,Various Artists,Fitness Latino Party 2018,272
Latin Vibes (500 titres),15,2,2308967,Aires Choqueros,Paco de Lucía,Fuente y Caudal,256
Latin Vibes (500 titres),15,2,2124968,Aires choqueros,Paco de Lucía,Fuente Y Caudal,256
Latin Vibes (500 titres),16,2,2092760,Alguien Robo,Sebastián Yatra,Alguien Robó,221
Latin Vibes (500 titres),16,2,1835810,Alguien robó,Sebastián Yatra,Alguien robó,222
Latin Vibes (500 titres),17,4,2216013,All I Ever Wanted,Baby Bash,Latin Hard Hitters,245
Latin Vibes (500 titres),17,4,2263126,All I Ever Wanted,Baby Bash,Latin Hard Hitters,245
Latin Vibes (500 titres),17,4,2300886,All I Ever Wanted,Baby Bash,Latin Hard Hitters,245
Latin Vibes (500 titres),17,4,2313424,All I Ever Wanted,Baby Bash,Latin Hard Hitters,245
Latin Vibes (500 titres),18,3,2216810,Americana,Justin Quiles,La última promesa,161
Latin Vibes (500 titres),18,3,2228386,Americana,Justin Quiles,La última promesa,161
Latin Vibes (500 titres),18,3,2304845,Americana,Justin Quiles,La Última Promesa (Apple Music Edition),161
Latin Vibes (500 titres),19,3,1960093,Animal City,Shakira,"Oral Fixation, Volumes 1 & 2",195
Latin Vibes (500 titres),19,3,2059654,Animal City,Shakira,"Oral Fixation, Vol. 2",198
Latin Vibes (500 titres),19,3,2179360,Animal City,Shakira,"Oral Fixation, Vol. 2",198
Latin Vibes (500 titres),20,3,2216812,Apretón,Justin Quiles,La última promesa,168
Latin Vibes (500 titres),20,3,2228388,Apretón,Justin Quiles,La última promesa,168
Latin Vibes (500 titres),20,3,2304855,Apretón,Justin Quiles,La Última Promesa (Apple Music Edition),168
Latin Vibes (500 titres),21,2,2222267,Aurora,Juanes,Más Futuro Que Pasado,185
Latin Vibes (500 titres),21,2,2330082,Aurora,Juanes,Más Futuro Que Pasado,185
Latin Vibes (500 titres),22,2,1488577,BAILAR CONTIGO,Black Eyed Peas,ELEVATION,223
Latin Vibes (500 titres),22,2,2308703,BAILAR CONTIGO,Black Eyed Peas,ELEVATION,223
Latin Vibes (500 titres),23,2,2163558,BARCELONA,BACILOS,CARALUNA,267
Latin Vibes (500 titres),23,2,2101634,Barcelona,BACILOS,CARALUNA,267
Latin Vibes (500 titres),24,2,2172576,BOBO,J Balvin,ENERGÍA LADO B,209
Latin Vibes (500 titres),24,2,2120066,Bobo,J Balvin,ENERGÍA LADO B,209
Latin Vibes (500 titres),25,2,2163562,BUENA,BACILOS,CARALUNA,225
Latin Vibes (500 titres),25,2,2107677,Buena,BACILOS,CARALUNA,225
Latin Vibes (500 titres),26,2,1225015,Bailamos,Enrique Iglesias,Bailamos (Greatest Hits),219
Latin Vibes (500 titres),26,2,2060439,Bailamos,Enrique Iglesias,Bailamos (single),219
Latin Vibes (500 titres),27,2,2308159,"Bailamos (From ""Wild Wild West"")",Enrique Iglesias,Unknown Album,218
Latin Vibes (500 titres),27,2,2351020,Bailamos (From Wild Wild West),Enrique Iglesias,Unknown Album,212
