playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Lecture & Détente (500 titres),1,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Lecture & Détente (500 titres),1,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Lecture & Détente (500 titres),2,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Lecture & Détente (500 titres),2,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Lecture & Détente (500 titres),2,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Lecture & Détente (500 titres),3,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Lecture & Détente (500 titres),3,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Lecture & Détente (500 titres),4,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Lecture & Détente (500 titres),4,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Lecture & Détente (500 titres),5,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Lecture & Détente (500 titres),5,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Lecture & Détente (500 titres),6,2,2225668,"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009 : I. Prélude",Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,194
Lecture & Détente (500 titres),6,2,2182462,"Unaccompanied Cello Suite no. 3 in C major, BWV 1009: I. Prélude",Yo-Yo Ma,Six Evolutions - Bach: Cello Suites,194
Lecture & Détente (500 titres),7,2,2350520,"""Auld Lang Syne""",guitar for dummies,guitar for dummies 2nd ed,22
Lecture & Détente (500 titres),7,2,2350521,Auld Lang Syne,guitar for dummies,guitar for dummies 2nd ed,39
Lecture & Détente (500 titres),8,2,2350570,"""We Wish You a Merry Christmas",guitar for dummies,guitar for dummies 2nd ed,34
Lecture & Détente (500 titres),8,2,2350571,"""We Wish You a Merry Christmas""",guitar for dummies,guitar for dummies 2nd ed,34
Lecture & Détente (500 titres),9,2,1949874,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
Lecture & Détente (500 titres),9,2,2337299,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
