playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Lecture & focus (75 titres),1,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Lecture & focus (75 titres),1,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Lecture & focus (75 titres),2,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Lecture & focus (75 titres),2,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Lecture & focus (75 titres),2,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Lecture & focus (75 titres),3,2,1947141,The Chase,Laidback Luke,Focus,256
Lecture & focus (75 titres),3,2,1280039,The Chase,Laidback Luke,Focus,255
Lecture & focus (75 titres),4,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Lecture & focus (75 titres),4,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Lecture & focus (75 titres),5,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Lecture & focus (75 titres),5,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Lecture & focus (75 titres),5,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Lecture & focus (75 titres),6,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Lecture & focus (75 titres),6,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Lecture & focus (75 titres),7,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Lecture & focus (75 titres),7,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Lecture & focus (75 titres),8,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Lecture & focus (75 titres),8,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Lecture & focus (75 titres),9,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Lecture & focus (75 titres),9,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
