playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Live & Concerts (500 titres),1,2,2110873,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,Mtv Mash Up!,230
Live & Concerts (500 titres),1,2,2270626,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,MTV Mash Up!,230
Live & Concerts (500 titres),2,2,1276754,Concert Pitch,Empire of the Sun,Ice on the Dune,220
Live & Concerts (500 titres),2,2,2144667,Concert Pitch,Empire of the Sun,Ice on the Dune,220
Live & Concerts (500 titres),3,2,1299007,Desert Nomad,Reinhardt Buhr,Movement 2 (Live Looping),432
Live & Concerts (500 titres),3,2,1299011,Desert Nomad,Reinhardt Buhr,Movement 2 (Live Looping),432
Live & Concerts (500 titres),4,2,2203355,HYSTERIE (LIVE EDIT),Embargo,HYSTERIE,330
Live & Concerts (500 titres),4,2,1351125,Hysterie (live edit),Embargo,Hysterie (single),330
Live & Concerts (500 titres),5,2,1239730,Cap diamant (Live) [Club],Cœur de Pirate,Unknown Album,196
Live & Concerts (500 titres),5,2,2308427,Cap diamant (Live) [Club],Cœur de Pirate,Live (Club) : Paris 17.10.11 E.P.,196
Live & Concerts (500 titres),6,2,2173440,Live A Little,Better Than Ezra,Super Magick,155
Live & Concerts (500 titres),6,2,2272172,Live A Little,Better Than Ezra,Super Magick,155
Live & Concerts (500 titres),7,14,2218297,Summer Madness (Live),Kool & The Gang,Best of Kool & The Gang,482
Live & Concerts (500 titres),7,14,2218757,Summer Madness (Live),Kool & The Gang,The Best of Kool & the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2218840,Summer Madness (Live),Kool & The Gang,The Best of 1969-1976 (Funk Essentials),482
Live & Concerts (500 titres),7,14,2239973,Summer Madness (Live),Kool & The Gang,The Best Of 1969-1976 (Funk Essentials),482
Live & Concerts (500 titres),7,14,2298205,Summer Madness (Live),Kool & The Gang,The Best Of 1969-1976 (Funk Essentials),482
Live & Concerts (500 titres),7,14,2316120,Summer Madness (Live),Kool & The Gang,The Best Of 1969-1976 (Funk Essentials),482
Live & Concerts (500 titres),7,14,2327449,Summer Madness (Live),Kool & The Gang,Love & Understanding,481
Live & Concerts (500 titres),7,14,2239704,Summer Madness (live),Kool & The Gang,The Best of Kool and the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2239921,Summer Madness (live),Kool & The Gang,The Best of Kool & the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2298175,Summer Madness (live),Kool & The Gang,The Best of Kool and the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2298226,Summer Madness (live),Kool & The Gang,The Best of Kool & the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2315705,Summer Madness (live),Kool & The Gang,The Best of Kool and the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2316061,Summer Madness (live),Kool & The Gang,The Best of Kool & the Gang (1969–1976),482
Live & Concerts (500 titres),7,14,2327267,Summer Madness (live),Kool & The Gang,The Best Of (1969-1976),482
