playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mariage (104 titres),1,2,2103257,Black Wedding,Tommy Newport,Just to be Ironic,52
Mariage (104 titres),1,2,2157324,Black Wedding,Tommy Newport,Just to be Ironic,52
Mariage (104 titres),2,4,2165004,Breath After Breath,Duran Duran,Duran Duran (The Wedding Album),297
Mariage (104 titres),2,4,2199053,Breath After Breath,Duran Duran,Duran Duran (The Wedding Album),297
Mariage (104 titres),2,4,2256991,Breath After Breath,Duran Duran,Duran Duran (The Wedding Album),297
Mariage (104 titres),2,4,2260802,Breath After Breath,Duran Duran,Duran Duran (The Wedding Album),297
Mariage (104 titres),3,2,2098512,Come Undone,Duran Duran,Duran Duran (The Wedding Album),256
Mariage (104 titres),3,2,2165003,Come Undone,Duran Duran,Duran Duran (The Wedding Album),256
Mariage (104 titres),4,2,2108495,Haste to the Wedding,The Corrs,Home,147
Mariage (104 titres),4,2,2166838,Haste to the Wedding,The Corrs,Home,147
Mariage (104 titres),5,8,1936578,Indian Wedding,Roy Orbison,Love Songs,186
Mariage (104 titres),5,8,1961174,Indian Wedding,Roy Orbison,The Monument Singles Collection (1960 - 1964) (CD Two - The B-Sides),185
Mariage (104 titres),5,8,1961252,Indian Wedding,Roy Orbison,The Soul Of Rock And Roll,185
Mariage (104 titres),5,8,1961348,Indian Wedding,Roy Orbison,Our Love Songs,188
Mariage (104 titres),5,8,1961414,Indian Wedding,Roy Orbison,Shades Of Roy Orbison,182
Mariage (104 titres),5,8,1961810,Indian Wedding,Roy Orbison,The Monument Singles Collection (1960 - 1964) (CD One - The A-Sides),185
Mariage (104 titres),5,8,1961837,Indian Wedding,Roy Orbison,"Oh, Pretty Woman",185
Mariage (104 titres),5,8,1962091,Indian Wedding,Roy Orbison,Oh! Pretty Woman,185
Mariage (104 titres),6,2,2066564,Jealous,Eyedress,Let's Skip to the Wedding,122
Mariage (104 titres),6,2,2066566,Jealous,Eyedress,Let's Skip to the Wedding,122
Mariage (104 titres),7,2,2167250,Marie's Wedding,Van Morrison,Irish Heartbeat,195
Mariage (104 titres),7,2,2107452,Marie’s Wedding,Van Morrison,Irish Heartbeat,195
Mariage (104 titres),8,4,1271366,Marry You,Bruno Mars,Doo-Wops & Hooligans,230
Mariage (104 titres),8,4,1271371,Marry You,Bruno Mars,Doo-Wops & Hooligans,2132
Mariage (104 titres),8,4,1894720,Marry You,Bruno Mars,Doo-Wops & Hooligans,230
Mariage (104 titres),8,4,2134530,Marry You,Bruno Mars,Doo-Wops & Hooligans,230
Mariage (104 titres),9,2,1210360,Never Will I Marry,George Duke,In A Mellow Tone,328
Mariage (104 titres),9,2,2183558,Never Will I Marry,George Duke,In A Mellow Tone,328
Mariage (104 titres),10,2,2108801,None of the Above,Duran Duran,Duran Duran (The Wedding Album),318
Mariage (104 titres),10,2,2165007,None of the Above,Duran Duran,Duran Duran (The Wedding Album),318
Mariage (104 titres),11,2,2107465,Setembro (Brazilian Wedding Song),Quincy Jones,Back On The Block,305
Mariage (104 titres),11,2,2162719,Setembro (Brazilian Wedding Song),Quincy Jones,Back On The Block,305
Mariage (104 titres),12,3,2108802,Shelter,Duran Duran,Duran Duran (The Wedding Album),263
Mariage (104 titres),12,3,2165008,Shelter,Duran Duran,Duran Duran (The Wedding Album),263
Mariage (104 titres),12,3,2273515,Shelter,Duran Duran,Duran Duran (The Wedding Album),263
Mariage (104 titres),13,2,2110109,Sin of the City,Duran Duran,Duran Duran (The Wedding Album),434
Mariage (104 titres),13,2,2165010,Sin of the City,Duran Duran,Duran Duran (The Wedding Album),434
Mariage (104 titres),14,2,2109273,To Whom It May Concern,Duran Duran,Duran Duran (The Wedding Album),263
Mariage (104 titres),14,2,2165009,To Whom It May Concern,Duran Duran,Duran Duran (The Wedding Album),263
Mariage (104 titres),15,2,2059495,Too Much Information,Duran Duran,Duran Duran (The Wedding Album),295
Mariage (104 titres),15,2,2169377,Too Much Information,Duran Duran,Duran Duran (The Wedding Album),295
Mariage (104 titres),16,4,1961243,Wedding Day,Roy Orbison,The Soul Of Rock And Roll,127
Mariage (104 titres),16,4,1962146,Wedding Day,Roy Orbison,Crying,128
Mariage (104 titres),16,4,2198103,Wedding Day,Roy Orbison,80th Birthday Celebration,126
Mariage (104 titres),16,4,1960806,Wedding day,Roy Orbison,Rock House,125
Mariage (104 titres),17,4,1274892,Wedding Song,Yeah Yeah Yeahs,Mosquito,294
Mariage (104 titres),17,4,2222166,Wedding Song,Yeah Yeah Yeahs,Mosquito,294
Mariage (104 titres),17,4,2241848,Wedding Song,Yeah Yeah Yeahs,Mosquito,294
Mariage (104 titres),17,4,2265809,Wedding Song,Yeah Yeah Yeahs,Mosquito,294
Mariage (104 titres),18,2,1885336,Wedding Song,Tracy Chapman,Telling Stories,275
Mariage (104 titres),18,2,1910847,Wedding Song,Tracy Chapman,Telling Stories,275
