playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mes favoris (101 titres),1,3,2198696,Unknown,The Bar-Kays,Unknown Album,378
Mes favoris (101 titres),1,3,2280386,Unknown,The Bar-Kays,Unknown Album,378
Mes favoris (101 titres),1,3,2328428,Unknown,The Bar-Kays,Unknown Album,378
Mes favoris (101 titres),2,2,1953895,(Everything I Do) I Do It for You,Bryan Adams,So Far So Good  (Compilation),393
Mes favoris (101 titres),2,2,2256549,(Everything I Do) I Do It for You,Bryan Adams,Anthology CD2,393
Mes favoris (101 titres),3,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mes favoris (101 titres),3,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mes favoris (101 titres),4,12,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Mes favoris (101 titres),4,12,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Mes favoris (101 titres),4,12,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Mes favoris (101 titres),4,12,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
Mes favoris (101 titres),4,12,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Mes favoris (101 titres),4,12,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Mes favoris (101 titres),4,12,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Mes favoris (101 titres),4,12,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Mes favoris (101 titres),4,12,2312920,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,232
Mes favoris (101 titres),4,12,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Mes favoris (101 titres),4,12,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
Mes favoris (101 titres),4,12,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Mes favoris (101 titres),5,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Mes favoris (101 titres),5,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Mes favoris (101 titres),6,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Mes favoris (101 titres),6,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Mes favoris (101 titres),7,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Mes favoris (101 titres),7,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Mes favoris (101 titres),7,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Mes favoris (101 titres),8,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
Mes favoris (101 titres),8,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
Mes favoris (101 titres),9,6,1273631,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mes favoris (101 titres),9,6,2278645,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mes favoris (101 titres),9,6,2280350,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mes favoris (101 titres),9,6,2282774,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mes favoris (101 titres),9,6,2285209,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mes favoris (101 titres),9,6,2329604,Le monde est…,Psy 4 De La Rime,Enfants de la Lune,325
Mes favoris (101 titres),10,4,1348187,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Mes favoris (101 titres),10,4,2328426,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Mes favoris (101 titres),10,4,1493999,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Mes favoris (101 titres),10,4,2328379,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Mes favoris (101 titres),11,2,1208262,Move Your Boogie Body,The Bar-Kays,Injoy  (Flac),378
Mes favoris (101 titres),11,2,2278681,Move Your Boogie Body,The Bar-Kays,Injoy,378
Mes favoris (101 titres),12,3,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Mes favoris (101 titres),12,3,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Mes favoris (101 titres),12,3,2288248,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Mes favoris (101 titres),13,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Mes favoris (101 titres),13,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Mes favoris (101 titres),13,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Mes favoris (101 titres),13,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Mes favoris (101 titres),14,2,1208439,Play Out,Zola Blood,Infinite Games,273
Mes favoris (101 titres),14,2,2259646,Play Out,Zola Blood,Infinite Games,273
Mes favoris (101 titres),15,2,2114975,Raw,Spandau Ballet,Heart Like a Sky,227
Mes favoris (101 titres),15,2,2336345,Raw,Spandau Ballet,Heart Like a Sky,227
Mes favoris (101 titres),16,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Mes favoris (101 titres),16,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Mes favoris (101 titres),17,2,1488683,Suga Suga,Baby Bash,Tha Smokin' Nephew,242
Mes favoris (101 titres),17,2,2354999,Suga Suga,Baby Bash,Tha Smokin' Nephew,242
Mes favoris (101 titres),18,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Mes favoris (101 titres),18,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Mes favoris (101 titres),19,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Mes favoris (101 titres),19,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Mes favoris (101 titres),20,2,2122266,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Mes favoris (101 titres),20,2,2336284,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Mes favoris (101 titres),21,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Mes favoris (101 titres),21,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Mes favoris (101 titres),22,2,2110873,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,Mtv Mash Up!,230
Mes favoris (101 titres),22,2,2270626,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,MTV Mash Up!,230
