playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix concentration (45 titres),1,3,2280386,Unknown,The Bar-Kays,Unknown Album,378
Mix concentration (45 titres),1,3,2328428,Unknown,The Bar-Kays,Unknown Album,378
Mix concentration (45 titres),1,3,2198696,Unknown,The Bar-Kays,Unknown Album,378
Mix concentration (45 titres),2,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Mix concentration (45 titres),2,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Mix concentration (45 titres),3,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Mix concentration (45 titres),3,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Mix concentration (45 titres),4,6,2278645,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mix concentration (45 titres),4,6,2285209,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mix concentration (45 titres),4,6,2280350,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mix concentration (45 titres),4,6,2329604,Le monde est…,Psy 4 De La Rime,Enfants de la Lune,325
Mix concentration (45 titres),4,6,1273631,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mix concentration (45 titres),4,6,2282774,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Mix concentration (45 titres),5,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Mix concentration (45 titres),5,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Mix concentration (45 titres),6,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mix concentration (45 titres),6,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mix concentration (45 titres),7,2,2278681,Move Your Boogie Body,The Bar-Kays,Injoy,378
Mix concentration (45 titres),7,2,1208262,Move Your Boogie Body,The Bar-Kays,Injoy  (Flac),378
Mix concentration (45 titres),8,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Mix concentration (45 titres),8,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Mix concentration (45 titres),9,2,1347087,Pourquoi,Sniper,Gravé dans la roche,306
Mix concentration (45 titres),9,2,2355546,Pourquoi,Sniper,Gravé Dans La Roche,306
Mix concentration (45 titres),10,2,1953895,(Everything I Do) I Do It for You,Bryan Adams,So Far So Good  (Compilation),393
Mix concentration (45 titres),10,2,2256549,(Everything I Do) I Do It for You,Bryan Adams,Anthology CD2,393
