playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur deep focus (140 titres),1,2,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Mix humeur deep focus (140 titres),1,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Mix humeur deep focus (140 titres),2,2,1947141,The Chase,Laidback Luke,Focus,256
Mix humeur deep focus (140 titres),2,2,1280039,The Chase,Laidback Luke,Focus,255
Mix humeur deep focus (140 titres),3,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Mix humeur deep focus (140 titres),3,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Mix humeur deep focus (140 titres),3,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Mix humeur deep focus (140 titres),4,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Mix humeur deep focus (140 titres),4,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Mix humeur deep focus (140 titres),5,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Mix humeur deep focus (140 titres),5,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Mix humeur deep focus (140 titres),6,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Mix humeur deep focus (140 titres),6,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Mix humeur deep focus (140 titres),7,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Mix humeur deep focus (140 titres),7,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Mix humeur deep focus (140 titres),8,2,1173610,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : I. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,516
Mix humeur deep focus (140 titres),8,2,1173611,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : I. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,516
Mix humeur deep focus (140 titres),9,2,2327662,Bust a Move,Infected Mushroom,Classical Mushroom,501
Mix humeur deep focus (140 titres),9,2,1244065,Bust a Move,Infected Mushroom,Classical Mushroom,501
Mix humeur deep focus (140 titres),10,2,1494876,"I'm Late, I'm Late",Stan Getz,Focus,492
Mix humeur deep focus (140 titres),10,2,1280055,"I’m Late, I’m Late",Stan Getz,Focus,492
Mix humeur deep focus (140 titres),11,2,2198955,And Then... (Rank 1's Minimal Progressive Techno Electro Trance Mix),Rank 1 Vs Jochen Miller,And Then-(HCR051) CDS,476
Mix humeur deep focus (140 titres),11,2,2260716,And Then... (Rank 1's Minimal Progressive Techno Electro Trance Mix),Rank 1 Vs Jochen Miller,And Then-(HCR051) CDS,476
Mix humeur deep focus (140 titres),12,2,2198953,What Else Is There? (Trentemøller remix),Tbbros.,Analog Tapes 11 - Minimal Tech House Experience,464
Mix humeur deep focus (140 titres),12,2,2260714,What Else Is There? (Trentemøller remix),Tbbros.,Analog Tapes 11 - Minimal Tech House Experience,464
Mix humeur deep focus (140 titres),13,2,1960043,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Mix humeur deep focus (140 titres),13,2,2198573,Inevitable (Final Ambient Mix),Shakira,Inevitable,436
Mix humeur deep focus (140 titres),14,2,2233388,Anticipation (David Chevalier Instrumental),Barbara Tucker And David Vendetta,Anticipation,431
Mix humeur deep focus (140 titres),14,2,2296618,Anticipation (David Chevalier Instrumental),Barbara Tucker And David Vendetta,Anticipation,431
Mix humeur deep focus (140 titres),15,3,2108480,Piano,Frank Zappa,Unknown Album,428
Mix humeur deep focus (140 titres),15,3,2164406,Piano,Frank Zappa,Dance Me This,428
Mix humeur deep focus (140 titres),15,3,2312875,Piano,Frank Zappa,Dance Me This,428
Mix humeur deep focus (140 titres),16,2,1958150,Fun With V.Knutsn (Instrumental),Cyndi Lauper,Girls Just Want to Have Fun [Us 12'' Maxi-Single (4r9-04971)],428
Mix humeur deep focus (140 titres),16,2,2060553,Fun With V. Knutsn (instrumental),Cyndi Lauper,Various Artists,428
Mix humeur deep focus (140 titres),17,2,2122521,You Take My Breath Away,Sarah Brightman,Harem,410
Mix humeur deep focus (140 titres),17,2,1957591,You Take My Breath Away,Sarah Brightman,Fly,409
Mix humeur deep focus (140 titres),18,2,2165247,Part V,Nils Frahm,Electric Piano,399
Mix humeur deep focus (140 titres),18,2,2056517,Part V,Nils Frahm,Electric Piano,398
Mix humeur deep focus (140 titres),19,2,2234526,Hit My Heart (Instrumental Mix),J.K.,Hit My Heart WEB,395
Mix humeur deep focus (140 titres),19,2,2296735,Hit My Heart (Instrumental Mix),J.K.,Hit My Heart WEB,395
