playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur happy (120 titres),1,2,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Mix humeur happy (120 titres),1,2,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Mix humeur happy (120 titres),2,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mix humeur happy (120 titres),2,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Mix humeur happy (120 titres),3,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Mix humeur happy (120 titres),3,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Mix humeur happy (120 titres),4,2,2183929,"If You Feel the Funk (12"" Version)",Ben Liebrand,Grand 12‐Inches 2,311
Mix humeur happy (120 titres),4,2,2352587,"If You Feel the Funk (12"" Version)",Ben Liebrand,grand 12‐inches 2,311
Mix humeur happy (120 titres),5,2,1949309,Sunny Holiday,Solid Base,Greatest Hits,219
Mix humeur happy (120 titres),5,2,2210658,Sunny Holiday,Solid Base,Greatest Hits,219
Mix humeur happy (120 titres),6,2,1297055,Disco,Ned Dylan,Remedios Varios,293
Mix humeur happy (120 titres),6,2,1427043,Disco,Ned Dylan,Remedios Varios,293
Mix humeur happy (120 titres),7,2,2101248,Overpowered by Funk,The Clash,Combat Rock,292
Mix humeur happy (120 titres),7,2,2164035,Overpowered by Funk,The Clash,Combat Rock,292
Mix humeur happy (120 titres),8,2,1209104,Ce garçon qui danse,France Gall,Dancing Disco,250
Mix humeur happy (120 titres),8,2,2102692,Ce garçon qui danse,France Gall,Dancing Disco,246
Mix humeur happy (120 titres),9,2,2079815,Happy Song (Club Mix),Boney M.,Barbra Streisand - Boney M. goes Club,236
Mix humeur happy (120 titres),9,2,2080040,Happy Song - Club Mix,Boney M.,Barbra Streisand - Boney M. goes Club,236
Mix humeur happy (120 titres),10,2,1427023,Disco Inferno,50 Cent,The Massacre,214
Mix humeur happy (120 titres),10,2,2032153,Disco Inferno,50 Cent,The Massacre (Special Edition),214
Mix humeur happy (120 titres),11,2,2337352,Hold Me Closer (Purple Disco Machine Extended Mix),"Elton John, Britney Spears",electronicfresh.com,354
Mix humeur happy (120 titres),11,2,1985501,Hold Me Closer (Purple Disco Machine Extended mix),"Elton John, Britney Spears",electronicfresh.com,354
Mix humeur happy (120 titres),12,2,2121155,Quero ser teu funk,Gilberto Gil,Parabolicamará,354
Mix humeur happy (120 titres),12,2,2309034,Quero ser teu funk,Gilberto Gil,Parabolicamará,354
