playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur intense (120 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Mix humeur intense (120 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Mix humeur intense (120 titres),2,2,2334190,Smoke On the Water,Pat Boone,In a Metal Mood: No More Mr. Nice Guy,233
Mix humeur intense (120 titres),2,2,2061675,Smoke on the Water,Pat Boone,Pat Boone - In A Metal Mood,233
Mix humeur intense (120 titres),3,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Mix humeur intense (120 titres),3,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Mix humeur intense (120 titres),4,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Mix humeur intense (120 titres),4,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Mix humeur intense (120 titres),5,2,2202311,"TURN ON, TUNE IN, COP OUT",Freak Power,DRIVE-THRU BOOTY,264
Mix humeur intense (120 titres),5,2,1232739,Turn On Tune In Cop Out,Freak Power,Drive-Thru Booty,264
Mix humeur intense (120 titres),6,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Mix humeur intense (120 titres),6,2,2274647,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),258
Mix humeur intense (120 titres),7,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Mix humeur intense (120 titres),7,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Mix humeur intense (120 titres),8,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Mix humeur intense (120 titres),8,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Mix humeur intense (120 titres),9,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Mix humeur intense (120 titres),9,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Mix humeur intense (120 titres),10,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Mix humeur intense (120 titres),10,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Mix humeur intense (120 titres),11,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Mix humeur intense (120 titres),11,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Mix humeur intense (120 titres),12,2,2274279,Diferente,Gotan Project,Lunático,323
Mix humeur intense (120 titres),12,2,2232019,Diferente,Gotan Project,Lunático,323
Mix humeur intense (120 titres),13,2,2174826,INTRO,M83,"HURRY UP, WE'RE DREAMING.",321
Mix humeur intense (120 titres),13,2,2057629,Intro,M83,"HURRY UP, WE'RE DREAMING.",321
Mix humeur intense (120 titres),14,2,2167464,TIME,Kottonmouth Kings,KROWN POWER,316
Mix humeur intense (120 titres),14,2,2110755,Time,Kottonmouth Kings,KROWN POWER,316
Mix humeur intense (120 titres),15,2,2343369,Who Found Who,Jellybean,just visiting this planet,289
Mix humeur intense (120 titres),15,2,1349363,WHO FOUND WHO,Jellybean,Just Visiting This Planet,289
Mix humeur intense (120 titres),16,2,2354836,Ghetto Cocaïne,Kdd,une couleur de plus au drapeau,278
Mix humeur intense (120 titres),16,2,1193091,Ghetto cocaïne,Kdd,Une Couleur de Plus Au Drapeau,278
Mix humeur intense (120 titres),17,2,1252035,Ani Kuni,Polo and Pan,Cyclorama,277
Mix humeur intense (120 titres),17,2,1238287,Ani Kuni,Polo and Pan,Cyclorama,276
