playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur sad (120 titres),1,2,1960321,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Mix humeur sad (120 titres),1,2,2027659,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Mix humeur sad (120 titres),2,2,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Mix humeur sad (120 titres),2,2,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Mix humeur sad (120 titres),3,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Mix humeur sad (120 titres),3,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Mix humeur sad (120 titres),4,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Mix humeur sad (120 titres),4,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Mix humeur sad (120 titres),5,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Mix humeur sad (120 titres),5,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Mix humeur sad (120 titres),6,2,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Mix humeur sad (120 titres),6,2,2326632,Are You Gonna be My Girl (Acoustic Version),Jet,Get Born,215
Mix humeur sad (120 titres),7,2,1980341,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Mix humeur sad (120 titres),7,2,2142444,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Mix humeur sad (120 titres),8,2,2059363,Nostalgia,Alice Phoebe Lou,Paper Castles,197
Mix humeur sad (120 titres),8,2,2287737,Nostalgia,Alice Phoebe Lou,Paper Castles,197
Mix humeur sad (120 titres),9,2,2061706,Take Him Back,Y’akoto,Mermaid Blues,192
Mix humeur sad (120 titres),9,2,2169566,Take Him Back,Y’akoto,Mermaid Blues,192
Mix humeur sad (120 titres),10,2,2112986,"Piano Sonata no. 2, op. 38: II. Andante",Glenn Gould,Glenn Gould Plays Contemporary Music,444
Mix humeur sad (120 titres),10,2,2166342,"Piano Sonata no. 2, op. 38: II. Andante",Glenn Gould,Glenn Gould Plays Contemporary Music,444
Mix humeur sad (120 titres),11,2,2108480,Piano,Frank Zappa,Unknown Album,428
Mix humeur sad (120 titres),11,2,2164406,Piano,Frank Zappa,Dance Me This,428
Mix humeur sad (120 titres),12,2,2062536,Sometimes I'm Right,Hubert Sumlin,Blues Guitar Boss,427
Mix humeur sad (120 titres),12,2,2163276,Sometimes I'm Right,Hubert Sumlin,Blues Guitar Boss,427
Mix humeur sad (120 titres),13,2,2080403,Sous le Soleil (Cuba Acoustic mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,425
Mix humeur sad (120 titres),13,2,2276771,Sous le Soleil (Cuba Acoustic mix),Stéphane Pompougnac,"Hôtel Costes, Volume 4  (Compilation)  (Mp3)",423
Mix humeur sad (120 titres),14,2,1190350,Le Blues Du Businessman,Céline Dion,À L'Olympia,424
Mix humeur sad (120 titres),14,2,2097851,Le Blues du businessman,Céline Dion,Céline Dion à l’Olympia,424
Mix humeur sad (120 titres),15,2,1962073,Pretty Paper (Acoustic Version),Roy Orbison,The Very Best Of Roy Orbison,403
Mix humeur sad (120 titres),15,2,2065660,Pretty Paper (Acoustic Version),Roy Orbison,The Very Best Of Roy Orbison,403
Mix humeur sad (120 titres),16,2,2112475,"Work Me, Lord",Janis Joplin,I Got Dem Ol' Kozmic Blues Again Mama!,395
Mix humeur sad (120 titres),16,2,2156889,"Work Me, Lord",Janis Joplin,I Got Dem Ol' Kozmic Blues Again Mama!,395
Mix humeur sad (120 titres),17,2,2173075,Ballad Of Dwight Fry,Alice Cooper,Love It To Death,391
Mix humeur sad (120 titres),17,2,2122286,Ballad of Dwight Fry,Alice Cooper,Love It To Death,391
