playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur sensuel (100 titres),1,2,2266277,Unknown,Justin Timberlake,Unknown Album,275
Mix humeur sensuel (100 titres),1,2,2278689,Unknown,Justin Timberlake,Unknown Album,275
Mix humeur sensuel (100 titres),2,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Mix humeur sensuel (100 titres),2,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Mix humeur sensuel (100 titres),3,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Mix humeur sensuel (100 titres),3,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Mix humeur sensuel (100 titres),4,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Mix humeur sensuel (100 titres),4,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Mix humeur sensuel (100 titres),5,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Mix humeur sensuel (100 titres),5,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Mix humeur sensuel (100 titres),6,2,2213202,TU M'OUBLIERAS,Larusso,SIMPLEMENT,198
Mix humeur sensuel (100 titres),6,2,2184033,Tu M'oublieras,Larusso,Simplement,198
Mix humeur sensuel (100 titres),7,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Mix humeur sensuel (100 titres),7,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Mix humeur sensuel (100 titres),8,2,2087752,Addictive (LP),Truth Hurts,Addictive,226
Mix humeur sensuel (100 titres),8,2,2183863,Addictive (LP),Truth Hurts,Addictive,226
Mix humeur sensuel (100 titres),9,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Mix humeur sensuel (100 titres),9,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Mix humeur sensuel (100 titres),10,2,2308736,"Yes Sir, I Can Boogie",Baccara,Baccara: The Original Hits,271
Mix humeur sensuel (100 titres),10,2,2184048,"Yes Sir, I Can Boogie",Baccara,The Original Hits,271
Mix humeur sensuel (100 titres),11,2,2068187,L'un pour l'autre,K.Maro,01.10,269
Mix humeur sensuel (100 titres),11,2,2183847,L'un pour l'autre,K.Maro,01.10,269
Mix humeur sensuel (100 titres),12,2,2057601,I’ll Be Loving You (Forever),New Kids On the Block,Hangin’ Tough;New_Kids_on_the_Block,267
Mix humeur sensuel (100 titres),12,2,1426028,I’ll Be Loving You (Forever),New Kids On the Block,Hangin’ Tough,265
Mix humeur sensuel (100 titres),13,2,2233427,Do You Really Want To Hurt Me?,Culture Club,Very Best Of Culture Club & Boy George,264
