playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix humeur sleep (140 titres),1,2,2114756,War Machine,KISS,Creatures of the Night,255
Mix humeur sleep (140 titres),1,2,2336315,War Machine,KISS,Creatures of the Night,255
Mix humeur sleep (140 titres),2,3,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Mix humeur sleep (140 titres),2,3,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Mix humeur sleep (140 titres),2,3,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Mix humeur sleep (140 titres),3,2,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Mix humeur sleep (140 titres),3,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Mix humeur sleep (140 titres),4,2,1347869,What’s a Woman?,Vaya Con Dios,Night Owls,232
Mix humeur sleep (140 titres),4,2,2128558,What’s a Woman?,Vaya Con Dios,Night Owls,232
Mix humeur sleep (140 titres),5,3,1486717,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Mix humeur sleep (140 titres),5,3,1490248,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Mix humeur sleep (140 titres),5,3,2128572,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Mix humeur sleep (140 titres),6,2,2210829,Brahms' Lullaby,Céline Dion,Miracle,215
Mix humeur sleep (140 titres),6,2,2060861,Brahms’ Lullaby,Céline Dion,Miracle,212
Mix humeur sleep (140 titres),7,2,2002002,Flashback [Kon Remix],Imagination,Night Dubbing Ii,485
Mix humeur sleep (140 titres),7,2,2350363,Flashback (Kon Remix),Imagination,night dubbing ii,485
Mix humeur sleep (140 titres),8,2,2272473,One More Night (Cutmore Club Mix),Maroon 5,Holiday Gift,348
Mix humeur sleep (140 titres),8,2,2231445,ONE MORE NIGHT (CUTMORE CLUB MIX),Maroon 5,Holiday Gift,348
Mix humeur sleep (140 titres),9,2,2346855,Unknown,Katy Perry,Teenage Dream,272
Mix humeur sleep (140 titres),9,2,2346854,Unknown,Katy Perry,Teenage Dream,227
Mix humeur sleep (140 titres),10,2,1273586,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Mix humeur sleep (140 titres),10,2,1427957,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Mix humeur sleep (140 titres),11,2,2134006,You Should Be Dancing,Various Artists,Saturday Night Fever: The Original Movie Sound Track,257
Mix humeur sleep (140 titres),11,2,1952720,You Should be Dancing,Various Artists,Saturday Night Fever: the Original Movie Sound Track,256
Mix humeur sleep (140 titres),12,3,1246193,No Sleep Till Brooklyn,Beastie Boys,Licensed to Ill,248
