playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mix énergique (50 titres),1,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Mix énergique (50 titres),1,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Mix énergique (50 titres),2,5,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Mix énergique (50 titres),2,5,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Mix énergique (50 titres),2,5,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Mix énergique (50 titres),2,5,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Mix énergique (50 titres),2,5,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Mix énergique (50 titres),3,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Mix énergique (50 titres),3,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Mix énergique (50 titres),4,2,1960575,Miracle Love,Dj Project,In the Club,209
Mix énergique (50 titres),4,2,2183964,Miracle Love,Dj Project,In The Club,209
Mix énergique (50 titres),5,2,2001559,Wavin' Flag [Celebration mix],K'naan,2010 Fifa World Cup Anthem,212
Mix énergique (50 titres),5,2,1848847,Wavin' Flag (Celebration mix),K'naan,2010 Fifa World Cup Anthem,212
Mix énergique (50 titres),6,2,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Mix énergique (50 titres),6,2,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Mix énergique (50 titres),7,2,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Mix énergique (50 titres),7,2,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
