playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mélancolie (500 titres),1,5,2354212,U R (Yam Who Rework),Alison Crockett,the return of diva blue: on becoming a woman redux,415
Mélancolie (500 titres),1,5,2019119,U R (Yam Who? Rework),Alison Crockett,The Return of Diva Blue: on Becoming A Woman Redux,415
Mélancolie (500 titres),1,5,2309009,U R (Yam Who? Rework),Alison Crockett,The Return Of Diva Blue: On Becoming A Woman Redux,415
Mélancolie (500 titres),1,5,2123480,U R (Yam Who? rework),Alison Crockett,The Return of Diva Blue: On Becoming a Woman Redux,415
Mélancolie (500 titres),1,5,2019133,U R (Yam Who？ Rework),Alison Crockett,The Return of Diva Blue∶ on Becoming A Woman Redux,414
Mélancolie (500 titres),2,2,2307286,"Mama, I'm Coming Home",Ozzy Osbourne,No More Tears,251
Mélancolie (500 titres),2,2,2009269,"Mama, I’M Coming Home",Ozzy Osbourne,No More Tears,251
Mélancolie (500 titres),3,3,1960321,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Mélancolie (500 titres),3,3,2027659,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Mélancolie (500 titres),3,3,2213830,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Mélancolie (500 titres),4,2,2058907,Blue Paper,Moby,Hotel : Ambient,367
Mélancolie (500 titres),4,2,2321979,Blue Paper,Moby,Unknown Album,367
Mélancolie (500 titres),5,3,1958008,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
Mélancolie (500 titres),5,3,2131678,Boy Blue,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,286
Mélancolie (500 titres),5,3,2306209,Boy Blue,Cyndi Lauper,True Colors,286
Mélancolie (500 titres),6,2,1351263,Another Sad Love Song,Toni Braxton,Toni Braxton,231
Mélancolie (500 titres),6,2,2325999,Another Sad Love Song,Toni Braxton,Toni Braxton,301
Mélancolie (500 titres),7,2,2054559,LONELY TOWN,Puggy,COLOURS,284
Mélancolie (500 titres),7,2,2307309,Lonely Town,Puggy,Colours,284
Mélancolie (500 titres),8,2,2179018,Little Darlin',Elvis Presley,Moody Blue,116
Mélancolie (500 titres),8,2,2058059,Little Darlin’,Elvis Presley,Moody Blue,116
Mélancolie (500 titres),9,2,1256211,November Blue,The Avett Brothers,Country Was,272
Mélancolie (500 titres),9,2,2115089,November Blue,The Avett Brothers,Country Was;The_Avett_Brothers,272
Mélancolie (500 titres),10,2,1192674,WHAT DOES YOUR SOUL LOOK LIKE (PART 1 - BLUE SKY REVISIT) / **TRANSMISSION 3,DJ Shadow,Endtroducing,448
Mélancolie (500 titres),10,2,2144591,"What Does Your Soul Look Like, Part 1: Blue Sky Revisit / Transmission 3",DJ Shadow,ENDTRODUCING.....,448
Mélancolie (500 titres),11,2,1979359,(I Was) Born to Be Blue,Ella Fitzgerald,"Clap Hands, Here Comes Charlie! (Expanded Edition)",162
Mélancolie (500 titres),11,2,2196978,(I Was) Born to Be Blue,Ella Fitzgerald,"Clap Hands, Here Comes Charlie!",162
Mélancolie (500 titres),12,4,1961077,(I'd Be) A Legend In My Time,Roy Orbison,Only the lonely,189
Mélancolie (500 titres),12,4,1962409,(I'd Be) A Legend In My Time,Roy Orbison,Only The Lonely CD1,189
Mélancolie (500 titres),12,4,1961087,(I’d Be) A Legend in My Time,Roy Orbison,Lonely & Blue / At the Rock House,187
Mélancolie (500 titres),12,4,1962379,(I’d Be) A Legend in My Time,Roy Orbison,Lonely and Blue,190
Mélancolie (500 titres),13,2,2188629,(This Is) A Song for the Lonely,Cher,LIVING PROOF,244
Mélancolie (500 titres),13,2,2351760,(This Is) a Song for the Lonely,Cher,living proof,244
Mélancolie (500 titres),14,3,2175670,55 Enrique Iglesias – Mas Es Amar (Sad Eyes),Enrique Iglesias,Bailando (The Best Of Collection),256
Mélancolie (500 titres),14,3,2220821,55 Enrique Iglesias – Mas Es Amar (Sad Eyes),Enrique Iglesias,Bailando (The Best of Collection),256
