playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Mojito sunset (55 titres),1,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Mojito sunset (55 titres),1,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Mojito sunset (55 titres),1,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Mojito sunset (55 titres),1,4,1954052,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger,260
Mojito sunset (55 titres),2,2,1910909,CAP.III CELOS: Pienso en tu mirá,ROSALÍA,EL MAL QUERER,193
Mojito sunset (55 titres),2,2,1911312,CAP.III CELOS: Pienso en tu mirá,ROSALÍA,EL MAL QUERER,193
Mojito sunset (55 titres),3,3,1946490,House Key,Scott Helman,Hôtel de Ville,205
Mojito sunset (55 titres),3,3,2109167,House Key,Scott Helman,Hôtel de Ville,205
Mojito sunset (55 titres),3,3,2267469,House Key,Scott Helman,Hôtel de Ville,205
Mojito sunset (55 titres),4,2,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Mojito sunset (55 titres),4,2,2123473,Mala mujer,C. Tangana,Ídolo,219
Mojito sunset (55 titres),5,2,1261128,Myth,Beach House,[standalone recordings],258
Mojito sunset (55 titres),5,2,2067936,Myth,Beach House,Bloom,254
Mojito sunset (55 titres),6,2,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Mojito sunset (55 titres),6,2,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Mojito sunset (55 titres),7,2,1351002,Our Own House,MisterWives,Our Own House,232
Mojito sunset (55 titres),7,2,1968437,Our Own House,MisterWives,Our Own House,232
Mojito sunset (55 titres),8,4,2032065,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger (Best of),322
Mojito sunset (55 titres),8,4,2183406,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger & Live Au Dock Des Suds,322
Mojito sunset (55 titres),8,4,2076625,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best Of Akhénaton,322
Mojito sunset (55 titres),8,4,2183426,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best Of Akhénaton,322
Mojito sunset (55 titres),9,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Mojito sunset (55 titres),9,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Mojito sunset (55 titres),9,3,2055494,Rien à perdre,Akhenaton,Double Chill Burger,272
Mojito sunset (55 titres),10,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Mojito sunset (55 titres),10,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Mojito sunset (55 titres),11,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Mojito sunset (55 titres),11,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Mojito sunset (55 titres),12,2,1192236,Smoke & Chill,Living Room,Memories,182
Mojito sunset (55 titres),12,2,2183692,Smoke & Chill,Living Room,Memories,182
