playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Nostalgie (500 titres),1,3,1274640,I Remember,Deadmau5,Random Album Title (2008),593
Nostalgie (500 titres),1,3,1942257,I Remember,Deadmau5,5 years of mau5,593
Nostalgie (500 titres),1,3,1942280,I Remember,Deadmau5,Unknown Album,593
Nostalgie (500 titres),2,2,1960351,Do You Remember,Phil Collins,No Way Out,276
Nostalgie (500 titres),2,2,1960388,Do You Remember?,Phil Collins,Best Ballads,275
Nostalgie (500 titres),3,2,1949304,In The Still Of The Nite (I'll Remember),Boyz II Men,Legacy (The Greatest Hits Collection),170
Nostalgie (500 titres),3,2,2137804,In The Still Of The Nite (I'll Remember),Boyz II Men,Legacy - The Greatest Hits Collection,170
Nostalgie (500 titres),4,2,2059363,Nostalgia,Alice Phoebe Lou,Paper Castles,197
Nostalgie (500 titres),4,2,2287737,Nostalgia,Alice Phoebe Lou,Paper Castles,197
Nostalgie (500 titres),5,2,2098636,Paris,The Chainsmokers,Memories…Do Not Open,221
Nostalgie (500 titres),5,2,2178432,Paris,The Chainsmokers,Memories…Do Not Open,221
Nostalgie (500 titres),6,2,2091070,Remember Me (Sure Is Pure 7′′ Edit),Blue Boy,Remember Me (Franky Rizardo Remix) - Single,228
Nostalgie (500 titres),6,2,2352397,Remember Me (Sure Is Pure 7″ Edit),Blue Boy,remember me (single),229
Nostalgie (500 titres),7,2,2233201,48 Floors,Tory Lanez,Memories Don’t Die,223
Nostalgie (500 titres),7,2,2264828,48 Floors,Tory Lanez,Memories Don’t Die,175
Nostalgie (500 titres),8,3,2057273,A New Day,ATB,Future Memories,299
Nostalgie (500 titres),8,3,2332304,A New Day,ATB,Future Memories,299
Nostalgie (500 titres),8,3,2332305,A New Day,ATB,Future Memories,299
Nostalgie (500 titres),9,7,2198811,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2260679,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2278773,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2278774,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2278775,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2282976,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),9,7,2356847,A Night 2 Remember,Various Artists,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2282977,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2282978,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2282979,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2282980,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2282981,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2294883,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2294884,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2294885,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
Nostalgie (500 titres),10,12,2336488,A Night 2 Remember,Hed Kandi,After Workout - 200 Lounge & Chillout Songs,190
