playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Nuit calme (100 titres),1,2,2114756,War Machine,KISS,Creatures of the Night,255
Nuit calme (100 titres),1,2,2336315,War Machine,KISS,Creatures of the Night,255
Nuit calme (100 titres),2,3,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Nuit calme (100 titres),2,3,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Nuit calme (100 titres),2,3,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Nuit calme (100 titres),3,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Nuit calme (100 titres),3,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Nuit calme (100 titres),3,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Nuit calme (100 titres),4,2,1347869,What’s a Woman?,Vaya Con Dios,Night Owls,232
Nuit calme (100 titres),4,2,2128558,What’s a Woman?,Vaya Con Dios,Night Owls,232
Nuit calme (100 titres),5,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Nuit calme (100 titres),5,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Nuit calme (100 titres),5,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Nuit calme (100 titres),6,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Nuit calme (100 titres),6,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Nuit calme (100 titres),7,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Nuit calme (100 titres),7,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Nuit calme (100 titres),8,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Nuit calme (100 titres),8,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Nuit calme (100 titres),9,2,2002002,Flashback [Kon Remix],Imagination,Night Dubbing Ii,485
Nuit calme (100 titres),9,2,2350363,Flashback (Kon Remix),Imagination,night dubbing ii,485
Nuit calme (100 titres),10,2,2242391,Mauvaise Foi nocturne,Fatal Bazooka,Le Bestov de Fatal Bazooka,367
Nuit calme (100 titres),10,2,2350875,Mauvaise Foi Nocturne,Fatal Bazooka,le bestov de fatal bazooka,367
Nuit calme (100 titres),11,2,2272473,One More Night (Cutmore Club Mix),Maroon 5,Holiday Gift,348
Nuit calme (100 titres),11,2,2231445,ONE MORE NIGHT (CUTMORE CLUB MIX),Maroon 5,Holiday Gift,348
Nuit calme (100 titres),12,2,1273586,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Nuit calme (100 titres),12,2,1427957,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Nuit calme (100 titres),13,2,2134006,You Should Be Dancing,Various Artists,Saturday Night Fever: The Original Movie Sound Track,257
Nuit calme (100 titres),13,2,1952720,You Should be Dancing,Various Artists,Saturday Night Fever: the Original Movie Sound Track,256
Nuit calme (100 titres),14,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Nuit calme (100 titres),14,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Nuit calme (100 titres),15,2,2123981,Like No Other Night,38 Special,Strength in Numbers,239
Nuit calme (100 titres),15,2,2332555,Like No Other Night,38 Special,Strength in Numbers,239
Nuit calme (100 titres),16,3,2060509,Calm Inside the Storm,Cyndi Lauper,Maybe He'll Know Ep,237
Nuit calme (100 titres),16,3,2080468,Calm Inside the Storm,Cyndi Lauper,True Colors: the Best of Cyndi Lauper [CD2],236
Nuit calme (100 titres),16,3,2183811,Calm Inside the Storm,Cyndi Lauper,True Colors: The Best of Cyndi Lauper,236
Nuit calme (100 titres),17,2,1935017,Through The Echoes,Paolo Nutini,Last Night In The Bittersweet,221
Nuit calme (100 titres),17,2,2216452,Through the Echoes,Paolo Nutini,Last Night in the Bittersweet,221
Nuit calme (100 titres),18,2,2033280,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Nuit calme (100 titres),18,2,2117332,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
